
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            gnistFront                                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.35     0.00     0.02     0.00     0.01     0.00     0.52    -0.50    -0.02     0.00    -0.14     0.00    -1.42     0.00
     0.00 -1000.00     0.00    -0.35     0.00    -0.02     0.00    -0.01     0.00     0.48    -0.50     0.02     0.00     0.14     0.00     1.34     0.00
     0.00     0.00  1000.00     0.00     0.35     0.00    -0.02     0.00     0.01     0.50    -0.52     0.00    -0.02     0.00     0.14     0.00    -1.42
     0.00     0.00 -1000.00     0.00    -0.35     0.00     0.02     0.00    -0.01     0.50    -0.48     0.00     0.02     0.00    -0.14     0.00     1.34
     5.00  1000.00     0.00     0.35     0.01    -0.27     0.30     5.01     5.00     0.68    -0.66    -0.02     0.00    -0.15     0.01    -0.79     0.00
     5.00 -1000.00     0.00    -0.34     0.01    -0.32     0.30     5.00     5.00     0.65    -0.66     0.02     0.00     0.14     0.01     0.71     0.00
     5.00     0.00  1000.00     0.01     0.35    -0.30     0.27     5.00     5.01     0.66    -0.68     0.00    -0.02    -0.01     0.15     0.00    -0.79
     5.00     0.00 -1000.00     0.01    -0.34    -0.30     0.32     5.00     5.00     0.66    -0.65     0.00     0.02    -0.01    -0.14     0.00     0.71
    10.00  1000.00     0.00     0.35     0.01    -0.64     0.66    10.00    10.00     0.85    -0.83    -0.02     0.00    -0.15     0.01    -0.17     0.00
    10.00 -1000.00     0.00    -0.34     0.01    -0.68     0.66    10.00    10.00     0.81    -0.83     0.02     0.00     0.13     0.01     0.08     0.00
    10.00     0.00  1000.00     0.01     0.35    -0.66     0.64    10.00    10.00     0.83    -0.85     0.00    -0.02    -0.01     0.15     0.00    -0.17
    10.00     0.00 -1000.00     0.01    -0.34    -0.66     0.68    10.00    10.00     0.83    -0.81     0.00     0.02    -0.01    -0.13     0.00     0.08
    15.00  1000.00     0.00     0.35     0.01    -1.07     1.10    15.00    15.00     1.02    -1.01    -0.02     0.00    -0.15     0.01     0.44     0.00
    15.00 -1000.00     0.00    -0.34     0.01    -1.12     1.10    15.00    15.00     0.99    -1.01     0.02     0.00     0.14     0.01    -0.54     0.00
    15.00     0.00  1000.00     0.01     0.35    -1.10     1.07    15.00    15.00     1.01    -1.02     0.00    -0.02    -0.01     0.15     0.00     0.44
    15.00     0.00 -1000.00     0.01    -0.34    -1.10     1.12    15.00    15.00     1.01    -0.99     0.00     0.02    -0.01    -0.14     0.00    -0.54
    20.00  1000.00     0.00     0.35     0.00    -1.58     1.60    19.99    20.00     1.20    -1.19    -0.02     0.00    -0.15     0.00     1.05     0.00
    20.00 -1000.00     0.00    -0.35     0.00    -1.63     1.60    20.01    20.00     1.17    -1.19     0.02     0.00     0.14     0.00    -1.15     0.00
    20.00     0.00  1000.00     0.00     0.35    -1.60     1.58    20.00    19.99     1.19    -1.20     0.00    -0.02     0.00     0.15     0.00     1.05
    20.00     0.00 -1000.00     0.00    -0.35    -1.60     1.63    20.00    20.01     1.19    -1.17     0.00     0.02     0.00    -0.14     0.00    -1.15
    25.00  1000.00     0.00     0.34     0.00    -2.15     2.18    24.98    24.99     1.39    -1.37    -0.02     0.00    -0.14    -0.01     1.64     0.00
    25.00 -1000.00     0.00    -0.35     0.00    -2.21     2.18    25.01    24.99     1.35    -1.37     0.02     0.00     0.15    -0.01    -1.76     0.00
    25.00     0.00  1000.00     0.00     0.34    -2.18     2.15    24.99    24.98     1.37    -1.39     0.00    -0.02     0.01     0.14     0.00     1.64
