
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            gnistFront                                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.02     0.00     0.04     0.00    -0.37     0.00     0.49    -0.50     0.00     0.00    -0.01     0.00    51.09     0.00
     0.00 -1000.00     0.00    -0.02     0.00    -0.04     0.00     0.38     0.00     0.51    -0.50     0.00     0.00     0.01     0.00   -53.18     0.00
     0.00     0.00  1000.00     0.00    -0.02     0.00     0.04     0.00     0.38     0.50    -0.51     0.00     0.00     0.00    -0.01     0.00   -53.18
     0.00     0.00 -1000.00     0.00     0.02     0.00    -0.04     0.00    -0.37     0.50    -0.49     0.00     0.00     0.00     0.01     0.00    51.09
     5.00  1000.00     0.00     0.03     0.01    -0.24     0.30     4.54     5.00     0.65    -0.66     0.00     0.00    -0.02     0.01    64.82     0.00
     5.00 -1000.00     0.00    -0.02     0.01    -0.35     0.30     5.48     5.00     0.68    -0.66     0.00     0.00     0.00     0.01   -67.47     0.00
     5.00     0.00  1000.00     0.01    -0.02    -0.30     0.35     5.00     5.48     0.66    -0.68     0.00     0.00    -0.01     0.00     0.00   -67.47
     5.00     0.00 -1000.00     0.01     0.03    -0.30     0.24     5.00     4.54     0.66    -0.65     0.00     0.00    -0.01     0.02     0.00    64.82
    10.00  1000.00     0.00     0.03     0.01    -0.59     0.66     9.44    10.00     0.81    -0.83     0.00     0.00    -0.02     0.01    78.55     0.00
    10.00 -1000.00     0.00    -0.02     0.01    -0.73     0.66    10.58    10.00     0.85    -0.83     0.00     0.00     0.00     0.01   -81.77     0.00
    10.00     0.00  1000.00     0.01    -0.02    -0.66     0.73    10.00    10.58     0.83    -0.85     0.00     0.00    -0.01     0.00     0.00   -81.77
    10.00     0.00 -1000.00     0.01     0.03    -0.66     0.59    10.00     9.44     0.83    -0.81     0.00     0.00    -0.01     0.02     0.00    78.55
    15.00  1000.00     0.00     0.03     0.01    -1.01     1.10    14.34    15.00     0.98    -1.01     0.00     0.00    -0.02     0.01    92.29     0.00
    15.00 -1000.00     0.00    -0.02     0.01    -1.18     1.10    15.69    15.00     1.03    -1.01     0.00     0.00     0.00     0.01   -96.08     0.00
    15.00     0.00  1000.00     0.01    -0.02    -1.10     1.18    15.00    15.69     1.01    -1.03     0.00     0.00    -0.01     0.00     0.00   -96.08
    15.00     0.00 -1000.00     0.01     0.03    -1.10     1.01    15.00    14.34     1.01    -0.98     0.00     0.00    -0.01     0.02     0.00    92.29
    20.00  1000.00     0.00     0.03     0.00    -1.50     1.60    19.24    20.00     1.16    -1.19     0.00     0.00    -0.02     0.00   106.05     0.00
    20.00 -1000.00     0.00    -0.02     0.00    -1.71     1.60    20.78    20.00     1.21    -1.19     0.00     0.00     0.01     0.00  -110.41     0.00
    20.00     0.00  1000.00     0.00    -0.02    -1.60     1.71    20.00    20.78     1.19    -1.21     0.00     0.00     0.00    -0.01     0.00  -110.41
    20.00     0.00 -1000.00     0.00     0.03    -1.60     1.50    20.00    19.24     1.19    -1.16     0.00     0.00     0.00     0.02     0.00   106.05
    25.00  1000.00     0.00     0.02     0.00    -2.05     2.18    24.14    24.99     1.34    -1.37     0.00     0.00    -0.01    -0.01   119.84     0.00
    25.00 -1000.00     0.00    -0.03     0.00    -2.31     2.18    25.88    24.99     1.40    -1.37     0.00     0.00     0.02    -0.01  -124.77     0.00
    25.00     0.00  1000.00     0.00    -0.03    -2.18     2.31    24.99    25.88     1.37    -1.40     0.00     0.00     0.01    -0.02     0.00  -124.77
