
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            gnistFront                                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.01     0.00    -0.44     0.00     7.14     0.00     0.74    -0.50     0.00     0.00    -0.01     0.00  -999.95     0.00
     0.00 -1000.00     0.00    -0.01     0.00     0.30     0.00    -7.15     0.00     0.27    -0.50     0.00     0.00     0.02     0.00  1000.84     0.00
     0.00     0.00  1000.00     0.00     0.01     0.00     0.44     0.00     7.14     0.50    -0.74     0.00     0.00     0.00     0.01     0.00  -999.95
     0.00     0.00 -1000.00     0.00    -0.01     0.00    -0.30     0.00    -7.15     0.50    -0.27     0.00     0.00     0.00    -0.02     0.00  1000.84
     5.00  1000.00     0.00     0.01     0.01    -0.84     0.30    12.14     5.00     0.91    -0.66     0.00     0.00    -0.01     0.01  -999.58     0.00
     5.00 -1000.00     0.00     0.00     0.01     0.11     0.30    -2.15     5.00     0.43    -0.66     0.00     0.00     0.00     0.01  1000.55     0.00
     5.00     0.00  1000.00     0.01     0.01    -0.30     0.84     5.00    12.14     0.66    -0.91     0.00     0.00    -0.01     0.01     0.00  -999.58
     5.00     0.00 -1000.00     0.01     0.00    -0.30    -0.11     5.00    -2.15     0.66    -0.43     0.00     0.00    -0.01     0.00     0.00  1000.55
    10.00  1000.00     0.00     0.00     0.01    -1.30     0.66    17.14    10.00     1.08    -0.83     0.00     0.00    -0.01     0.01  -999.18     0.00
    10.00 -1000.00     0.00     0.00     0.01    -0.16     0.66     2.86    10.00     0.59    -0.83     0.00     0.00     0.00     0.01  1000.24     0.00
    10.00     0.00  1000.00     0.01     0.00    -0.66     1.30    10.00    17.14     0.83    -1.08     0.00     0.00    -0.01     0.01     0.00  -999.18
    10.00     0.00 -1000.00     0.01     0.00    -0.66     0.16    10.00     2.86     0.83    -0.59     0.00     0.00    -0.01     0.00     0.00  1000.24
    15.00  1000.00     0.00     0.00     0.01    -1.84     1.10    22.13    15.00     1.26    -1.01     0.00     0.00     0.00     0.01  -998.75     0.00
    15.00 -1000.00     0.00     0.01     0.01    -0.50     1.10     7.86    15.00     0.76    -1.01     0.00     0.00    -0.01     0.01   999.90     0.00
    15.00     0.00  1000.00     0.01     0.00    -1.10     1.84    15.00    22.13     1.01    -1.26     0.00     0.00    -0.01     0.00     0.00  -998.75
    15.00     0.00 -1000.00     0.01     0.01    -1.10     0.50    15.00     7.86     1.01    -0.76     0.00     0.00    -0.01     0.01     0.00   999.90
    20.00  1000.00     0.00    -0.01     0.00    -2.45     1.60    27.12    20.00     1.45    -1.19     0.00     0.00     0.01     0.00  -998.28     0.00
    20.00 -1000.00     0.00     0.01     0.00    -0.90     1.60    12.86    20.00     0.93    -1.19     0.00     0.00    -0.01     0.00   999.53     0.00
    20.00     0.00  1000.00     0.00    -0.01    -1.60     2.45    20.00    27.12     1.19    -1.45     0.00     0.00     0.00    -0.01     0.00  -998.28
    20.00     0.00 -1000.00     0.00     0.01    -1.60     0.90    20.00    12.86     1.19    -0.93     0.00     0.00     0.00     0.01     0.00   999.53
    25.00  1000.00     0.00    -0.02     0.00    -3.12     2.18    32.11    24.99     1.64    -1.37     0.00     0.00     0.03    -0.01  -997.78     0.00
    25.00 -1000.00     0.00     0.01     0.00    -1.38     2.18    17.86    24.99     1.11    -1.37     0.00     0.00    -0.01    -0.01   999.12     0.00
    25.00     0.00  1000.00     0.00    -0.02    -2.18     3.12    24.99    32.11     1.37    -1.64     0.00     0.00     0.01    -0.03     0.00  -997.78
