
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             gnistFront                                          

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
     5.00     0.40    -0.66     0.57    -0.01     0.00    50.78    30.92     0.00     0.00    21.16     6.80     8.40     4.25
    10.00     0.57    -0.83     1.03    -0.01     0.00    49.51    24.65     0.00     0.00    21.17     6.97     8.40     4.25
    15.00     0.50    -1.01     1.39    -0.01     0.00    48.26    18.40     0.00     0.00    21.18     7.14     8.39     4.25
    20.00     0.20    -1.19     1.64     0.00     0.00    47.03    12.17     0.00     0.00    21.18     7.32     8.39     4.25
    25.00    -0.33    -1.37     1.79     0.00     0.00    45.81     5.95     0.00     0.00    21.19     7.50     8.39     4.25
    30.00    -1.09    -1.56     1.84     0.01     0.00    44.62    -0.25     0.00     0.00    21.20     7.69     8.39     4.25
    35.00    -2.07    -1.75     1.78     0.03     0.00    43.44    -6.43     0.00     0.00    21.21     7.89     8.39     4.26
    40.00    -3.27    -1.95     1.61     0.04     0.00    42.29   -12.59     0.00     0.00    21.22     8.09     8.40     4.26
     0.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    -5.00    -0.64    -0.34    -0.68     0.01     0.00    53.37    43.51     0.00     0.00    21.15     6.48     8.42     4.24
   -10.00    -1.53    -0.19    -1.46     0.02     0.00    54.69    49.83     0.00     0.00    21.14     6.32     8.43     4.24
   -15.00    -2.67    -0.04    -2.35     0.04     0.00    56.03    56.17     0.00     0.00    21.13     6.17     8.44     4.24
   -20.00    -4.07     0.11    -3.34     0.05     0.00    57.39    62.52     0.00     0.00    21.13     6.03     8.45     4.24
   -25.00    -5.72     0.25    -4.45     0.08     0.00    58.77    68.90     0.00     0.00    21.12     5.89     8.47     4.24
   -30.00    -7.64     0.39    -5.67     0.10     0.00    60.16    75.29     0.00     0.00    21.12     5.76     8.48     4.24
   -35.00    -9.83     0.52    -6.99     0.13     0.00    61.57    81.70     0.00     0.00    21.11     5.63     8.50     4.24
   -40.00   -12.30     0.65    -8.43     0.16     0.00    63.00    88.12     0.00     0.00    21.11     5.50     8.51     4.24
