
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           gnistFront                                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00     5.00    11.33    51.36    34.00     0.00     0.40    -0.50    -0.66    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    24.79    50.53    30.67     0.00     0.57    -0.50    -0.83    -0.48     0.00    10.00     0.00     0.00
     0.00    15.00    41.08    49.52    27.16     0.00     0.50    -0.50    -1.01    -0.72     0.00    15.00     0.00     0.00
     0.00    20.00    61.24    48.27    23.41     0.00     0.20    -0.50    -1.19    -0.95     0.00    20.00     0.00     0.00
     0.00    25.00    86.92    46.67    19.31     0.00    -0.33    -0.50    -1.37    -1.19     0.00    24.99     0.00     0.00
     0.00    30.00   120.88    44.57    14.71     0.00    -1.09    -0.50    -1.56    -1.43     0.00    29.99     0.00     0.00
     0.00    35.00   168.02    41.65     9.28     0.00    -2.07    -0.50    -1.75    -1.67     0.00    34.98     0.00     0.00
     0.00    40.00   238.18    37.30     2.43     0.00    -3.27    -0.50    -1.95    -1.91     0.00    39.97     0.00     0.00
     0.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00    -9.69    52.67    40.31     0.00    -0.64    -0.50    -0.34     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -18.10    53.19    43.33     0.00    -1.53    -0.50    -0.19     0.48     0.00   -10.00     0.00     0.00
     0.00   -15.00   -25.46    53.64    46.28     0.00    -2.67    -0.50    -0.04     0.72     0.00   -15.01     0.00     0.00
     0.00   -20.00   -31.99    54.05    49.18     0.00    -4.07    -0.50     0.11     0.96     0.00   -20.01     0.00     0.00
