
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics Design Position                             gnistFront                                          

  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00     0.00    -0.50    21.15     0.00     0.00     0.00     0.00     0.00     0.00    67.36 ******** ********
    10.00    10.60     9.88     0.38    21.10    -2.26     9.32     1.29     0.72     0.57    56.11    57.40    17.87    18.41
    20.00    22.54    19.40     1.60    21.03    -9.15    17.56     4.98     3.14     1.84    63.04    46.49     9.26     9.85
    30.00    37.19    28.82     3.37    20.95   -21.11    25.89    11.31     8.37     2.94    74.03    33.48     6.39     7.03
    40.00    61.83    38.42     6.72    20.85   -40.44    38.31    23.52    23.41     0.11    99.52    12.61     4.97     5.63
    50.00    75.89    48.54     7.91    20.82   -51.19    45.74    30.15    27.35     2.80    90.70     5.08     4.13     4.81
    60.00    76.37    59.74     7.07    20.77   -58.57    46.14    30.23    16.63    13.60    55.00     5.29     3.59     4.27
    70.00    76.89    73.41     6.13    20.71   -68.86    46.63    30.26     3.48    26.78    11.50     4.88     3.24     3.89
     0.00     0.00     0.00    -0.50    21.15     0.00     0.00     0.00     0.00     0.00     0.00    67.36 ******** ********
   -10.00    -9.88   -10.60    -1.12    21.20    -2.26    -9.32    -1.29    -0.72    -0.57    56.11    76.86    17.87    18.41
   -20.00   -19.40   -22.54    -1.51    21.25    -9.15   -17.56    -4.98    -3.14    -1.84    63.04    86.24     9.26     9.85
   -30.00   -28.82   -37.19    -1.70    21.29   -21.11   -25.89   -11.31    -8.37    -2.94    74.03    95.76     6.39     7.03
   -40.00   -38.42   -61.83    -1.68    21.33   -40.44   -38.31   -23.52   -23.41    -0.11    99.52   105.67     4.97     5.63
   -50.00   -48.54   -75.89    -1.42    21.36   -51.19   -45.74   -30.15   -27.35    -2.80    90.70   116.36     4.13     4.81
   -60.00   -59.74   -76.37    -0.86    21.35   -58.57   -46.14   -30.23   -16.63   -13.60    55.00   128.45     3.59     4.27
   -70.00   -73.41   -76.89     0.19    21.25   -68.86   -46.63   -30.26    -3.48   -26.78    11.50   143.48     3.24     3.89
