
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           gnistFront                                          

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.03     0.00    -0.02     0.00     0.40     0.00     0.54    -0.50    -0.01     0.00    -0.04     0.00   -56.55     0.00
     0.00  -100.00     0.00    -0.03     0.00     0.02     0.00    -0.40     0.00     0.46    -0.50     0.01     0.00     0.04     0.00    56.31     0.00
     0.00     0.00   100.00     0.00    -0.03     0.00    -0.02     0.00    -0.40     0.50    -0.46     0.00     0.01     0.00    -0.04     0.00    56.31
     0.00     0.00  -100.00     0.00     0.03     0.00     0.02     0.00     0.40     0.50    -0.54     0.00    -0.01     0.00     0.04     0.00   -56.55
     5.00   100.00     0.00     0.04     0.01    -0.32     0.30     5.42     5.00     0.70    -0.66    -0.01     0.00    -0.05     0.01   -58.23     0.00
     5.00  -100.00     0.00    -0.03     0.01    -0.27     0.30     4.59     5.00     0.63    -0.66     0.01     0.00     0.03     0.01    57.98     0.00
     5.00     0.00   100.00     0.01    -0.03    -0.30     0.27     5.00     4.59     0.66    -0.63     0.00     0.01    -0.01    -0.03     0.00    57.98
     5.00     0.00  -100.00     0.01     0.04    -0.30     0.32     5.00     5.42     0.66    -0.70     0.00    -0.01    -0.01     0.05     0.00   -58.23
    10.00   100.00     0.00     0.04     0.01    -0.70     0.66    10.43    10.00     0.87    -0.83    -0.01     0.00    -0.05     0.01   -59.93     0.00
    10.00  -100.00     0.00    -0.02     0.01    -0.63     0.66     9.57    10.00     0.80    -0.83     0.01     0.00     0.03     0.01    59.66     0.00
    10.00     0.00   100.00     0.01    -0.02    -0.66     0.63    10.00     9.57     0.83    -0.80     0.00     0.01    -0.01    -0.03     0.00    59.66
    10.00     0.00  -100.00     0.01     0.04    -0.66     0.70    10.00    10.43     0.83    -0.87     0.00    -0.01    -0.01     0.05     0.00   -59.93
    15.00   100.00     0.00     0.04     0.01    -1.14     1.10    15.44    15.00     1.05    -1.01    -0.01     0.00    -0.05     0.01   -61.66     0.00
    15.00  -100.00     0.00    -0.03     0.01    -1.05     1.10    14.56    15.00     0.97    -1.01     0.01     0.00     0.03     0.01    61.38     0.00
    15.00     0.00   100.00     0.01    -0.03    -1.10     1.05    15.00    14.56     1.01    -0.97     0.00     0.01    -0.01    -0.03     0.00    61.38
    15.00     0.00  -100.00     0.01     0.04    -1.10     1.14    15.00    15.44     1.01    -1.05     0.00    -0.01    -0.01     0.05     0.00   -61.66
    20.00   100.00     0.00     0.03     0.00    -1.65     1.60    20.45    20.00     1.22    -1.19    -0.01     0.00    -0.04     0.00   -63.42     0.00
    20.00  -100.00     0.00    -0.03     0.00    -1.55     1.60    19.55    20.00     1.15    -1.19     0.01     0.00     0.04     0.00    63.12     0.00
    20.00     0.00   100.00     0.00    -0.03    -1.60     1.55    20.00    19.55     1.19    -1.15     0.00     0.01     0.00    -0.04     0.00    63.12
    20.00     0.00  -100.00     0.00     0.03    -1.60     1.65    20.00    20.45     1.19    -1.22     0.00    -0.01     0.00     0.04     0.00   -63.42
    25.00   100.00     0.00     0.03     0.00    -2.24     2.18    25.46    24.99     1.41    -1.37    -0.01     0.00    -0.03    -0.01   -65.21     0.00
    25.00  -100.00     0.00    -0.04     0.00    -2.12     2.18    24.53    24.99     1.33    -1.37     0.01     0.00     0.05    -0.01    64.90     0.00
    25.00     0.00   100.00     0.00    -0.04    -2.18     2.12    24.99    24.53     1.37    -1.33     0.00     0.01     0.01    -0.05     0.00    64.90
    25.00     0.00  -100.00     0.00     0.03    -2.18     2.24    24.99    25.46     1.37    -1.41     0.00    -0.01     0.01     0.03     0.00   -65.21
    30.00   100.00     0.00     0.02    -0.01    -2.89     2.83    30.47    29.99     1.60    -1.56    -0.01     0.00    -0.02    -0.02   -67.03     0.00
    30.00  -100.00     0.00    -0.05    -0.01    -2.76     2.83    29.51    29.99     1.52    -1.56     0.00     0.00     0.06    -0.02    66.70     0.00
    30.00     0.00   100.00    -0.01    -0.05    -2.83     2.76    29.99    29.51     1.56    -1.52     0.00     0.00     0.02    -0.06     0.00    66.70
    30.00     0.00  -100.00    -0.01     0.02    -2.83     2.89    29.99    30.47     1.56    -1.60     0.00    -0.01     0.02     0.02     0.00   -67.03
    35.00   100.00     0.00     0.00    -0.03    -3.62     3.54    35.47    34.98     1.80    -1.75    -0.01     0.00    -0.01    -0.03   -68.89     0.00
    35.00  -100.00     0.00    -0.06    -0.03    -3.47     3.54    34.49    34.98     1.71    -1.75     0.00     0.00     0.07    -0.03    68.55     0.00
    35.00     0.00   100.00    -0.03    -0.06    -3.54     3.47    34.98    34.49     1.75    -1.71     0.00     0.00     0.03    -0.07     0.00    68.55
    35.00     0.00  -100.00    -0.03     0.00    -3.54     3.62    34.98    35.47     1.75    -1.80     0.00    -0.01     0.03     0.01     0.00   -68.89
    40.00   100.00     0.00    -0.01    -0.04    -4.42     4.33    40.48    39.97     2.00    -1.95    -0.01    -0.01     0.02    -0.05   -70.79     0.00
    40.00  -100.00     0.00    -0.07    -0.04    -4.25     4.33    39.47    39.97     1.91    -1.95     0.00    -0.01     0.09    -0.05    70.42     0.00
    40.00     0.00   100.00    -0.04    -0.07    -4.33     4.25    39.97    39.47     1.95    -1.91    -0.01     0.00     0.05    -0.09     0.00    70.42
    40.00     0.00  -100.00    -0.04    -0.01    -4.33     4.42    39.97    40.48     1.95    -2.00    -0.01    -0.01     0.05    -0.02     0.00   -70.79
    -5.00   100.00     0.00     0.02    -0.01     0.21    -0.23    -4.61    -5.00     0.38    -0.34    -0.01     0.00    -0.03    -0.01   -54.90     0.00
    -5.00  -100.00     0.00    -0.04    -0.01     0.24    -0.23    -5.39    -5.00     0.31    -0.34     0.01     0.00     0.05    -0.01    54.67     0.00
    -5.00     0.00   100.00    -0.01    -0.04     0.23    -0.24    -5.00    -5.39     0.34    -0.31     0.00     0.01     0.01    -0.05     0.00    54.67
    -5.00     0.00  -100.00    -0.01     0.02     0.23    -0.21    -5.00    -4.61     0.34    -0.38     0.00    -0.01     0.01     0.03     0.00   -54.90
   -10.00   100.00     0.00     0.01    -0.02     0.37    -0.38    -9.62   -10.00     0.22    -0.19    -0.01     0.00    -0.02    -0.03   -53.26     0.00
   -10.00  -100.00     0.00    -0.05    -0.02     0.39    -0.38   -10.38   -10.00     0.15    -0.19     0.01     0.00     0.07    -0.03    53.05     0.00
   -10.00     0.00   100.00    -0.02    -0.05     0.38    -0.39   -10.00   -10.38     0.19    -0.15     0.00     0.01     0.03    -0.07     0.00    53.05
   -10.00     0.00  -100.00    -0.02     0.01     0.38    -0.37   -10.00    -9.62     0.19    -0.22     0.00    -0.01     0.03     0.02     0.00   -53.26
   -15.00   100.00     0.00     0.00    -0.04     0.46    -0.47   -14.64   -15.01     0.07    -0.04    -0.01     0.00     0.00    -0.04   -51.65     0.00
   -15.00  -100.00     0.00    -0.07    -0.04     0.47    -0.47   -15.38   -15.01     0.00    -0.04     0.00     0.00     0.09    -0.04    51.44     0.00
   -15.00     0.00   100.00    -0.04    -0.07     0.47    -0.47   -15.01   -15.38     0.04     0.00     0.00     0.00     0.04    -0.09     0.00    51.44
   -15.00     0.00  -100.00    -0.04     0.00     0.47    -0.46   -15.01   -14.64     0.04    -0.07     0.00    -0.01     0.04     0.00     0.00   -51.65
   -20.00   100.00     0.00    -0.02    -0.05     0.48    -0.48   -19.65   -20.01    -0.08     0.11    -0.02    -0.01     0.03    -0.07   -50.05     0.00
   -20.00  -100.00     0.00    -0.09    -0.05     0.48    -0.48   -20.37   -20.01    -0.14     0.11     0.00    -0.01     0.11    -0.07    49.86     0.00
   -20.00     0.00   100.00    -0.05    -0.09     0.48    -0.48   -20.01   -20.37    -0.11     0.14    -0.01     0.00     0.07    -0.11     0.00    49.86
