
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           gnistFront                                          

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.03     0.00     0.01     0.00     0.00     0.00     0.49    -0.50     0.16     0.00    -0.01     0.00    -0.29     0.00
     0.00  -100.00     0.00     0.03     0.00    -0.01     0.00     0.00     0.00     0.51    -0.50    -0.16     0.00     0.01     0.00     0.42     0.00
     0.00     0.00   100.00     0.00    -0.03     0.00    -0.01     0.00     0.00     0.50    -0.49     0.00     0.16     0.00     0.01     0.00    -0.29
     0.00     0.00  -100.00     0.00     0.03     0.00     0.01     0.00     0.00     0.50    -0.51     0.00    -0.16     0.00    -0.01     0.00     0.42
     5.00   100.00     0.00    -0.02     0.01    -0.29     0.30     5.00     5.00     0.66    -0.66     0.16     0.00    -0.01     0.01    -0.13     0.00
     5.00  -100.00     0.00     0.03     0.01    -0.30     0.30     5.00     5.00     0.67    -0.66    -0.16     0.00     0.00     0.01     0.26     0.00
     5.00     0.00   100.00     0.01    -0.02    -0.30     0.29     5.00     5.00     0.66    -0.66     0.00     0.16    -0.01     0.01     0.00    -0.13
     5.00     0.00  -100.00     0.01     0.03    -0.30     0.30     5.00     5.00     0.66    -0.67     0.00    -0.16    -0.01     0.00     0.00     0.26
    10.00   100.00     0.00    -0.02     0.01    -0.66     0.66    10.00    10.00     0.83    -0.83     0.16     0.00    -0.02     0.01     0.03     0.00
    10.00  -100.00     0.00     0.04     0.01    -0.67     0.66    10.00    10.00     0.84    -0.83    -0.16     0.00     0.00     0.01     0.10     0.00
    10.00     0.00   100.00     0.01    -0.02    -0.66     0.66    10.00    10.00     0.83    -0.83     0.00     0.16    -0.01     0.02     0.00     0.03
    10.00     0.00  -100.00     0.01     0.04    -0.66     0.67    10.00    10.00     0.83    -0.84     0.00    -0.16    -0.01     0.00     0.00     0.10
    15.00   100.00     0.00    -0.02     0.01    -1.09     1.10    15.00    15.00     1.00    -1.01     0.16     0.00    -0.01     0.01     0.20     0.00
    15.00  -100.00     0.00     0.04     0.01    -1.10     1.10    15.00    15.00     1.01    -1.01    -0.16     0.00     0.00     0.01    -0.07     0.00
    15.00     0.00   100.00     0.01    -0.02    -1.10     1.09    15.00    15.00     1.01    -1.00     0.00     0.16    -0.01     0.01     0.00     0.20
    15.00     0.00  -100.00     0.01     0.04    -1.10     1.10    15.00    15.00     1.01    -1.01     0.00    -0.16    -0.01     0.00     0.00    -0.07
    20.00   100.00     0.00    -0.03     0.00    -1.60     1.60    19.99    20.00     1.18    -1.19     0.16     0.00    -0.01     0.00     0.38     0.00
    20.00  -100.00     0.00     0.03     0.00    -1.61     1.60    20.00    20.00     1.19    -1.19    -0.16     0.00     0.00     0.00    -0.24     0.00
    20.00     0.00   100.00     0.00    -0.03    -1.60     1.60    20.00    19.99     1.19    -1.18     0.00     0.16     0.00     0.01     0.00     0.38
    20.00     0.00  -100.00     0.00     0.03    -1.60     1.61    20.00    20.00     1.19    -1.19     0.00    -0.16     0.00     0.00     0.00    -0.24
    25.00   100.00     0.00    -0.03     0.00    -2.17     2.18    24.99    24.99     1.36    -1.37     0.16     0.00     0.00    -0.01     0.56     0.00
    25.00  -100.00     0.00     0.03     0.00    -2.19     2.18    25.00    24.99     1.38    -1.37    -0.16     0.00     0.01    -0.01    -0.42     0.00
    25.00     0.00   100.00     0.00    -0.03    -2.18     2.17    24.99    24.99     1.37    -1.36     0.00     0.16     0.01     0.00     0.00     0.56
    25.00     0.00  -100.00     0.00     0.03    -2.18     2.19    24.99    25.00     1.37    -1.38     0.00    -0.16     0.01    -0.01     0.00    -0.42
    30.00   100.00     0.00    -0.04    -0.01    -2.82     2.83    29.98    29.99     1.55    -1.56     0.15     0.00     0.01    -0.02     0.75     0.00
    30.00  -100.00     0.00     0.02    -0.01    -2.83     2.83    29.99    29.99     1.57    -1.56    -0.16     0.00     0.02    -0.02    -0.61     0.00
    30.00     0.00   100.00    -0.01    -0.04    -2.83     2.82    29.99    29.98     1.56    -1.55     0.00     0.15     0.02    -0.01     0.00     0.75
    30.00     0.00  -100.00    -0.01     0.02    -2.83     2.83    29.99    29.99     1.56    -1.57     0.00    -0.16     0.02    -0.02     0.00    -0.61
    35.00   100.00     0.00    -0.06    -0.03    -3.54     3.54    34.97    34.98     1.75    -1.75     0.15     0.00     0.03    -0.03     0.94     0.00
    35.00  -100.00     0.00     0.00    -0.03    -3.55     3.54    34.99    34.98     1.76    -1.75    -0.16     0.00     0.04    -0.03    -0.81     0.00
    35.00     0.00   100.00    -0.03    -0.06    -3.54     3.54    34.98    34.97     1.75    -1.75     0.00     0.15     0.03    -0.03     0.00     0.94
    35.00     0.00  -100.00    -0.03     0.00    -3.54     3.55    34.98    34.99     1.75    -1.76     0.00    -0.16     0.03    -0.04     0.00    -0.81
    40.00   100.00     0.00    -0.07    -0.04    -4.33     4.33    39.96    39.97     1.95    -1.95     0.15    -0.01     0.05    -0.05     1.15     0.00
    40.00  -100.00     0.00    -0.01    -0.04    -4.34     4.33    39.98    39.97     1.96    -1.95    -0.16    -0.01     0.06    -0.05    -1.01     0.00
    40.00     0.00   100.00    -0.04    -0.07    -4.33     4.33    39.97    39.96     1.95    -1.95    -0.01     0.15     0.05    -0.05     0.00     1.15
    40.00     0.00  -100.00    -0.04    -0.01    -4.33     4.34    39.97    39.98     1.95    -1.96    -0.01    -0.16     0.05    -0.06     0.00    -1.01
    -5.00   100.00     0.00    -0.04    -0.01     0.23    -0.23    -5.00    -5.00     0.33    -0.34     0.16     0.00     0.00    -0.01    -0.44     0.00
    -5.00  -100.00     0.00     0.02    -0.01     0.22    -0.23    -5.01    -5.00     0.35    -0.34    -0.16     0.00     0.02    -0.01     0.57     0.00
    -5.00     0.00   100.00    -0.01    -0.04     0.23    -0.23    -5.00    -5.00     0.34    -0.33     0.00     0.16     0.01     0.00     0.00    -0.44
    -5.00     0.00  -100.00    -0.01     0.02     0.23    -0.22    -5.00    -5.01     0.34    -0.35     0.00    -0.16     0.01    -0.02     0.00     0.57
   -10.00   100.00     0.00    -0.05    -0.02     0.39    -0.38   -10.00   -10.00     0.18    -0.19     0.16     0.00     0.02    -0.03    -0.59     0.00
   -10.00  -100.00     0.00     0.01    -0.02     0.37    -0.38   -10.01   -10.00     0.19    -0.19    -0.16     0.00     0.04    -0.03     0.72     0.00
   -10.00     0.00   100.00    -0.02    -0.05     0.38    -0.39   -10.00   -10.00     0.19    -0.18     0.00     0.16     0.03    -0.02     0.00    -0.59
   -10.00     0.00  -100.00    -0.02     0.01     0.38    -0.37   -10.00   -10.01     0.19    -0.19     0.00    -0.16     0.03    -0.04     0.00     0.72
   -15.00   100.00     0.00    -0.06    -0.04     0.47    -0.47   -15.00   -15.01     0.03    -0.04     0.16     0.00     0.03    -0.04    -0.73     0.00
   -15.00  -100.00     0.00    -0.01    -0.04     0.46    -0.47   -15.01   -15.01     0.04    -0.04    -0.16     0.00     0.06    -0.04     0.86     0.00
   -15.00     0.00   100.00    -0.04    -0.06     0.47    -0.47   -15.01   -15.00     0.04    -0.03     0.00     0.16     0.04    -0.03     0.00    -0.73
   -15.00     0.00  -100.00    -0.04    -0.01     0.47    -0.46   -15.01   -15.01     0.04    -0.04     0.00    -0.16     0.04    -0.06     0.00     0.86
   -20.00   100.00     0.00    -0.08    -0.05     0.49    -0.48   -20.01   -20.01    -0.12     0.11     0.15    -0.01     0.06    -0.07    -0.87     0.00
   -20.00  -100.00     0.00    -0.03    -0.05     0.48    -0.48   -20.02   -20.01    -0.10     0.11    -0.17    -0.01     0.08    -0.07     1.00     0.00
   -20.00     0.00   100.00    -0.05    -0.08     0.48    -0.49   -20.01   -20.01    -0.11     0.12    -0.01     0.15     0.07    -0.06     0.00    -0.87
   -20.00     0.00  -100.00    -0.05    -0.03     0.48    -0.48   -20.01   -20.02    -0.11     0.10    -0.01    -0.17     0.07    -0.08     0.00     1.00
