
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           gnistFront                                          

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.25     0.00    -0.02     0.00    -0.02     0.00     0.46    -0.50    -0.01     0.00     0.26     0.00     3.00     0.00
     0.00  -100.00     0.00     0.25     0.00     0.02     0.00     0.02     0.00     0.54    -0.50     0.01     0.00    -0.26     0.00    -3.08     0.00
     0.00     0.00   100.00     0.00     0.25     0.00    -0.02     0.00     0.02     0.50    -0.54     0.00     0.01     0.00     0.26     0.00    -3.08
     0.00     0.00  -100.00     0.00    -0.25     0.00     0.02     0.00    -0.02     0.50    -0.46     0.00    -0.01     0.00    -0.26     0.00     3.00
     5.00   100.00     0.00    -0.24     0.01    -0.31     0.30     4.99     5.00     0.62    -0.66     0.00     0.00     0.25     0.01     1.59     0.00
     5.00  -100.00     0.00     0.25     0.01    -0.28     0.30     5.01     5.00     0.71    -0.66     0.01     0.00    -0.26     0.01    -1.70     0.00
     5.00     0.00   100.00     0.01     0.25    -0.30     0.28     5.00     5.01     0.66    -0.71     0.00     0.01    -0.01     0.26     0.00    -1.70
     5.00     0.00  -100.00     0.01    -0.24    -0.30     0.31     5.00     4.99     0.66    -0.62     0.00     0.00    -0.01    -0.25     0.00     1.59
    10.00   100.00     0.00    -0.24     0.01    -0.68     0.66    10.00    10.00     0.79    -0.83     0.00     0.00     0.25     0.01     0.19     0.00
    10.00  -100.00     0.00     0.26     0.01    -0.64     0.66    10.00    10.00     0.87    -0.83     0.01     0.00    -0.27     0.01    -0.35     0.00
    10.00     0.00   100.00     0.01     0.26    -0.66     0.64    10.00    10.00     0.83    -0.87     0.00     0.01    -0.01     0.27     0.00    -0.35
    10.00     0.00  -100.00     0.01    -0.24    -0.66     0.68    10.00    10.00     0.83    -0.79     0.00     0.00    -0.01    -0.25     0.00     0.19
    15.00   100.00     0.00    -0.24     0.01    -1.12     1.10    15.01    15.00     0.97    -1.01     0.00     0.00     0.25     0.01    -1.18     0.00
    15.00  -100.00     0.00     0.26     0.01    -1.08     1.10    14.99    15.00     1.05    -1.01     0.00     0.00    -0.27     0.01     0.98     0.00
    15.00     0.00   100.00     0.01     0.26    -1.10     1.08    15.00    14.99     1.01    -1.05     0.00     0.00    -0.01     0.27     0.00     0.98
    15.00     0.00  -100.00     0.01    -0.24    -1.10     1.12    15.00    15.01     1.01    -0.97     0.00     0.00    -0.01    -0.25     0.00    -1.18
    20.00   100.00     0.00    -0.25     0.00    -1.63     1.60    20.02    20.00     1.14    -1.19     0.00     0.00     0.26     0.00    -2.53     0.00
    20.00  -100.00     0.00     0.25     0.00    -1.58     1.60    19.98    20.00     1.23    -1.19     0.00     0.00    -0.26     0.00     2.30     0.00
    20.00     0.00   100.00     0.00     0.25    -1.60     1.58    20.00    19.98     1.19    -1.23     0.00     0.00     0.00     0.26     0.00     2.30
    20.00     0.00  -100.00     0.00    -0.25    -1.60     1.63    20.00    20.02     1.19    -1.14     0.00     0.00     0.00    -0.26     0.00    -2.53
    25.00   100.00     0.00    -0.26     0.00    -2.20     2.18    25.02    24.99     1.33    -1.37     0.00     0.00     0.27    -0.01    -3.86     0.00
    25.00  -100.00     0.00     0.25     0.00    -2.16     2.18    24.97    24.99     1.41    -1.37     0.00     0.00    -0.25    -0.01     3.59     0.00
    25.00     0.00   100.00     0.00     0.25    -2.18     2.16    24.99    24.97     1.37    -1.41     0.00     0.00     0.01     0.25     0.00     3.59
