
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            GnistRear                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.20     0.00     0.02     0.00     0.00     0.00     0.49    -0.50    -0.01     0.00    -0.05     0.00    -0.02     0.00
     0.00 -1000.00     0.00    -0.20     0.00    -0.02     0.00     0.00     0.00     0.51    -0.50     0.01     0.00     0.05     0.00    -0.02     0.00
     0.00     0.00  1000.00     0.00     0.20     0.00    -0.02     0.00     0.00     0.50    -0.49     0.00    -0.01     0.00     0.05     0.00    -0.02
     0.00     0.00 -1000.00     0.00    -0.20     0.00     0.02     0.00     0.00     0.50    -0.51     0.00     0.01     0.00    -0.05     0.00    -0.02
     5.00  1000.00     0.00     0.20     0.00    -0.41     0.43     5.00     5.00     0.73    -0.73    -0.01     0.00    -0.05     0.00    -0.02     0.00
     5.00 -1000.00     0.00    -0.20     0.00    -0.45     0.43     5.00     5.00     0.74    -0.73     0.01     0.00     0.05     0.00    -0.02     0.00
     5.00     0.00  1000.00     0.00     0.20    -0.43     0.41     5.00     5.00     0.73    -0.73     0.00    -0.01     0.00     0.05     0.00    -0.02
     5.00     0.00 -1000.00     0.00    -0.20    -0.43     0.45     5.00     5.00     0.73    -0.74     0.00     0.01     0.00    -0.05     0.00    -0.02
    10.00  1000.00     0.00     0.20     0.00    -0.92     0.94    10.00    10.00     0.97    -0.97    -0.01     0.00    -0.05     0.00    -0.02     0.00
    10.00 -1000.00     0.00    -0.20     0.00    -0.96     0.94    10.00    10.00     0.98    -0.97     0.01     0.00     0.05     0.00    -0.02     0.00
    10.00     0.00  1000.00     0.00     0.20    -0.94     0.92    10.00    10.00     0.97    -0.97     0.00    -0.01     0.00     0.05     0.00    -0.02
    10.00     0.00 -1000.00     0.00    -0.20    -0.94     0.96    10.00    10.00     0.97    -0.98     0.00     0.01     0.00    -0.05     0.00    -0.02
    15.00  1000.00     0.00     0.20     0.00    -1.51     1.53    15.00    15.00     1.21    -1.22    -0.01     0.00    -0.05     0.00    -0.02     0.00
    15.00 -1000.00     0.00    -0.20     0.00    -1.55     1.53    15.00    15.00     1.22    -1.22     0.01     0.00     0.05     0.00    -0.02     0.00
    15.00     0.00  1000.00     0.00     0.20    -1.53     1.51    15.00    15.00     1.22    -1.21     0.00    -0.01     0.00     0.05     0.00    -0.02
    15.00     0.00 -1000.00     0.00    -0.20    -1.53     1.55    15.00    15.00     1.22    -1.22     0.00     0.01     0.00    -0.05     0.00    -0.02
    20.00  1000.00     0.00     0.20     0.00    -2.18     2.20    19.99    19.99     1.46    -1.47    -0.01     0.00    -0.05     0.00    -0.02     0.00
    20.00 -1000.00     0.00    -0.20     0.00    -2.22     2.20    19.99    19.99     1.47    -1.47     0.01     0.00     0.05     0.00    -0.02     0.00
    20.00     0.00  1000.00     0.00     0.20    -2.20     2.18    19.99    19.99     1.47    -1.46     0.00    -0.01     0.00     0.05     0.00    -0.02
    20.00     0.00 -1000.00     0.00    -0.20    -2.20     2.22    19.99    19.99     1.47    -1.47     0.00     0.01     0.00    -0.05     0.00    -0.02
    25.00  1000.00     0.00     0.20     0.00    -2.93     2.95    24.98    24.98     1.72    -1.72    -0.01     0.00    -0.05     0.00    -0.03     0.00
    25.00 -1000.00     0.00    -0.20     0.00    -2.98     2.95    24.98    24.98     1.73    -1.72     0.01     0.00     0.05     0.00    -0.03     0.00
    25.00     0.00  1000.00     0.00     0.20    -2.95     2.93    24.98    24.98     1.72    -1.72     0.00    -0.01     0.00     0.05     0.00    -0.03
