
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            GnistRear                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.02     0.00     0.07     0.00    -0.54     0.00     0.47    -0.50     0.00     0.00     0.00     0.00    76.00     0.00
     0.00 -1000.00     0.00    -0.02     0.00    -0.07     0.00     0.57     0.00     0.53    -0.50     0.00     0.00     0.00     0.00   -79.58     0.00
     0.00     0.00  1000.00     0.00    -0.02     0.00     0.07     0.00     0.57     0.50    -0.53     0.00     0.00     0.00     0.00     0.00   -79.58
     0.00     0.00 -1000.00     0.00     0.02     0.00    -0.07     0.00    -0.54     0.50    -0.47     0.00     0.00     0.00     0.00     0.00    76.00
     5.00  1000.00     0.00     0.02     0.00    -0.34     0.43     4.35     5.00     0.70    -0.73     0.00     0.00     0.00     0.00    91.75     0.00
     5.00 -1000.00     0.00    -0.02     0.00    -0.52     0.43     5.69     5.00     0.77    -0.73     0.00     0.00     0.00     0.00   -96.09     0.00
     5.00     0.00  1000.00     0.00    -0.02    -0.43     0.52     5.00     5.69     0.73    -0.77     0.00     0.00     0.00     0.00     0.00   -96.09
     5.00     0.00 -1000.00     0.00     0.02    -0.43     0.34     5.00     4.35     0.73    -0.70     0.00     0.00     0.00     0.00     0.00    91.75
    10.00  1000.00     0.00     0.02     0.00    -0.83     0.94     9.23    10.00     0.93    -0.97     0.00     0.00     0.00     0.00   107.52     0.00
    10.00 -1000.00     0.00    -0.02     0.00    -1.05     0.94    10.80    10.00     1.01    -0.97     0.00     0.00     0.00     0.00  -112.62     0.00
    10.00     0.00  1000.00     0.00    -0.02    -0.94     1.05    10.00    10.80     0.97    -1.01     0.00     0.00     0.00     0.00     0.00  -112.62
    10.00     0.00 -1000.00     0.00     0.02    -0.94     0.83    10.00     9.23     0.97    -0.93     0.00     0.00     0.00     0.00     0.00   107.52
    15.00  1000.00     0.00     0.02     0.00    -1.39     1.53    14.12    15.00     1.17    -1.22     0.00     0.00     0.00     0.00   123.32     0.00
    15.00 -1000.00     0.00    -0.02     0.00    -1.67     1.53    15.92    15.00     1.27    -1.22     0.00     0.00     0.00     0.00  -129.18     0.00
    15.00     0.00  1000.00     0.00    -0.02    -1.53     1.67    15.00    15.92     1.22    -1.27     0.00     0.00     0.00     0.00     0.00  -129.18
    15.00     0.00 -1000.00     0.00     0.02    -1.53     1.39    15.00    14.12     1.22    -1.17     0.00     0.00     0.00     0.00     0.00   123.32
    20.00  1000.00     0.00     0.02     0.00    -2.04     2.20    19.00    19.99     1.42    -1.47     0.00     0.00     0.00     0.00   139.16     0.00
    20.00 -1000.00     0.00    -0.02     0.00    -2.38     2.20    21.03    19.99     1.52    -1.47     0.00     0.00     0.00     0.00  -145.79     0.00
    20.00     0.00  1000.00     0.00    -0.02    -2.20     2.38    19.99    21.03     1.47    -1.52     0.00     0.00     0.00     0.00     0.00  -145.79
    20.00     0.00 -1000.00     0.00     0.02    -2.20     2.04    19.99    19.00     1.47    -1.42     0.00     0.00     0.00     0.00     0.00   139.16
    25.00  1000.00     0.00     0.02     0.00    -2.76     2.95    23.88    24.98     1.67    -1.72     0.00     0.00     0.01     0.00   155.04     0.00
    25.00 -1000.00     0.00    -0.02     0.00    -3.17     2.95    26.14    24.98     1.79    -1.72     0.00     0.00    -0.01     0.00  -162.45     0.00
    25.00     0.00  1000.00     0.00    -0.02    -2.95     3.17    24.98    26.14     1.72    -1.79     0.00     0.00     0.00     0.01     0.00  -162.45
    25.00     0.00 -1000.00     0.00     0.02    -2.95     2.76    24.98    23.88     1.72    -1.67     0.00     0.00     0.00    -0.01     0.00   155.04
