
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            GnistRear                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.00     0.00    -0.64     0.00     7.14     0.00     0.84    -0.50     0.00     0.00     0.00     0.00  -999.64     0.00
     0.00 -1000.00     0.00     0.00     0.00     0.47     0.00    -7.16     0.00     0.17    -0.50     0.00     0.00     0.00     0.00  1001.49     0.00
     0.00     0.00  1000.00     0.00     0.00     0.00     0.64     0.00     7.14     0.50    -0.84     0.00     0.00     0.00     0.00     0.00  -999.64
     0.00     0.00 -1000.00     0.00     0.00     0.00    -0.47     0.00    -7.16     0.50    -0.17     0.00     0.00     0.00     0.00     0.00  1001.49
     5.00  1000.00     0.00     0.00     0.00    -1.18     0.43    12.13     5.00     1.08    -0.73     0.00     0.00     0.00     0.00  -998.90     0.00
     5.00 -1000.00     0.00     0.00     0.00     0.16     0.43    -2.15     5.00     0.40    -0.73     0.00     0.00     0.00     0.00  1000.88     0.00
     5.00     0.00  1000.00     0.00     0.00    -0.43     1.18     5.00    12.13     0.73    -1.08     0.00     0.00     0.00     0.00     0.00  -998.90
     5.00     0.00 -1000.00     0.00     0.00    -0.43    -0.16     5.00    -2.15     0.73    -0.40     0.00     0.00     0.00     0.00     0.00  1000.88
    10.00  1000.00     0.00     0.00     0.00    -1.81     0.94    17.12    10.00     1.32    -0.97     0.00     0.00     0.00     0.00  -998.12     0.00
    10.00 -1000.00     0.00     0.00     0.00    -0.24     0.94     2.86    10.00     0.63    -0.97     0.00     0.00     0.00     0.00  1000.23     0.00
    10.00     0.00  1000.00     0.00     0.00    -0.94     1.81    10.00    17.12     0.97    -1.32     0.00     0.00     0.00     0.00     0.00  -998.12
    10.00     0.00 -1000.00     0.00     0.00    -0.94     0.24    10.00     2.86     0.97    -0.63     0.00     0.00     0.00     0.00     0.00  1000.23
    15.00  1000.00     0.00     0.00     0.00    -2.51     1.53    22.11    15.00     1.58    -1.22     0.00     0.00     0.00     0.00  -997.28     0.00
    15.00 -1000.00     0.00     0.00     0.00    -0.71     1.53     7.86    15.00     0.87    -1.22     0.00     0.00     0.00     0.00   999.53     0.00
    15.00     0.00  1000.00     0.00     0.00    -1.53     2.51    15.00    22.11     1.22    -1.58     0.00     0.00     0.00     0.00     0.00  -997.28
    15.00     0.00 -1000.00     0.00     0.00    -1.53     0.71    15.00     7.86     1.22    -0.87     0.00     0.00     0.00     0.00     0.00   999.53
    20.00  1000.00     0.00     0.00     0.00    -3.30     2.20    27.09    19.99     1.83    -1.47     0.00     0.00     0.00     0.00  -996.38     0.00
    20.00 -1000.00     0.00     0.00     0.00    -1.27     2.20    12.86    19.99     1.11    -1.47     0.00     0.00     0.00     0.00   998.79     0.00
    20.00     0.00  1000.00     0.00     0.00    -2.20     3.30    19.99    27.09     1.47    -1.83     0.00     0.00     0.00     0.00     0.00  -996.38
    20.00     0.00 -1000.00     0.00     0.00    -2.20     1.27    19.99    12.86     1.47    -1.11     0.00     0.00     0.00     0.00     0.00   998.79
    25.00  1000.00     0.00     0.00     0.00    -4.17     2.95    32.08    24.98     2.10    -1.72     0.00     0.00     0.00     0.00  -995.43     0.00
    25.00 -1000.00     0.00     0.00     0.00    -1.91     2.95    17.86    24.98     1.36    -1.72     0.00     0.00     0.00     0.00   997.99     0.00
    25.00     0.00  1000.00     0.00     0.00    -2.95     4.17    24.98    32.08     1.72    -2.10     0.00     0.00     0.00     0.00     0.00  -995.43
    25.00     0.00 -1000.00     0.00     0.00    -2.95     1.91    24.98    17.86     1.72    -1.36     0.00     0.00     0.00     0.00     0.00   997.99
