
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             GnistRear                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -0.50     0.00     0.00     0.00    65.18    50.32    -1.#J    -1.#J    25.73     4.34    19.69     2.27
     5.00     0.00    -0.73     0.80     0.00     0.00    62.90    43.04     0.00     0.00    25.74     4.57    19.68     2.27
    10.00     0.00    -0.97     1.47     0.00     0.00    60.65    35.79     0.00     0.00    25.75     4.81    19.68     2.27
    15.00     0.00    -1.22     2.02     0.00     0.00    58.43    28.57     0.00     0.00    25.76     5.06    19.67     2.27
    20.00     0.00    -1.47     2.45     0.00     0.00    56.25    21.39     0.00     0.00    25.77     5.31    19.67     2.27
    25.00     0.00    -1.72     2.75     0.00     0.00    54.10    14.23     0.00     0.00    25.78     5.56    19.66     2.27
    30.00     0.00    -1.99     2.93     0.00     0.00    51.99     7.11     0.00     0.00    25.79     5.82    19.66     2.27
    35.00     0.00    -2.25     2.99     0.00     0.00    49.91     0.02     0.00     0.00    25.80     6.09    19.65     2.27
    40.00     0.00    -2.53     2.93     0.00     0.00    47.86    -7.04     0.00     0.00    25.82     6.37    19.65     2.27
     0.00     0.00    -0.50     0.00     0.00     0.00    65.18    50.32    -1.#J    -1.#J    25.73     4.34    19.69     2.27
    -5.00     0.00    -0.27    -0.92     0.00     0.00    67.49    57.63     0.00     0.00    25.72     4.11    19.69     2.27
   -10.00     0.00    -0.05    -1.97     0.00     0.00    69.84    64.97     0.00     0.00    25.72     3.88    19.69     2.27
   -15.00     0.00     0.17    -3.15     0.00     0.00    72.22    72.35     0.00     0.00    25.71     3.67    19.70     2.27
   -20.00     0.00     0.39    -4.45     0.00     0.00    74.63    79.76     0.00     0.00    25.71     3.45    19.70     2.26
   -25.00     0.00     0.60    -5.88     0.00     0.00    77.09    87.21     0.00     0.00    25.70     3.24    19.71     2.26
   -30.00     0.00     0.80    -7.44     0.00     0.00    79.58    94.69     0.00     0.00    25.69     3.04    19.71     2.26
   -35.00     0.00     1.00    -9.13     0.00     0.00    82.10   102.21     0.00     0.00    25.69     2.84    19.71     2.26
   -40.00     0.00     1.20   -10.96     0.00     0.00    84.67   109.76     0.00     0.00    25.69     2.64    19.72     2.26
