
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           GnistRear                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    65.18    50.32     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00     5.00    14.29    63.95    46.59     0.00     0.00    -0.50    -0.73    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    30.77    62.53    42.67     0.00     0.00    -0.50    -0.97    -0.49     0.00    10.00     0.00     0.00
     0.00    15.00    50.02    60.87    38.51     0.00     0.00    -0.50    -1.22    -0.73     0.00    15.00     0.00     0.00
     0.00    20.00    72.84    58.91    34.05     0.00     0.00    -0.50    -1.47    -0.98     0.00    19.99     0.00     0.00
     0.00    25.00   100.39    56.54    29.18     0.00     0.00    -0.50    -1.72    -1.22     0.00    24.98     0.00     0.00
     0.00    30.00   134.38    53.62    23.75     0.00     0.00    -0.50    -1.99    -1.47     0.00    29.97     0.00     0.00
     0.00    35.00   177.48    49.91    17.54     0.00     0.00    -0.50    -2.25    -1.71     0.00    34.96     0.00     0.00
     0.00    40.00   234.06    45.04    10.16     0.00     0.00    -0.50    -2.53    -1.96     0.00    39.94     0.00     0.00
     0.00     0.00     0.00    65.18    50.32     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00   -12.53    66.25    53.89     0.00     0.00    -0.50    -0.27     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -23.63    67.21    57.35     0.00     0.00    -0.50    -0.05     0.49     0.00   -10.01     0.00     0.00
     0.00   -15.00   -33.53    68.06    60.70     0.00     0.00    -0.50     0.17     0.74     0.00   -15.01     0.00     0.00
     0.00   -20.00   -42.44    68.83    63.96     0.00     0.00    -0.50     0.39     0.98     0.00   -20.02     0.00     0.00
     0.00   -25.00   -50.50    69.52    67.15     0.00     0.00    -0.50     0.60     1.23     0.00   -25.03     0.00     0.00
     0.00   -30.00   -57.85    70.15    70.28     0.00     0.00    -0.50     0.80     1.47     0.00   -30.04     0.00     0.00
     0.00   -35.00   -64.58    70.73    73.35     0.00     0.00    -0.50     1.00     1.72     0.00   -35.05     0.00     0.00
     0.00   -40.00   -70.77    71.26    76.38     0.00     0.00    -0.50     1.20     1.97     0.00   -40.07     0.00     0.00
     5.00     0.00   -14.29    63.95    46.59     0.00     0.00    -0.73    -0.50     0.24     5.00     0.00     0.00     0.00
     5.00     5.00     0.00    62.90    43.04     0.00     0.00    -0.73    -0.73     0.00     5.00     5.00     0.00     0.00
     5.00    10.00    16.69    61.67    39.31     0.00     0.00    -0.73    -0.97    -0.24     5.00    10.00     0.00     0.00
     5.00    15.00    36.48    60.21    35.35     0.00     0.00    -0.73    -1.22    -0.49     5.00    15.00     0.00     0.00
     5.00    20.00    60.39    58.46    31.09     0.00     0.00    -0.73    -1.47    -0.73     5.00    19.99     0.00     0.00
     5.00    25.00    89.90    56.29    26.42     0.00     0.00    -0.73    -1.72    -0.98     5.00    24.98     0.00     0.00
     5.00    30.00   127.36    53.53    21.16     0.00     0.00    -0.73    -1.99    -1.22     5.00    29.97     0.00     0.00
     5.00    35.00   176.63    49.91    15.04     0.00     0.00    -0.73    -2.25    -1.47     5.00    34.96     0.00     0.00
     5.00    40.00   244.53    44.92     7.54     0.00     0.00    -0.73    -2.53    -1.71     5.00    39.94     0.00     0.00
     5.00     0.00   -14.29    63.95    46.59     0.00     0.00    -0.73    -0.50     0.24     5.00     0.00     0.00     0.00
     5.00    -5.00   -26.69    64.86    50.00     0.00     0.00    -0.73    -0.27     0.49     5.00    -5.00     0.00     0.00
     5.00   -10.00   -37.56    65.66    53.30     0.00     0.00    -0.73    -0.05     0.73     5.00   -10.01     0.00     0.00
     5.00   -15.00   -47.20    66.37    56.50     0.00     0.00    -0.73     0.17     0.98     5.00   -15.01     0.00     0.00
     5.00   -20.00   -55.80    67.00    59.63     0.00     0.00    -0.73     0.39     1.23     5.00   -20.02     0.00     0.00
     5.00   -25.00   -63.54    67.57    62.70     0.00     0.00    -0.73     0.60     1.47     5.00   -25.03     0.00     0.00
     5.00   -30.00   -70.55    68.08    65.71     0.00     0.00    -0.73     0.80     1.72     5.00   -30.04     0.00     0.00
     5.00   -35.00   -76.94    68.55    68.67     0.00     0.00    -0.73     1.00     1.96     5.00   -35.05     0.00     0.00
     5.00   -40.00   -82.80    68.98    71.60     0.00     0.00    -0.73     1.20     2.21     5.00   -40.07     0.00     0.00
    10.00     0.00   -30.77    62.53    42.67     0.00     0.00    -0.97    -0.50     0.49    10.00     0.00     0.00     0.00
    10.00     5.00   -16.69    61.67    39.31     0.00     0.00    -0.97    -0.73     0.24    10.00     5.00     0.00     0.00
    10.00    10.00     0.00    60.65    35.79     0.00     0.00    -0.97    -0.97     0.00    10.00    10.00     0.00     0.00
    10.00    15.00    20.15    59.42    32.06     0.00     0.00    -0.97    -1.22    -0.24    10.00    15.00     0.00     0.00
    10.00    20.00    45.04    57.90    28.03     0.00     0.00    -0.97    -1.47    -0.49    10.00    19.99     0.00     0.00
    10.00    25.00    76.66    55.97    23.60     0.00     0.00    -0.97    -1.72    -0.73    10.00    24.98     0.00     0.00
