
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           GnistRear                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.01     0.00    -0.05     0.00     0.58     0.00     0.55    -0.50    -0.02     0.00     0.02     0.00   -81.00     0.00
     0.00  -100.00     0.00     0.01     0.00     0.05     0.00    -0.58     0.00     0.45    -0.50     0.02     0.00    -0.02     0.00    80.60     0.00
     0.00     0.00   100.00     0.00     0.01     0.00    -0.05     0.00    -0.58     0.50    -0.45     0.00     0.02     0.00     0.02     0.00    80.60
     0.00     0.00  -100.00     0.00    -0.01     0.00     0.05     0.00     0.58     0.50    -0.55     0.00    -0.02     0.00    -0.02     0.00   -81.00
     5.00   100.00     0.00    -0.01     0.00    -0.49     0.43     5.59     5.00     0.78    -0.73    -0.02     0.00     0.02     0.00   -82.79     0.00
     5.00  -100.00     0.00     0.01     0.00    -0.37     0.43     4.41     5.00     0.69    -0.73     0.02     0.00    -0.02     0.00    82.38     0.00
     5.00     0.00   100.00     0.00     0.01    -0.43     0.37     5.00     4.41     0.73    -0.69     0.00     0.02     0.00     0.02     0.00    82.38
     5.00     0.00  -100.00     0.00    -0.01    -0.43     0.49     5.00     5.59     0.73    -0.78     0.00    -0.02     0.00    -0.02     0.00   -82.79
    10.00   100.00     0.00    -0.01     0.00    -1.01     0.94    10.60    10.00     1.02    -0.97    -0.02     0.00     0.02     0.00   -84.65     0.00
    10.00  -100.00     0.00     0.01     0.00    -0.87     0.94     9.40    10.00     0.92    -0.97     0.02     0.00    -0.02     0.00    84.20     0.00
    10.00     0.00   100.00     0.00     0.01    -0.94     0.87    10.00     9.40     0.97    -0.92     0.00     0.02     0.00     0.02     0.00    84.20
    10.00     0.00  -100.00     0.00    -0.01    -0.94     1.01    10.00    10.60     0.97    -1.02     0.00    -0.02     0.00    -0.02     0.00   -84.65
    15.00   100.00     0.00    -0.01     0.00    -1.61     1.53    15.61    15.00     1.27    -1.22    -0.02     0.00     0.02     0.00   -86.55     0.00
    15.00  -100.00     0.00     0.01     0.00    -1.45     1.53    14.38    15.00     1.17    -1.22     0.02     0.00    -0.02     0.00    86.08     0.00
    15.00     0.00   100.00     0.00     0.01    -1.53     1.45    15.00    14.38     1.22    -1.17     0.00     0.02     0.00     0.02     0.00    86.08
    15.00     0.00  -100.00     0.00    -0.01    -1.53     1.61    15.00    15.61     1.22    -1.27     0.00    -0.02     0.00    -0.02     0.00   -86.55
    20.00   100.00     0.00    -0.01     0.00    -2.30     2.20    20.62    19.99     1.52    -1.47    -0.02     0.00     0.02     0.00   -88.51     0.00
    20.00  -100.00     0.00     0.01     0.00    -2.11     2.20    19.36    19.99     1.42    -1.47     0.02     0.00    -0.02     0.00    88.02     0.00
    20.00     0.00   100.00     0.00     0.01    -2.20     2.11    19.99    19.36     1.47    -1.42     0.00     0.02     0.00     0.02     0.00    88.02
    20.00     0.00  -100.00     0.00    -0.01    -2.20     2.30    19.99    20.62     1.47    -1.52     0.00    -0.02     0.00    -0.02     0.00   -88.51
    25.00   100.00     0.00    -0.01     0.00    -3.06     2.95    25.63    24.98     1.78    -1.72    -0.02     0.00     0.02     0.00   -90.53     0.00
    25.00  -100.00     0.00     0.01     0.00    -2.85     2.95    24.34    24.98     1.67    -1.72     0.02     0.00    -0.02     0.00    90.01     0.00
    25.00     0.00   100.00     0.00     0.01    -2.95     2.85    24.98    24.34     1.72    -1.67     0.00     0.02     0.00     0.02     0.00    90.01
    25.00     0.00  -100.00     0.00    -0.01    -2.95     3.06    24.98    25.63     1.72    -1.78     0.00    -0.02     0.00    -0.02     0.00   -90.53
    30.00   100.00     0.00    -0.01     0.00    -3.91     3.79    30.63    29.97     2.04    -1.99    -0.02     0.00     0.02     0.00   -92.62     0.00
    30.00  -100.00     0.00     0.01     0.00    -3.67     3.79    29.32    29.97     1.93    -1.99     0.02     0.00    -0.02     0.00    92.07     0.00
    30.00     0.00   100.00     0.00     0.01    -3.79     3.67    29.97    29.32     1.99    -1.93     0.00     0.02     0.00     0.02     0.00    92.07
    30.00     0.00  -100.00     0.00    -0.01    -3.79     3.91    29.97    30.63     1.99    -2.04     0.00    -0.02     0.00    -0.02     0.00   -92.62
    35.00   100.00     0.00    -0.01     0.00    -4.84     4.71    35.63    34.96     2.31    -2.25    -0.02     0.00     0.02     0.00   -94.77     0.00
    35.00  -100.00     0.00     0.01     0.00    -4.58     4.71    34.29    34.96     2.20    -2.25     0.02     0.00    -0.02     0.00    94.18     0.00
    35.00     0.00   100.00     0.00     0.01    -4.71     4.58    34.96    34.29     2.25    -2.20     0.00     0.02     0.00     0.02     0.00    94.18
    35.00     0.00  -100.00     0.00    -0.01    -4.71     4.84    34.96    35.63     2.25    -2.31     0.00    -0.02     0.00    -0.02     0.00   -94.77
    40.00   100.00     0.00    -0.01     0.00    -5.86     5.71    40.63    39.94     2.59    -2.53    -0.02     0.00     0.02     0.00   -96.98     0.00
    40.00  -100.00     0.00     0.01     0.00    -5.56     5.71    39.26    39.94     2.47    -2.53     0.02     0.00    -0.02     0.00    96.37     0.00
    40.00     0.00   100.00     0.00     0.01    -5.71     5.56    39.94    39.26     2.53    -2.47     0.00     0.02     0.00     0.02     0.00    96.37
    40.00     0.00  -100.00     0.00    -0.01    -5.71     5.86    39.94    40.63     2.53    -2.59     0.00    -0.02     0.00    -0.02     0.00   -96.98
    -5.00   100.00     0.00    -0.01     0.00     0.31    -0.35    -4.44    -5.00     0.32    -0.27    -0.02     0.00     0.02     0.00   -79.24     0.00
    -5.00  -100.00     0.00     0.01     0.00     0.39    -0.35    -5.57    -5.00     0.23    -0.27     0.02     0.00    -0.02     0.00    78.87     0.00
