
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           GnistRear                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.02     0.00     0.00     0.00     0.00     0.00     0.48    -0.50     0.14     0.00    -0.04     0.00     0.04     0.00
     0.00  -100.00     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.52    -0.50    -0.14     0.00     0.04     0.00     0.04     0.00
     0.00     0.00   100.00     0.00    -0.02     0.00     0.00     0.00     0.00     0.50    -0.48     0.00     0.14     0.00     0.04     0.00     0.04
     0.00     0.00  -100.00     0.00     0.02     0.00     0.00     0.00     0.00     0.50    -0.52     0.00    -0.14     0.00    -0.04     0.00     0.04
     5.00   100.00     0.00    -0.02     0.00    -0.43     0.43     5.00     5.00     0.71    -0.73     0.14     0.00    -0.04     0.00     0.04     0.00
     5.00  -100.00     0.00     0.02     0.00    -0.43     0.43     5.00     5.00     0.76    -0.73    -0.14     0.00     0.04     0.00     0.04     0.00
     5.00     0.00   100.00     0.00    -0.02    -0.43     0.43     5.00     5.00     0.73    -0.71     0.00     0.14     0.00     0.04     0.00     0.04
     5.00     0.00  -100.00     0.00     0.02    -0.43     0.43     5.00     5.00     0.73    -0.76     0.00    -0.14     0.00    -0.04     0.00     0.04
    10.00   100.00     0.00    -0.02     0.00    -0.94     0.94    10.00    10.00     0.95    -0.97     0.14     0.00    -0.04     0.00     0.04     0.00
    10.00  -100.00     0.00     0.02     0.00    -0.94     0.94    10.00    10.00     1.00    -0.97    -0.14     0.00     0.04     0.00     0.04     0.00
    10.00     0.00   100.00     0.00    -0.02    -0.94     0.94    10.00    10.00     0.97    -0.95     0.00     0.14     0.00     0.04     0.00     0.04
    10.00     0.00  -100.00     0.00     0.02    -0.94     0.94    10.00    10.00     0.97    -1.00     0.00    -0.14     0.00    -0.04     0.00     0.04
    15.00   100.00     0.00    -0.02     0.00    -1.53     1.53    15.00    15.00     1.20    -1.22     0.14     0.00    -0.04     0.00     0.04     0.00
    15.00  -100.00     0.00     0.02     0.00    -1.53     1.53    15.00    15.00     1.24    -1.22    -0.14     0.00     0.04     0.00     0.04     0.00
    15.00     0.00   100.00     0.00    -0.02    -1.53     1.53    15.00    15.00     1.22    -1.20     0.00     0.14     0.00     0.04     0.00     0.04
    15.00     0.00  -100.00     0.00     0.02    -1.53     1.53    15.00    15.00     1.22    -1.24     0.00    -0.14     0.00    -0.04     0.00     0.04
    20.00   100.00     0.00    -0.02     0.00    -2.20     2.20    19.99    19.99     1.45    -1.47     0.14     0.00    -0.04     0.00     0.04     0.00
    20.00  -100.00     0.00     0.02     0.00    -2.20     2.20    19.99    19.99     1.49    -1.47    -0.14     0.00     0.04     0.00     0.05     0.00
