
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           GnistRear                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.09     0.00     0.01     0.00     0.00     0.00     0.52    -0.50    -0.04     0.00     0.19     0.00     0.14     0.00
     0.00  -100.00     0.00     0.09     0.00    -0.01     0.00     0.00     0.00     0.48    -0.50     0.04     0.00    -0.19     0.00     0.14     0.00
     0.00     0.00   100.00     0.00     0.09     0.00     0.01     0.00     0.00     0.50    -0.48     0.00     0.04     0.00     0.19     0.00     0.14
     0.00     0.00  -100.00     0.00    -0.09     0.00    -0.01     0.00     0.00     0.50    -0.52     0.00    -0.04     0.00    -0.19     0.00     0.14
     5.00   100.00     0.00    -0.09     0.00    -0.42     0.43     5.00     5.00     0.75    -0.73    -0.04     0.00     0.18     0.00     0.12     0.00
     5.00  -100.00     0.00     0.09     0.00    -0.44     0.43     5.00     5.00     0.71    -0.73     0.04     0.00    -0.18     0.00     0.12     0.00
     5.00     0.00   100.00     0.00     0.09    -0.43     0.44     5.00     5.00     0.73    -0.71     0.00     0.04     0.00     0.18     0.00     0.12
     5.00     0.00  -100.00     0.00    -0.09    -0.43     0.42     5.00     5.00     0.73    -0.75     0.00    -0.04     0.00    -0.18     0.00     0.12
    10.00   100.00     0.00    -0.09     0.00    -0.93     0.94    10.00    10.00     0.99    -0.97    -0.04     0.00     0.18     0.00     0.11     0.00
    10.00  -100.00     0.00     0.09     0.00    -0.95     0.94    10.00    10.00     0.95    -0.97     0.04     0.00    -0.18     0.00     0.11     0.00
    10.00     0.00   100.00     0.00     0.09    -0.94     0.95    10.00    10.00     0.97    -0.95     0.00     0.04     0.00     0.18     0.00     0.11
    10.00     0.00  -100.00     0.00    -0.09    -0.94     0.93    10.00    10.00     0.97    -0.99     0.00    -0.04     0.00    -0.18     0.00     0.11
    15.00   100.00     0.00    -0.09     0.00    -1.52     1.53    15.00    15.00     1.24    -1.22    -0.03     0.00     0.18     0.00     0.09     0.00
    15.00  -100.00     0.00     0.09     0.00    -1.54     1.53    15.00    15.00     1.20    -1.22     0.03     0.00    -0.18     0.00     0.09     0.00
