
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Demo data                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -5.00     0.00     0.00     0.00     5.45     5.45     0.00    18.23    -3.44    21.97    25.37    10.62
     5.00     0.64    -5.08     0.17     0.28     0.00     5.15     0.72     0.00    17.70    -3.45    22.05    25.76    10.70
    10.00     1.47    -5.17     0.30     0.56     0.00     4.82    -4.00     0.00    17.15    -3.47    22.15    26.13    10.78
    15.00     2.47    -5.27     0.38     0.83     0.00     4.48    -8.70     0.00    16.60    -3.48    22.25    26.49    10.86
    20.00     3.65    -5.38     0.43     1.09     0.00     4.14   -13.36     0.00    16.04    -3.49    22.36    26.82    10.94
    25.00     4.99    -5.50     0.44     1.34     0.00     3.79   -17.99     0.00    15.47    -3.50    22.47    27.14    11.02
    30.00     6.48    -5.62     0.41     1.59     0.00     3.46   -22.57     0.00    14.90    -3.51    22.59    27.44    11.10
    35.00     8.13    -5.75     0.34     1.84     0.00     3.13   -27.11     0.00    14.31    -3.52    22.72    27.73    11.17
    40.00     9.93    -5.89     0.25     2.07     0.00     2.82   -31.59     0.00    13.72    -3.53    22.86    28.00    11.25
     0.00     0.00    -5.00     0.00     0.00     0.00     5.45     5.45     0.00    18.23    -3.44    21.97    25.37    10.62
    -5.00    -0.45    -4.93    -0.21    -0.29     0.00     5.73    10.19     0.00    18.76    -3.43    21.89    24.97    10.54
   -10.00    -0.71    -4.86    -0.47    -0.59     0.00     5.97    14.93     0.00    19.28    -3.42    21.83    24.55    10.45
   -15.00    -0.76    -4.81    -0.77    -0.89     0.00     6.15    19.66     0.00    19.79    -3.41    21.77    24.11    10.36
   -20.00    -0.61    -4.76    -1.12    -1.21     0.00     6.28    24.36     0.00    20.30    -3.39    21.72    23.65    10.28
   -25.00    -0.25    -4.73    -1.51    -1.53     0.00     6.33    29.01     0.00    20.80    -3.38    21.68    23.17    10.19
   -30.00     0.33    -4.71    -1.95    -1.86     0.00     6.28    33.60     0.00    21.29    -3.37    21.65    22.68    10.10
   -35.00     1.13    -4.70    -2.44    -2.20     0.00     6.12    38.11     0.00    21.77    -3.35    21.64    22.16    10.01
   -40.00     2.14    -4.70    -2.97    -2.54     0.00     5.82    42.51     0.00    22.25    -3.34    21.64    21.63     9.91
