
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00     5.45     5.45     0.00     0.00    -5.00    -5.00     0.00     0.00     0.00  2736.06  2736.06
     5.00    -5.00   -41.07     5.24     5.30     1.58    -1.39    -5.08    -4.92     0.26     3.55    -3.66  3086.21  2413.01
    10.00   -10.00   -79.16     4.64     4.86     3.32    -2.56    -5.17    -4.85     0.52     7.00    -7.45  3460.59  2120.43
    15.00   -15.00  -111.71     3.73     4.23     5.21    -3.47    -5.27    -4.79     0.78    10.36   -11.38  3856.64  1862.39
    20.00   -20.00  -136.80     2.61     3.51     7.22    -4.09    -5.36    -4.74     1.05    13.64   -15.48  4271.93  1644.00
    25.00   -25.00  -153.29     1.43     2.85     9.33    -4.33    -5.46    -4.69     1.32    16.84   -19.77  4703.96  1471.75
    30.00   -30.00  -160.59     0.30     2.38    11.55    -4.13    -5.57    -4.66     1.60    19.99   -24.28  5149.96  1354.21
    35.00   -35.00  -158.48    -0.64     2.25    13.83    -3.36    -5.68    -4.65     1.88    23.10   -29.07  5606.48  1302.90
    40.00   -40.00  -146.70    -1.27     2.62    16.17    -1.86    -5.79    -4.65     2.18    26.18   -34.20  6068.76  1333.69
     0.00     0.00     0.00     5.45     5.45     0.00     0.00    -5.00    -5.00     0.00     0.00     0.00  2736.06  2736.06
    -5.00     5.00    41.07     5.24     5.30    -1.39     1.58    -4.92    -5.08    -0.26    -3.66     3.55  2413.01  3086.21
   -10.00    10.00    79.16     4.64     4.86    -2.56     3.32    -4.85    -5.17    -0.52    -7.45     7.00  2120.43  3460.59
   -15.00    15.00   111.71     3.73     4.23    -3.47     5.21    -4.79    -5.27    -0.78   -11.38    10.36  1862.39  3856.64
   -20.00    20.00   136.80     2.61     3.51    -4.09     7.22    -4.74    -5.36    -1.05   -15.48    13.64  1644.00  4271.93
   -25.00    25.00   153.29     1.43     2.85    -4.33     9.33    -4.69    -5.46    -1.32   -19.77    16.84  1471.75  4703.96
   -30.00    30.00   160.59     0.30     2.38    -4.13    11.55    -4.66    -5.57    -1.60   -24.28    19.99  1354.21  5149.96
   -35.00    35.00   158.48    -0.64     2.25    -3.36    13.83    -4.65    -5.68    -1.88   -29.07    23.10  1302.90  5606.48
   -40.00    40.00   146.70    -1.27     2.62    -1.86    16.17    -4.65    -5.79    -2.18   -34.20    26.18  1333.69  6068.76
