
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics Design Position                             Demo data                                           

  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00     0.00    -5.00    -3.44     0.00     0.00     0.00     0.00     0.00     0.00    74.48 ******** ********
    10.00     3.02     3.01    -4.43    -3.58    -0.65     2.93     0.09     0.01     0.08    15.41    71.78   103.49   103.99
    20.00     6.06     6.01    -3.78    -3.71    -2.61     5.71     0.36     0.06     0.30    15.73    69.14    51.89    52.44
    30.00     9.13     9.01    -3.07    -3.82    -5.87     8.35     0.78     0.12     0.65    16.00    66.56    34.70    35.30
    40.00    12.23    12.01    -2.29    -3.94   -10.41    10.88     1.35     0.22     1.13    16.20    64.05    26.10    26.76
    50.00    15.36    15.03    -1.43    -4.08   -16.24    13.31     2.05     0.33     1.72    16.30    61.59    20.95    21.66
    60.00    18.53    18.07    -0.50    -4.24   -23.32    15.66     2.87     0.47     2.40    16.30    59.19    17.51    18.28
    70.00    21.75    21.14     0.52    -4.46   -31.63    17.95     3.80     0.61     3.19    16.16    56.85    15.06    15.88
     0.00     0.00     0.00    -5.00    -3.44     0.00     0.00     0.00     0.00     0.00     0.00    74.48 ******** ********
   -10.00    -3.01    -3.02    -5.51    -3.28    -0.65    -2.93    -0.09    -0.01    -0.08    15.41    77.25   103.49   103.99
   -20.00    -6.01    -6.06    -5.95    -3.08    -2.61    -5.71    -0.36    -0.06    -0.30    15.73    80.10    51.89    52.44
   -30.00    -9.01    -9.13    -6.33    -2.84    -5.87    -8.35    -0.78    -0.12    -0.65    16.00    83.02    34.70    35.30
   -40.00   -12.01   -12.23    -6.64    -2.55   -10.41   -10.88    -1.35    -0.22    -1.13    16.20    86.02    26.10    26.76
   -50.00   -15.03   -15.36    -6.89    -2.22   -16.24   -13.31    -2.05    -0.33    -1.72    16.30    89.12    20.95    21.66
   -60.00   -18.07   -18.53    -7.07    -1.84   -23.32   -15.66    -2.87    -0.47    -2.40    16.30    92.31    17.51    18.28
   -70.00   -21.14   -21.75    -7.19    -1.41   -31.63   -17.95    -3.80    -0.61    -3.19    16.16    95.61    15.06    15.88
