
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Demo data                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
     5.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    10.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    15.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    20.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    25.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    30.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    35.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    40.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
     0.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
    -5.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
   -10.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
   -15.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
   -20.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
   -25.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
   -30.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
   -35.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
   -40.00     0.00    -0.50     0.00     0.00     0.00    52.06    37.20    -1.#J    -1.#J    21.15     6.63     8.41     4.25
