
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00     5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00    10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00   454.61
     0.00    15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  1154.61
     0.00    20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  1854.61
     0.00    25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  2554.61
     0.00    30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  3254.61
     0.00    35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  3954.61
     0.00    40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  4654.61
     0.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00   -10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00   -15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00   -20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00   -25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00   -30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00   -35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00   -40.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     5.00     0.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     5.00     5.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     5.00    10.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00   454.61
     5.00    15.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  1154.61
     5.00    20.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  1854.61
     5.00    25.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  2554.61
     5.00    30.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  3254.61
     5.00    35.00     0.00    52.06    37.20     0.00     0.00    -0.50    -0.50     0.00     0.00     0.00     0.00  3954.61
