
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             GnisFront                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
     5.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
    10.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
    15.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
    20.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
    25.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
    30.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
    35.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
    40.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
     0.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
    -5.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
   -10.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
   -15.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
   -20.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
   -25.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
   -30.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
   -35.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
   -40.00     0.00     0.00     0.00     0.00     0.00    11.83    11.83    -1.#J    -1.#J    12.83     8.03    12.40     4.26
