
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           GnisFront                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  1433.88
     0.00     5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  2133.88
     0.00    10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  2833.88
     0.00    15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  3533.88
     0.00    20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  4233.88
     0.00    25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  4933.88
     0.00    30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  5633.88
     0.00    35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  6333.88
     0.00    40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  7033.88
     0.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88  1433.88
     0.00    -5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88   733.88
     0.00   -10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88    33.88
     0.00   -15.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88     0.00
     0.00   -20.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88     0.00
     0.00   -25.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88     0.00
     0.00   -30.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88     0.00
     0.00   -35.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88     0.00
     0.00   -40.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  1433.88     0.00
     5.00     0.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2133.88  1433.88
     5.00     5.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2133.88  2133.88
     5.00    10.00     0.00    11.83    11.83     0.00     0.00     0.00     0.00     0.00     0.00     0.00  2133.88  2833.88
