
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.24     0.00     0.03     0.00    -0.14     0.00     0.00     0.00    -0.02     0.00    -0.09     0.00    12.41     0.00
     0.00 -1000.00     0.00    -0.24     0.00    -0.03     0.00     0.14     0.00     0.00     0.00     0.02     0.00     0.09     0.00   -12.46     0.00
     0.00     0.00  1000.00     0.00     0.24     0.00    -0.03     0.00    -0.14     0.00     0.00     0.00    -0.02     0.00     0.09     0.00    12.41
     0.00     0.00 -1000.00     0.00    -0.24     0.00     0.03     0.00     0.14     0.00     0.00     0.00     0.02     0.00    -0.09     0.00   -12.46
     5.00  1000.00     0.00     0.18    -0.06    -0.41     0.44     4.86     5.00     0.18    -0.18    -0.10    -0.08    -0.09     0.00    12.53     0.00
     5.00 -1000.00     0.00    -0.31    -0.06    -0.47     0.44     5.14     5.00     0.17    -0.18    -0.07    -0.08     0.09     0.00   -12.59     0.00
     5.00     0.00  1000.00    -0.06     0.18    -0.44     0.41     5.00     4.86     0.18    -0.18    -0.08    -0.10     0.00     0.09     0.00    12.53
     5.00     0.00 -1000.00    -0.06    -0.31    -0.44     0.47     5.00     5.14     0.18    -0.17    -0.08    -0.07     0.00    -0.09     0.00   -12.59
    10.00  1000.00     0.00     0.12    -0.13    -0.92     0.95     9.86    10.00     0.36    -0.36    -0.18    -0.17    -0.09     0.00    12.66     0.00
    10.00 -1000.00     0.00    -0.37    -0.13    -0.98     0.95    10.14    10.00     0.35    -0.36    -0.15    -0.17     0.10     0.00   -12.72     0.00
    10.00     0.00  1000.00    -0.13     0.12    -0.95     0.92    10.00     9.86     0.36    -0.36    -0.17    -0.18     0.00     0.09     0.00    12.66
    10.00     0.00 -1000.00    -0.13    -0.37    -0.95     0.98    10.00    10.14     0.36    -0.35    -0.17    -0.15     0.00    -0.10     0.00   -12.72
    15.00  1000.00     0.00     0.05    -0.19    -1.49     1.53    14.85    14.99     0.54    -0.54    -0.27    -0.25    -0.09     0.00    12.79     0.00
    15.00 -1000.00     0.00    -0.43    -0.19    -1.56     1.53    15.14    14.99     0.54    -0.54    -0.23    -0.25     0.10     0.00   -12.85     0.00
    15.00     0.00  1000.00    -0.19     0.05    -1.53     1.49    14.99    14.85     0.54    -0.54    -0.25    -0.27     0.00     0.09     0.00    12.79
    15.00     0.00 -1000.00    -0.19    -0.43    -1.53     1.56    14.99    15.14     0.54    -0.54    -0.25    -0.23     0.00    -0.10     0.00   -12.85
    20.00  1000.00     0.00    -0.01    -0.25    -2.14     2.17    19.84    19.99     0.73    -0.73    -0.35    -0.33    -0.09     0.00    12.91     0.00
    20.00 -1000.00     0.00    -0.50    -0.25    -2.21     2.17    20.13    19.99     0.73    -0.73    -0.31    -0.33     0.10     0.00   -12.98     0.00
    20.00     0.00  1000.00    -0.25    -0.01    -2.17     2.14    19.99    19.84     0.73    -0.73    -0.33    -0.35     0.00     0.09     0.00    12.91
    20.00     0.00 -1000.00    -0.25    -0.50    -2.17     2.21    19.99    20.13     0.73    -0.73    -0.33    -0.31     0.00    -0.10     0.00   -12.98
    25.00  1000.00     0.00    -0.08    -0.32    -2.85     2.89    24.83    24.98     0.93    -0.92    -0.43    -0.41    -0.09    -0.01    13.03     0.00
    25.00 -1000.00     0.00    -0.56    -0.32    -2.92     2.89    25.12    24.98     0.92    -0.92    -0.40    -0.41     0.10    -0.01   -13.10     0.00
    25.00     0.00  1000.00    -0.32    -0.08    -2.89     2.85    24.98    24.83     0.92    -0.93    -0.41    -0.43     0.01     0.09     0.00    13.03
