
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.03     0.00     0.09     0.00    -0.88     0.00    -0.03     0.00     0.02     0.00    -0.01     0.00    78.96     0.00
     0.00 -1000.00     0.00    -0.03     0.00    -0.10     0.00     0.93     0.00     0.03     0.00    -0.02     0.00     0.01     0.00   -83.88     0.00
     0.00     0.00  1000.00     0.00    -0.03     0.00     0.10     0.00     0.93     0.00    -0.03     0.00    -0.02     0.00    -0.01     0.00   -83.88
     0.00     0.00 -1000.00     0.00     0.03     0.00    -0.09     0.00    -0.88     0.00     0.03     0.00     0.02     0.00     0.01     0.00    78.96
     5.00  1000.00     0.00    -0.03    -0.06    -0.32     0.44     3.98     5.00     0.14    -0.18    -0.06    -0.08    -0.01     0.00    92.13     0.00
     5.00 -1000.00     0.00    -0.09    -0.06    -0.57     0.44     6.09     5.00     0.21    -0.18    -0.10    -0.08     0.01     0.00   -97.88     0.00
     5.00     0.00  1000.00    -0.06    -0.09    -0.44     0.57     5.00     6.09     0.18    -0.21    -0.08    -0.10     0.00    -0.01     0.00   -97.88
     5.00     0.00 -1000.00    -0.06    -0.03    -0.44     0.32     5.00     3.98     0.18    -0.14    -0.08    -0.06     0.00     0.01     0.00    92.13
    10.00  1000.00     0.00    -0.10    -0.13    -0.80     0.95     8.83    10.00     0.31    -0.36    -0.14    -0.17    -0.01     0.00   105.32     0.00
    10.00 -1000.00     0.00    -0.16    -0.13    -1.11     0.95    11.24    10.00     0.40    -0.36    -0.19    -0.17     0.02     0.00  -111.91     0.00
    10.00     0.00  1000.00    -0.13    -0.16    -0.95     1.11    10.00    11.24     0.36    -0.40    -0.17    -0.19     0.00    -0.02     0.00  -111.91
    10.00     0.00 -1000.00    -0.13    -0.10    -0.95     0.80    10.00     8.83     0.36    -0.31    -0.17    -0.14     0.00     0.01     0.00   105.32
    15.00  1000.00     0.00    -0.16    -0.19    -1.34     1.53    13.68    14.99     0.49    -0.54    -0.22    -0.25    -0.01     0.00   118.54     0.00
    15.00 -1000.00     0.00    -0.22    -0.19    -1.72     1.53    16.39    14.99     0.59    -0.54    -0.27    -0.25     0.02     0.00  -125.96     0.00
    15.00     0.00  1000.00    -0.19    -0.22    -1.53     1.72    14.99    16.39     0.54    -0.59    -0.25    -0.27     0.00    -0.02     0.00  -125.96
    15.00     0.00 -1000.00    -0.19    -0.16    -1.53     1.34    14.99    13.68     0.54    -0.49    -0.25    -0.22     0.00     0.01     0.00   118.54
    20.00  1000.00     0.00    -0.22    -0.25    -1.95     2.17    18.52    19.99     0.67    -0.73    -0.31    -0.33    -0.01     0.00   131.78     0.00
    20.00 -1000.00     0.00    -0.29    -0.25    -2.41     2.17    21.54    19.99     0.79    -0.73    -0.36    -0.33     0.02     0.00  -140.06     0.00
    20.00     0.00  1000.00    -0.25    -0.29    -2.17     2.41    19.99    21.54     0.73    -0.79    -0.33    -0.36     0.00    -0.02     0.00  -140.06
    20.00     0.00 -1000.00    -0.25    -0.22    -2.17     1.95    19.99    18.52     0.73    -0.67    -0.33    -0.31     0.00     0.01     0.00   131.78
    25.00  1000.00     0.00    -0.28    -0.32    -2.62     2.89    23.37    24.98     0.86    -0.92    -0.38    -0.41    -0.01    -0.01   145.06     0.00
    25.00 -1000.00     0.00    -0.36    -0.32    -3.17     2.89    26.69    24.98     0.99    -0.92    -0.44    -0.41     0.02    -0.01  -154.20     0.00
