
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.14     0.00    -1.07     0.00    11.09     0.00     0.40     0.00    -0.18     0.00     0.00     0.00  -998.74     0.00
     0.00 -1000.00     0.00     0.14     0.00     0.74     0.00   -11.13     0.00    -0.37     0.00     0.19     0.00     0.00     0.00  1001.10     0.00
     0.00     0.00  1000.00     0.00    -0.14     0.00     1.07     0.00    11.09     0.00    -0.40     0.00    -0.18     0.00     0.00     0.00  -998.74
     0.00     0.00 -1000.00     0.00     0.14     0.00    -0.74     0.00   -11.13     0.00     0.37     0.00     0.19     0.00     0.00     0.00  1001.10
     5.00  1000.00     0.00    -0.20    -0.06    -1.66     0.44    16.08     5.00     0.58    -0.18    -0.27    -0.08     0.00     0.00  -998.12     0.00
     5.00 -1000.00     0.00     0.08    -0.06     0.45     0.44    -6.12     5.00    -0.21    -0.18     0.10    -0.08     0.00     0.00  1000.62     0.00
     5.00     0.00  1000.00    -0.06    -0.20    -0.44     1.66     5.00    16.08     0.18    -0.58    -0.08    -0.27     0.00     0.00     0.00  -998.12
     5.00     0.00 -1000.00    -0.06     0.08    -0.44    -0.45     5.00    -6.12     0.18     0.21    -0.08     0.10     0.00     0.00     0.00  1000.62
    10.00  1000.00     0.00    -0.27    -0.13    -2.32     0.95    21.07    10.00     0.77    -0.36    -0.35    -0.17     0.00     0.00  -997.46     0.00
    10.00 -1000.00     0.00     0.01    -0.13     0.09     0.95    -1.11    10.00    -0.04    -0.36     0.02    -0.17     0.00     0.00  1000.12     0.00
    10.00     0.00  1000.00    -0.13    -0.27    -0.95     2.32    10.00    21.07     0.36    -0.77    -0.17    -0.35     0.00     0.00     0.00  -997.46
    10.00     0.00 -1000.00    -0.13     0.01    -0.95    -0.09    10.00    -1.11     0.36     0.04    -0.17     0.02     0.00     0.00     0.00  1000.12
    15.00  1000.00     0.00    -0.33    -0.19    -3.05     1.53    26.05    14.99     0.97    -0.54    -0.43    -0.25     0.01     0.00  -996.75     0.00
    15.00 -1000.00     0.00    -0.05    -0.19    -0.34     1.53     3.89    14.99     0.14    -0.54    -0.07    -0.25     0.00     0.00   999.58     0.00
    15.00     0.00  1000.00    -0.19    -0.33    -1.53     3.05    14.99    26.05     0.54    -0.97    -0.25    -0.43     0.00    -0.01     0.00  -996.75
    15.00     0.00 -1000.00    -0.19    -0.05    -1.53     0.34    14.99     3.89     0.54    -0.14    -0.25    -0.07     0.00     0.00     0.00   999.58
    20.00  1000.00     0.00    -0.40    -0.25    -3.84     2.17    31.03    19.99     1.17    -0.73    -0.51    -0.33     0.01     0.00  -996.00     0.00
    20.00 -1000.00     0.00    -0.11    -0.25    -0.83     2.17     8.90    19.99     0.32    -0.73    -0.15    -0.33     0.00     0.00   999.00     0.00
    20.00     0.00  1000.00    -0.25    -0.40    -2.17     3.84    19.99    31.03     0.73    -1.17    -0.33    -0.51     0.00    -0.01     0.00  -996.00
    20.00     0.00 -1000.00    -0.25    -0.11    -2.17     0.83    19.99     8.90     0.73    -0.32    -0.33    -0.15     0.00     0.00     0.00   999.00
    25.00  1000.00     0.00    -0.47    -0.32    -4.71     2.89    36.01    24.98     1.37    -0.92    -0.59    -0.41     0.01    -0.01  -995.21     0.00
    25.00 -1000.00     0.00    -0.17    -0.32    -1.39     2.89    13.90    24.98     0.50    -0.92    -0.23    -0.41     0.00    -0.01   998.39     0.00
