
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Suspension Kinematics 2017                          

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00     0.00     0.00     0.00     0.00    36.42    36.42    -3.23    24.27     6.66     5.72     9.19     3.35
     5.00    -0.01    -0.18     0.56     0.06     0.00    35.65    30.65    -3.56    24.02     6.66     5.89     9.53     3.43
    10.00    -0.04    -0.36     1.02     0.13     0.00    34.89    24.88    -3.90    23.75     6.66     6.08     9.87     3.52
    15.00    -0.11    -0.54     1.38     0.19     0.00    34.14    19.14    -4.25    23.48     6.66     6.26    10.21     3.60
    20.00    -0.21    -0.73     1.64     0.25     0.00    33.42    13.41    -4.62    23.19     6.66     6.45    10.55     3.69
    25.00    -0.34    -0.92     1.82     0.32     0.00    32.71     7.69    -5.00    22.89     6.67     6.65    10.89     3.77
    30.00    -0.50    -1.12     1.89     0.38     0.00    32.02     2.00    -5.39    22.58     6.67     6.85    11.22     3.85
     0.00     0.00     0.00     0.00     0.00     0.00    36.42    36.42    -3.23    24.27     6.66     5.72     9.19     3.35
    -5.00    -0.02     0.17    -0.65    -0.06     0.00    37.21    42.21    -2.91    24.52     6.66     5.55     8.85     3.26
   -10.00    -0.08     0.34    -1.40    -0.12     0.00    38.02    48.02    -2.61    24.76     6.66     5.38     8.50     3.18
   -15.00    -0.17     0.50    -2.25    -0.18     0.00    38.84    53.84    -2.32    24.99     6.66     5.22     8.16     3.09
   -20.00    -0.28     0.65    -3.20    -0.24     0.00    39.68    59.67    -2.03    25.21     6.66     5.06     7.81     3.01
   -25.00    -0.43     0.81    -4.24    -0.30     0.00    40.53    65.52    -1.76    25.42     6.66     4.91     7.46     2.92
   -30.00    -0.62     0.95    -5.39    -0.36     0.00    41.40    71.38    -1.49    25.63     6.66     4.76     7.11     2.84
