
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Suspension Kinematics 2017                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    36.42    36.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     5.00     6.94    36.00    33.50     0.00    -0.01     0.00    -0.18    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    15.03    35.51    30.51     0.00    -0.04     0.00    -0.36    -0.48     0.00    10.00     0.00     0.00
     0.00    15.00    24.62    34.93    27.43     0.00    -0.11     0.00    -0.54    -0.72     0.00    14.99     0.00     0.00
     0.00    20.00    36.19    34.23    24.22     0.00    -0.21     0.00    -0.73    -0.95     0.00    19.99     0.00     0.00
     0.00    25.00    50.52    33.36    20.85     0.00    -0.34     0.00    -0.92    -1.19     0.00    24.98     0.00     0.00
     0.00    30.00    68.80    32.25    17.24     0.00    -0.50     0.00    -1.12    -1.43     0.00    29.97     0.00     0.00
     0.00     0.00     0.00    36.42    36.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00    -6.04    36.79    39.29     0.00    -0.02     0.00     0.17     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -11.35    37.11    42.11     0.00    -0.08     0.00     0.34     0.48     0.00   -10.00     0.00     0.00
     0.00   -15.00   -16.08    37.40    44.90     0.00    -0.17     0.00     0.50     0.72     0.00   -15.01     0.00     0.00
     0.00   -20.00   -20.32    37.66    47.65     0.00    -0.28     0.00     0.65     0.96     0.00   -20.01     0.00     0.00
     0.00   -25.00   -24.14    37.89    50.38     0.00    -0.43     0.00     0.81     1.20     0.00   -25.02     0.00     0.00
     0.00   -30.00   -27.62    38.10    53.09     0.00    -0.62     0.00     0.95     1.43     0.00   -30.03     0.00     0.00
     5.00     0.00    -6.94    36.00    33.50    -0.01     0.00    -0.18     0.00     0.24     5.00     0.00     0.00     0.00
     5.00     5.00     0.00    35.65    30.65    -0.01    -0.01    -0.18    -0.18     0.00     5.00     5.00     0.00     0.00
     5.00    10.00     8.21    35.23    27.73    -0.01    -0.04    -0.18    -0.36    -0.24     5.00    10.00     0.00     0.00
     5.00    15.00    18.13    34.72    24.72    -0.01    -0.11    -0.18    -0.54    -0.48     5.00    14.99     0.00     0.00
