
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics Design Position                             Suspension Kinematics 2017                          

  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00     0.00     0.00     6.66     0.00     0.00     0.00     0.00     0.00     0.00    67.85 ******** ********
     5.00     5.18     5.01     0.32     6.65    -0.45     4.85     0.34     0.18     0.16    51.64    62.93    35.06    32.72
    10.00    10.61     9.89     0.71     6.64    -1.82     9.29     1.32     0.71     0.60    54.14    57.85    17.83    15.43
    15.00    16.34    14.69     1.16     6.62    -4.09    13.45     2.90     1.66     1.24    57.19    52.53    12.08     9.65
    20.00    22.52    19.43     1.71     6.60    -7.30    17.44     5.08     3.09     1.98    60.92    46.88     9.21     6.76
    25.00    29.33    24.15     2.36     6.58   -11.45    21.43     7.90     5.18     2.72    65.55    40.74     7.49     5.05
    30.00    37.12    28.89     3.17     6.56   -16.57    25.61    11.51     8.23     3.27    71.54    33.81     6.35     3.96
     0.00     0.00     0.00     0.00     6.66     0.00     0.00     0.00     0.00     0.00     0.00    67.85 ******** ********
    -5.00    -5.01    -5.18    -0.27     6.67    -0.45    -4.85    -0.34    -0.18    -0.16    51.64    72.67    35.06    32.72
   -10.00    -9.89   -10.61    -0.48     6.68    -1.82    -9.29    -1.32    -0.71    -0.60    54.14    77.42    17.83    15.43
   -15.00   -14.69   -16.34    -0.65     6.70    -4.09   -13.45    -2.90    -1.66    -1.24    57.19    82.14    12.08     9.65
   -20.00   -19.43   -22.52    -0.77     6.71    -7.30   -17.44    -5.08    -3.09    -1.98    60.92    86.86     9.21     6.76
   -25.00   -24.15   -29.33    -0.85     6.72   -11.45   -21.43    -7.90    -5.18    -2.72    65.55    91.62     7.49     5.05
   -30.00   -28.89   -37.12    -0.89     6.73   -16.57   -25.61   -11.51    -8.23    -3.27    71.54    96.45     6.35     3.96
