
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.01     0.00    -0.06     0.00     0.67     0.00     0.04     0.00    -0.01     0.00    -0.03     0.00   -60.55     0.00
     0.00  -100.00     0.00    -0.01     0.00     0.06     0.00    -0.67     0.00    -0.04     0.00     0.01     0.00     0.03     0.00    60.12     0.00
     0.00     0.00   100.00     0.00    -0.01     0.00    -0.06     0.00    -0.67     0.00     0.04     0.00     0.01     0.00    -0.03     0.00    60.12
     0.00     0.00  -100.00     0.00     0.01     0.00     0.06     0.00     0.67     0.00    -0.04     0.00    -0.01     0.00     0.03     0.00   -60.55
     5.00   100.00     0.00    -0.05    -0.06    -0.51     0.44     5.69     5.00     0.22    -0.18    -0.10    -0.08    -0.03     0.00   -62.20     0.00
     5.00  -100.00     0.00    -0.07    -0.06    -0.37     0.44     4.31     5.00     0.13    -0.18    -0.07    -0.08     0.03     0.00    61.76     0.00
     5.00     0.00   100.00    -0.06    -0.07    -0.44     0.37     5.00     4.31     0.18    -0.13    -0.08    -0.07     0.00    -0.03     0.00    61.76
     5.00     0.00  -100.00    -0.06    -0.05    -0.44     0.51     5.00     5.69     0.18    -0.22    -0.08    -0.10     0.00     0.03     0.00   -62.20
    10.00   100.00     0.00    -0.12    -0.13    -1.03     0.95    10.71    10.00     0.40    -0.36    -0.18    -0.17    -0.03     0.00   -63.88     0.00
    10.00  -100.00     0.00    -0.13    -0.13    -0.87     0.95     9.29    10.00     0.31    -0.36    -0.15    -0.17     0.03     0.00    63.42     0.00
    10.00     0.00   100.00    -0.13    -0.13    -0.95     0.87    10.00     9.29     0.36    -0.31    -0.17    -0.15     0.00    -0.03     0.00    63.42
    10.00     0.00  -100.00    -0.13    -0.12    -0.95     1.03    10.00    10.71     0.36    -0.40    -0.17    -0.18     0.00     0.03     0.00   -63.88
    15.00   100.00     0.00    -0.18    -0.19    -1.62     1.53    15.72    14.99     0.58    -0.54    -0.26    -0.25    -0.03     0.00   -65.59     0.00
    15.00  -100.00     0.00    -0.20    -0.19    -1.44     1.53    14.27    14.99     0.50    -0.54    -0.24    -0.25     0.04     0.00    65.11     0.00
    15.00     0.00   100.00    -0.19    -0.20    -1.53     1.44    14.99    14.27     0.54    -0.50    -0.25    -0.24     0.00    -0.04     0.00    65.11
    15.00     0.00  -100.00    -0.19    -0.18    -1.53     1.62    14.99    15.72     0.54    -0.58    -0.25    -0.26     0.00     0.03     0.00   -65.59
    20.00   100.00     0.00    -0.25    -0.25    -2.28     2.17    20.73    19.99     0.78    -0.73    -0.34    -0.33    -0.03     0.00   -67.33     0.00
    20.00  -100.00     0.00    -0.26    -0.25    -2.07     2.17    19.25    19.99     0.68    -0.73    -0.32    -0.33     0.04     0.00    66.82     0.00
    20.00     0.00   100.00    -0.25    -0.26    -2.17     2.07    19.99    19.25     0.73    -0.68    -0.33    -0.32     0.00    -0.04     0.00    66.82
    20.00     0.00  -100.00    -0.25    -0.25    -2.17     2.28    19.99    20.73     0.73    -0.78    -0.33    -0.34     0.00     0.03     0.00   -67.33
    25.00   100.00     0.00    -0.31    -0.32    -3.00     2.89    25.74    24.98     0.97    -0.92    -0.43    -0.41    -0.03    -0.01   -69.10     0.00
    25.00  -100.00     0.00    -0.33    -0.32    -2.77     2.89    24.22    24.98     0.88    -0.92    -0.40    -0.41     0.04    -0.01    68.57     0.00
    25.00     0.00   100.00    -0.32    -0.33    -2.89     2.77    24.98    24.22     0.92    -0.88    -0.41    -0.40     0.01    -0.04     0.00    68.57
    25.00     0.00  -100.00    -0.32    -0.31    -2.89     3.00    24.98    25.74     0.92    -0.97    -0.41    -0.43     0.01     0.03     0.00   -69.10
    30.00   100.00     0.00    -0.38    -0.38    -3.80     3.67    30.75    29.97     1.17    -1.12    -0.51    -0.50    -0.03    -0.01   -70.91     0.00
    30.00  -100.00     0.00    -0.39    -0.38    -3.54     3.67    29.19    29.97     1.08    -1.12    -0.48    -0.50     0.04    -0.01    70.35     0.00
    30.00     0.00   100.00    -0.38    -0.39    -3.67     3.54    29.97    29.19     1.12    -1.08    -0.50    -0.48     0.01    -0.04     0.00    70.35
    30.00     0.00  -100.00    -0.38    -0.38    -3.67     3.80    29.97    30.75     1.12    -1.17    -0.50    -0.51     0.01     0.03     0.00   -70.91
    -5.00   100.00     0.00     0.07     0.06     0.33    -0.37    -4.35    -5.00    -0.13     0.17     0.07     0.08    -0.03     0.00   -58.92     0.00
    -5.00  -100.00     0.00     0.05     0.06     0.42    -0.37    -5.65    -5.00    -0.21     0.17     0.10     0.08     0.03     0.00    58.51     0.00
