
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.03     0.00     0.03     0.00    -0.32     0.00    -0.01     0.00     0.11     0.00    -0.01     0.00    29.21     0.00
     0.00  -100.00     0.00     0.03     0.00    -0.03     0.00     0.32     0.00     0.01     0.00    -0.11     0.00     0.01     0.00   -29.13     0.00
     0.00     0.00   100.00     0.00    -0.03     0.00    -0.03     0.00    -0.32     0.00     0.01     0.00     0.11     0.00     0.01     0.00    29.21
     0.00     0.00  -100.00     0.00     0.03     0.00     0.03     0.00     0.32     0.00    -0.01     0.00    -0.11     0.00    -0.01     0.00   -29.13
     5.00   100.00     0.00    -0.09    -0.06    -0.41     0.44     4.68     5.00     0.16    -0.18     0.03    -0.08    -0.01     0.00    29.10     0.00
     5.00  -100.00     0.00    -0.03    -0.06    -0.48     0.44     5.32     5.00     0.19    -0.18    -0.20    -0.08     0.01     0.00   -29.01     0.00
     5.00     0.00   100.00    -0.06    -0.09    -0.44     0.41     5.00     4.68     0.18    -0.16    -0.08     0.03     0.00     0.01     0.00    29.10
     5.00     0.00  -100.00    -0.06    -0.03    -0.44     0.48     5.00     5.32     0.18    -0.19    -0.08    -0.20     0.00    -0.01     0.00   -29.01
    10.00   100.00     0.00    -0.16    -0.13    -0.91     0.95     9.68    10.00     0.34    -0.36    -0.05    -0.17    -0.01     0.00    28.98     0.00
    10.00  -100.00     0.00    -0.09    -0.13    -0.99     0.95    10.32    10.00     0.37    -0.36    -0.28    -0.17     0.01     0.00   -28.89     0.00
    10.00     0.00   100.00    -0.13    -0.16    -0.95     0.91    10.00     9.68     0.36    -0.34    -0.17    -0.05     0.00     0.01     0.00    28.98
    10.00     0.00  -100.00    -0.13    -0.09    -0.95     0.99    10.00    10.32     0.36    -0.37    -0.17    -0.28     0.00    -0.01     0.00   -28.89
    15.00   100.00     0.00    -0.22    -0.19    -1.48     1.53    14.67    14.99     0.53    -0.54    -0.14    -0.25    -0.01     0.00    28.86     0.00
    15.00  -100.00     0.00    -0.16    -0.19    -1.57     1.53    15.31    14.99     0.55    -0.54    -0.36    -0.25     0.01     0.00   -28.77     0.00
    15.00     0.00   100.00    -0.19    -0.22    -1.53     1.48    14.99    14.67     0.54    -0.53    -0.25    -0.14     0.00     0.01     0.00    28.86
    15.00     0.00  -100.00    -0.19    -0.16    -1.53     1.57    14.99    15.31     0.54    -0.55    -0.25    -0.36     0.00    -0.01     0.00   -28.77
    20.00   100.00     0.00    -0.28    -0.25    -2.12     2.17    19.67    19.99     0.72    -0.73    -0.22    -0.33    -0.01     0.00    28.74     0.00
    20.00  -100.00     0.00    -0.22    -0.25    -2.22     2.17    20.30    19.99     0.74    -0.73    -0.44    -0.33     0.01     0.00   -28.65     0.00
    20.00     0.00   100.00    -0.25    -0.28    -2.17     2.12    19.99    19.67     0.73    -0.72    -0.33    -0.22     0.00     0.01     0.00    28.74
    20.00     0.00  -100.00    -0.25    -0.22    -2.17     2.22    19.99    20.30     0.73    -0.74    -0.33    -0.44     0.00    -0.01     0.00   -28.65
    25.00   100.00     0.00    -0.35    -0.32    -2.83     2.89    24.66    24.98     0.91    -0.92    -0.30    -0.41     0.00    -0.01    28.62     0.00
    25.00  -100.00     0.00    -0.29    -0.32    -2.94     2.89    25.29    24.98     0.94    -0.92    -0.53    -0.41     0.01    -0.01   -28.53     0.00
    25.00     0.00   100.00    -0.32    -0.35    -2.89     2.83    24.98    24.66     0.92    -0.91    -0.41    -0.30     0.01     0.00     0.00    28.62
    25.00     0.00  -100.00    -0.32    -0.29    -2.89     2.94    24.98    25.29     0.92    -0.94    -0.41    -0.53     0.01    -0.01     0.00   -28.53
    30.00   100.00     0.00    -0.42    -0.38    -3.61     3.67    29.65    29.97     1.11    -1.12    -0.38    -0.50     0.00    -0.01    28.49     0.00
    30.00  -100.00     0.00    -0.35    -0.38    -3.72     3.67    30.28    29.97     1.14    -1.12    -0.61    -0.50     0.02    -0.01   -28.40     0.00
    30.00     0.00   100.00    -0.38    -0.42    -3.67     3.61    29.97    29.65     1.12    -1.11    -0.50    -0.38     0.01     0.00     0.00    28.49
    30.00     0.00  -100.00    -0.38    -0.35    -3.67     3.72    29.97    30.28     1.12    -1.14    -0.50    -0.61     0.01    -0.02     0.00   -28.40
    -5.00   100.00     0.00     0.03     0.06     0.40    -0.37    -5.33    -5.00    -0.18     0.17     0.20     0.08    -0.01     0.00    29.33     0.00
    -5.00  -100.00     0.00     0.09     0.06     0.35    -0.37    -4.68    -5.00    -0.16     0.17    -0.03     0.08     0.01     0.00   -29.25     0.00
    -5.00     0.00   100.00     0.06     0.03     0.37    -0.40    -5.00    -5.33    -0.17     0.18     0.08     0.20     0.00     0.01     0.00    29.33
    -5.00     0.00  -100.00     0.06     0.09     0.37    -0.35    -5.00    -4.68    -0.17     0.16     0.08    -0.03     0.00    -0.01     0.00   -29.25
   -10.00   100.00     0.00     0.09     0.12     0.70    -0.68   -10.33   -10.00    -0.35     0.34     0.28     0.17    -0.01     0.00    29.45     0.00
   -10.00  -100.00     0.00     0.15     0.12     0.66    -0.68    -9.68   -10.00    -0.32     0.34     0.06     0.17     0.01     0.00   -29.37     0.00
