
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.16     0.00    -0.03     0.00     0.00     0.00    -0.03     0.00    -0.01     0.00     0.25     0.00     0.01     0.00
     0.00  -100.00     0.00     0.16     0.00     0.02     0.00     0.00     0.00     0.03     0.00     0.01     0.00    -0.25     0.00    -0.09     0.00
     0.00     0.00   100.00     0.00     0.16     0.00    -0.02     0.00     0.00     0.00    -0.03     0.00     0.01     0.00     0.25     0.00    -0.09
     0.00     0.00  -100.00     0.00    -0.16     0.00     0.03     0.00     0.00     0.00     0.03     0.00    -0.01     0.00    -0.25     0.00     0.01
     5.00   100.00     0.00    -0.23    -0.06    -0.47     0.44     5.00     5.00     0.14    -0.18    -0.09    -0.08     0.26     0.00    -0.09     0.00
     5.00  -100.00     0.00     0.10    -0.06    -0.42     0.44     5.00     5.00     0.21    -0.18    -0.07    -0.08    -0.25     0.00    -0.02     0.00
     5.00     0.00   100.00    -0.06     0.10    -0.44     0.42     5.00     5.00     0.18    -0.21    -0.08    -0.07     0.00     0.25     0.00    -0.02
     5.00     0.00  -100.00    -0.06    -0.23    -0.44     0.47     5.00     5.00     0.18    -0.14    -0.08    -0.09     0.00    -0.26     0.00    -0.09
    10.00   100.00     0.00    -0.29    -0.13    -0.98     0.95    10.00    10.00     0.32    -0.36    -0.17    -0.17     0.26     0.00    -0.19     0.00
    10.00  -100.00     0.00     0.04    -0.13    -0.92     0.95    10.00    10.00     0.39    -0.36    -0.16    -0.17    -0.25     0.00     0.06     0.00
    10.00     0.00   100.00    -0.13     0.04    -0.95     0.92    10.00    10.00     0.36    -0.39    -0.17    -0.16     0.00     0.25     0.00     0.06
    10.00     0.00  -100.00    -0.13    -0.29    -0.95     0.98    10.00    10.00     0.36    -0.32    -0.17    -0.17     0.00    -0.26     0.00    -0.19
    15.00   100.00     0.00    -0.36    -0.19    -1.55     1.53    15.00    14.99     0.51    -0.54    -0.26    -0.25     0.26     0.00    -0.28     0.00
    15.00  -100.00     0.00    -0.02    -0.19    -1.50     1.53    14.99    14.99     0.57    -0.54    -0.24    -0.25    -0.25     0.00     0.13     0.00
    15.00     0.00   100.00    -0.19    -0.02    -1.53     1.50    14.99    14.99     0.54    -0.57    -0.25    -0.24     0.00     0.25     0.00     0.13
    15.00     0.00  -100.00    -0.19    -0.36    -1.53     1.55    14.99    15.00     0.54    -0.51    -0.25    -0.26     0.00    -0.26     0.00    -0.28
    20.00   100.00     0.00    -0.42    -0.25    -2.20     2.17    19.99    19.99     0.70    -0.73    -0.34    -0.33     0.26     0.00    -0.38     0.00
    20.00  -100.00     0.00    -0.09    -0.25    -2.15     2.17    19.98    19.99     0.76    -0.73    -0.32    -0.33    -0.25     0.00     0.21     0.00
    20.00     0.00   100.00    -0.25    -0.09    -2.17     2.15    19.99    19.98     0.73    -0.76    -0.33    -0.32     0.00     0.25     0.00     0.21
    20.00     0.00  -100.00    -0.25    -0.42    -2.17     2.20    19.99    19.99     0.73    -0.70    -0.33    -0.34     0.00    -0.26     0.00    -0.38
    25.00   100.00     0.00    -0.49    -0.32    -2.91     2.89    24.98    24.98     0.89    -0.92    -0.42    -0.41     0.26    -0.01    -0.47     0.00
    25.00  -100.00     0.00    -0.15    -0.32    -2.86     2.89    24.97    24.98     0.96    -0.92    -0.41    -0.41    -0.25    -0.01     0.28     0.00
    25.00     0.00   100.00    -0.32    -0.15    -2.89     2.86    24.98    24.97     0.92    -0.96    -0.41    -0.41     0.01     0.25     0.00     0.28
    25.00     0.00  -100.00    -0.32    -0.49    -2.89     2.91    24.98    24.98     0.92    -0.89    -0.41    -0.42     0.01    -0.26     0.00    -0.47
    30.00   100.00     0.00    -0.55    -0.38    -3.70     3.67    29.98    29.97     1.09    -1.12    -0.50    -0.50     0.27    -0.01    -0.57     0.00
    30.00  -100.00     0.00    -0.22    -0.38    -3.64     3.67    29.96    29.97     1.16    -1.12    -0.49    -0.50    -0.25    -0.01     0.35     0.00
    30.00     0.00   100.00    -0.38    -0.22    -3.67     3.64    29.97    29.96     1.12    -1.16    -0.50    -0.49     0.01     0.25     0.00     0.35
    30.00     0.00  -100.00    -0.38    -0.55    -3.67     3.70    29.97    29.98     1.12    -1.09    -0.50    -0.50     0.01    -0.27     0.00    -0.57
    -5.00   100.00     0.00    -0.10     0.06     0.35    -0.37    -5.00    -5.00    -0.20     0.17     0.07     0.08     0.26     0.00     0.12     0.00
    -5.00  -100.00     0.00     0.23     0.06     0.40    -0.37    -5.00    -5.00    -0.14     0.17     0.09     0.08    -0.25     0.00    -0.17     0.00
    -5.00     0.00   100.00     0.06     0.23     0.37    -0.40    -5.00    -5.00    -0.17     0.14     0.08     0.09     0.00     0.25     0.00    -0.17
    -5.00     0.00  -100.00     0.06    -0.10     0.37    -0.35    -5.00    -5.00    -0.17     0.20     0.08     0.07     0.00    -0.26     0.00     0.12
   -10.00   100.00     0.00    -0.04     0.12     0.65    -0.68   -10.01   -10.00    -0.37     0.34     0.16     0.17     0.26     0.00     0.22     0.00
   -10.00  -100.00     0.00     0.29     0.12     0.70    -0.68   -10.00   -10.00    -0.30     0.34     0.18     0.17    -0.25     0.00    -0.25     0.00
   -10.00     0.00   100.00     0.12     0.29     0.68    -0.70   -10.00   -10.00    -0.34     0.30     0.17     0.18     0.00     0.25     0.00    -0.25
   -10.00     0.00  -100.00     0.12    -0.04     0.68    -0.65   -10.00   -10.01    -0.34     0.37     0.17     0.16     0.00    -0.26     0.00     0.22
   -15.00   100.00     0.00     0.02     0.18     0.89    -0.91   -15.01   -15.01    -0.53     0.50     0.24     0.25     0.26     0.00     0.34     0.00
   -15.00  -100.00     0.00     0.35     0.18     0.94    -0.91   -15.00   -15.01    -0.47     0.50     0.26     0.25    -0.25     0.00    -0.34     0.00
   -15.00     0.00   100.00     0.18     0.35     0.91    -0.94   -15.01   -15.00    -0.50     0.47     0.25     0.26     0.00     0.25     0.00    -0.34
   -15.00     0.00  -100.00     0.18     0.02     0.91    -0.89   -15.01   -15.01    -0.50     0.53     0.25     0.24     0.00    -0.26     0.00     0.34
   -20.00   100.00     0.00     0.08     0.24     1.06    -1.08   -20.02   -20.01    -0.69     0.65     0.33     0.34     0.26     0.00     0.45     0.00
   -20.00  -100.00     0.00     0.41     0.24     1.11    -1.08   -20.01   -20.01    -0.62     0.65     0.35     0.34    -0.25     0.00    -0.43     0.00
   -20.00     0.00   100.00     0.24     0.41     1.08    -1.11   -20.01   -20.01    -0.65     0.62     0.34     0.35     0.00     0.25     0.00    -0.43
   -20.00     0.00  -100.00     0.24     0.08     1.08    -1.06   -20.01   -20.02    -0.65     0.69     0.34     0.33     0.00    -0.26     0.00     0.45
