
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.20     0.00     0.02     0.00     0.08     0.00     1.01    -1.00    -0.02     0.00    -0.03     0.00    -7.43     0.00
     0.00 -1000.00     0.00    -0.20     0.00    -0.02     0.00    -0.08     0.00     0.99    -1.00     0.02     0.00     0.03     0.00     7.34     0.00
     0.00     0.00  1000.00     0.00     0.20     0.00    -0.02     0.00     0.08     1.00    -1.01     0.00    -0.02     0.00     0.03     0.00    -7.43
     0.00     0.00 -1000.00     0.00    -0.20     0.00     0.02     0.00    -0.08     1.00    -0.99     0.00     0.02     0.00    -0.03     0.00     7.34
     5.00  1000.00     0.00     0.23     0.04    -0.34     0.35     5.08     5.00     1.18    -1.18     0.03     0.05    -0.03     0.00    -7.42     0.00
     5.00 -1000.00     0.00    -0.16     0.04    -0.37     0.35     4.92     5.00     1.17    -1.18     0.07     0.05     0.03     0.00     7.32     0.00
     5.00     0.00  1000.00     0.04     0.23    -0.35     0.34     5.00     5.08     1.18    -1.18     0.05     0.03     0.00     0.03     0.00    -7.42
     5.00     0.00 -1000.00     0.04    -0.16    -0.35     0.37     5.00     4.92     1.18    -1.17     0.05     0.07     0.00    -0.03     0.00     7.32
    10.00  1000.00     0.00     0.27     0.07    -0.78     0.79    10.08    10.00     1.36    -1.36     0.08     0.10    -0.03     0.00    -7.40     0.00
    10.00 -1000.00     0.00    -0.12     0.07    -0.81     0.79     9.92    10.00     1.35    -1.36     0.12     0.10     0.03     0.00     7.30     0.00
    10.00     0.00  1000.00     0.07     0.27    -0.79     0.78    10.00    10.08     1.36    -1.36     0.10     0.08     0.00     0.03     0.00    -7.40
    10.00     0.00 -1000.00     0.07    -0.12    -0.79     0.81    10.00     9.92     1.36    -1.35     0.10     0.12     0.00    -0.03     0.00     7.30
    15.00  1000.00     0.00     0.31     0.11    -1.30     1.31    15.08    14.99     1.55    -1.55     0.13     0.15    -0.03     0.00    -7.38     0.00
    15.00 -1000.00     0.00    -0.09     0.11    -1.33     1.31    14.91    14.99     1.54    -1.55     0.17     0.15     0.02     0.00     7.28     0.00
    15.00     0.00  1000.00     0.11     0.31    -1.31     1.30    14.99    15.08     1.55    -1.55     0.15     0.13     0.00     0.03     0.00    -7.38
    15.00     0.00 -1000.00     0.11    -0.09    -1.31     1.33    14.99    14.91     1.55    -1.54     0.15     0.17     0.00    -0.02     0.00     7.28
    20.00  1000.00     0.00     0.34     0.15    -1.90     1.92    20.07    19.99     1.75    -1.74     0.18     0.20    -0.03     0.00    -7.36     0.00
    20.00 -1000.00     0.00    -0.05     0.15    -1.93     1.92    19.91    19.99     1.74    -1.74     0.22     0.20     0.02     0.00     7.26     0.00
    20.00     0.00  1000.00     0.15     0.34    -1.92     1.90    19.99    20.07     1.74    -1.75     0.20     0.18     0.00     0.03     0.00    -7.36
    20.00     0.00 -1000.00     0.15    -0.05    -1.92     1.93    19.99    19.91     1.74    -1.74     0.20     0.22     0.00    -0.02     0.00     7.26
    25.00  1000.00     0.00     0.38     0.18    -2.59     2.60    25.06    24.98     1.95    -1.95     0.23     0.25    -0.03     0.00    -7.35     0.00
    25.00 -1000.00     0.00    -0.01     0.18    -2.62     2.60    24.90    24.98     1.94    -1.95     0.27     0.25     0.02     0.00     7.24     0.00
    25.00     0.00  1000.00     0.18     0.38    -2.60     2.59    24.98    25.06     1.95    -1.95     0.25     0.23     0.00     0.03     0.00    -7.35
