
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.02     0.00     0.07     0.00    -0.67     0.00     0.98    -1.00    -0.01     0.00     0.00     0.00    60.50     0.00
     0.00 -1000.00     0.00    -0.02     0.00    -0.07     0.00     0.72     0.00     1.02    -1.00     0.01     0.00     0.00     0.00   -65.12     0.00
     0.00     0.00  1000.00     0.00    -0.02     0.00     0.07     0.00     0.72     1.00    -1.02     0.00     0.01     0.00     0.00     0.00   -65.12
     0.00     0.00 -1000.00     0.00     0.02     0.00    -0.07     0.00    -0.67     1.00    -0.98     0.00    -0.01     0.00     0.00     0.00    60.50
     5.00  1000.00     0.00     0.05     0.04    -0.26     0.35     4.15     5.00     1.15    -1.18     0.04     0.05     0.00     0.00    76.44     0.00
     5.00 -1000.00     0.00     0.02     0.04    -0.45     0.35     5.91     5.00     1.21    -1.18     0.06     0.05    -0.01     0.00   -82.28     0.00
     5.00     0.00  1000.00     0.04     0.02    -0.35     0.45     5.00     5.91     1.18    -1.21     0.05     0.06     0.00     0.01     0.00   -82.28
     5.00     0.00 -1000.00     0.04     0.05    -0.35     0.26     5.00     4.15     1.18    -1.15     0.05     0.04     0.00     0.00     0.00    76.44
    10.00  1000.00     0.00     0.09     0.07    -0.67     0.79     8.97    10.00     1.32    -1.36     0.09     0.10     0.00     0.00    92.39     0.00
    10.00 -1000.00     0.00     0.06     0.07    -0.93     0.79    11.10    10.00     1.40    -1.36     0.12     0.10    -0.01     0.00   -99.46     0.00
    10.00     0.00  1000.00     0.07     0.06    -0.79     0.93    10.00    11.10     1.36    -1.40     0.10     0.12     0.00     0.01     0.00   -99.46
    10.00     0.00 -1000.00     0.07     0.09    -0.79     0.67    10.00     8.97     1.36    -1.32     0.10     0.09     0.00     0.00     0.00    92.39
    15.00  1000.00     0.00     0.13     0.11    -1.16     1.31    13.79    14.99     1.50    -1.55     0.14     0.15     0.00     0.00   108.35     0.00
    15.00 -1000.00     0.00     0.10     0.11    -1.49     1.31    16.29    14.99     1.60    -1.55     0.17     0.15    -0.01     0.00  -116.66     0.00
    15.00     0.00  1000.00     0.11     0.10    -1.31     1.49    14.99    16.29     1.55    -1.60     0.15     0.17     0.00     0.01     0.00  -116.66
    15.00     0.00 -1000.00     0.11     0.13    -1.31     1.16    14.99    13.79     1.55    -1.50     0.15     0.14     0.00     0.00     0.00   108.35
    20.00  1000.00     0.00     0.16     0.15    -1.72     1.92    18.61    19.99     1.69    -1.74     0.18     0.20     0.00     0.00   124.34     0.00
    20.00 -1000.00     0.00     0.13     0.15    -2.14     1.92    21.47    19.99     1.80    -1.74     0.22     0.20    -0.01     0.00  -133.89     0.00
    20.00     0.00  1000.00     0.15     0.13    -1.92     2.14    19.99    21.47     1.74    -1.80     0.20     0.22     0.00     0.01     0.00  -133.89
    20.00     0.00 -1000.00     0.15     0.16    -1.92     1.72    19.99    18.61     1.74    -1.69     0.20     0.18     0.00     0.00     0.00   124.34
    25.00  1000.00     0.00     0.20     0.18    -2.36     2.60    23.42    24.98     1.88    -1.95     0.23     0.25     0.00     0.00   140.36     0.00
    25.00 -1000.00     0.00     0.17     0.18    -2.88     2.60    26.66    24.98     2.02    -1.95     0.27     0.25    -0.01     0.00  -151.18     0.00
    25.00     0.00  1000.00     0.18     0.17    -2.60     2.88    24.98    26.66     1.95    -2.02     0.25     0.27     0.00     0.01     0.00  -151.18
