
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Suspension Kinematics 2017                          

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -1.00     0.00     0.00     0.00    46.79    46.79    -4.80     7.34     0.56    10.26    15.00     0.00
     5.00     0.05    -1.18     0.74    -0.04     0.00    45.23    40.23    -5.36     7.27     0.56    10.44    14.79    -0.05
    10.00     0.10    -1.36     1.36    -0.07     0.00    43.69    33.69    -5.94     7.20     0.56    10.62    14.59    -0.10
    15.00     0.16    -1.55     1.87    -0.11     0.00    42.17    27.17    -6.54     7.13     0.56    10.81    14.38    -0.15
    20.00     0.21    -1.74     2.28    -0.15     0.00    40.69    20.68    -7.16     7.06     0.57    11.01    14.17    -0.20
    25.00     0.27    -1.95     2.57    -0.18     0.00    39.23    14.21    -7.81     6.98     0.57    11.21    13.97    -0.25
    30.00     0.33    -2.16     2.76    -0.22     0.00    37.79     7.77    -8.49     6.90     0.57    11.42    13.76    -0.30
     0.00     0.00    -1.00     0.00     0.00     0.00    46.79    46.79    -4.80     7.34     0.56    10.26    15.00     0.00
    -5.00    -0.05    -0.83    -0.85     0.04     0.00    48.38    53.38    -4.27     7.40     0.55    10.09    15.21     0.05
   -10.00    -0.11    -0.67    -1.81     0.07     0.00    49.99    59.98    -3.75     7.46     0.55     9.93    15.41     0.10
   -15.00    -0.16    -0.51    -2.88     0.11     0.00    51.62    66.61    -3.25     7.52     0.55     9.77    15.62     0.15
   -20.00    -0.22    -0.36    -4.06     0.15     0.00    53.27    73.26    -2.77     7.58     0.55     9.62    15.83     0.20
   -25.00    -0.28    -0.22    -5.36     0.19     0.00    54.94    79.94    -2.30     7.64     0.54     9.48    16.04     0.25
   -30.00    -0.34    -0.08    -6.78     0.22     0.00    56.64    86.63    -1.85     7.69     0.54     9.34    16.25     0.30
