
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Suspension Kinematics 2017                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    46.79    46.79     0.00     0.00    -1.00    -1.00     0.00     0.00     0.00     0.00     0.00
     0.00     5.00    10.60    45.95    43.45     0.00     0.05    -1.00    -1.18    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    22.75    44.99    39.98     0.00     0.10    -1.00    -1.36    -0.49     0.00    10.00     0.00     0.00
     0.00    15.00    36.84    43.87    36.37     0.00     0.16    -1.00    -1.55    -0.73     0.00    14.99     0.00     0.00
     0.00    20.00    53.40    42.55    32.55     0.00     0.21    -1.00    -1.74    -0.97     0.00    19.99     0.00     0.00
     0.00    25.00    73.20    40.98    28.48     0.00     0.27    -1.00    -1.95    -1.21     0.00    24.98     0.00     0.00
     0.00    30.00    97.33    39.07    24.06     0.00     0.33    -1.00    -2.16    -1.46     0.00    29.97     0.00     0.00
     0.00     0.00     0.00    46.79    46.79     0.00     0.00    -1.00    -1.00     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00    -9.34    47.53    50.03     0.00    -0.05    -1.00    -0.83     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -17.64    48.19    53.19     0.00    -0.11    -1.00    -0.67     0.49     0.00   -10.00     0.00     0.00
     0.00   -15.00   -25.08    48.78    56.28     0.00    -0.16    -1.00    -0.51     0.73     0.00   -15.01     0.00     0.00
     0.00   -20.00   -31.78    49.31    59.31     0.00    -0.22    -1.00    -0.36     0.97     0.00   -20.01     0.00     0.00
     0.00   -25.00   -37.86    49.79    62.29     0.00    -0.28    -1.00    -0.22     1.22     0.00   -25.01     0.00     0.00
     0.00   -30.00   -43.40    50.23    65.22     0.00    -0.34    -1.00    -0.08     1.46     0.00   -30.02     0.00     0.00
     5.00     0.00   -10.60    45.95    43.45     0.05     0.00    -1.18    -1.00     0.24     5.00     0.00     0.00     0.00
     5.00     5.00     0.00    45.23    40.23     0.05     0.05    -1.18    -1.18     0.00     5.00     5.00     0.00     0.00
     5.00    10.00    12.29    44.39    36.89     0.05     0.10    -1.18    -1.36    -0.24     5.00    10.00     0.00     0.00
     5.00    15.00    26.75    43.40    33.40     0.05     0.16    -1.18    -1.55    -0.49     5.00    14.99     0.00     0.00
     5.00    20.00    44.03    42.23    29.72     0.05     0.21    -1.18    -1.74    -0.73     5.00    19.99     0.00     0.00
     5.00    25.00    65.11    40.79    25.78     0.05     0.27    -1.18    -1.95    -0.97     5.00    24.98     0.00     0.00
     5.00    30.00    91.47    38.99    21.48     0.05     0.33    -1.18    -2.16    -1.21     5.00    29.97     0.00     0.00
