
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.01     0.00    -0.04     0.00     0.67     0.00     1.04    -1.00    -0.01     0.00     0.00     0.00   -60.64     0.00
     0.00  -100.00     0.00    -0.01     0.00     0.04     0.00    -0.67     0.00     0.96    -1.00     0.01     0.00     0.00     0.00    60.06     0.00
     0.00     0.00   100.00     0.00    -0.01     0.00    -0.04     0.00    -0.67     1.00    -0.96     0.00     0.01     0.00     0.00     0.00    60.06
     0.00     0.00  -100.00     0.00     0.01     0.00     0.04     0.00     0.67     1.00    -1.04     0.00    -0.01     0.00     0.00     0.00   -60.64
     5.00   100.00     0.00     0.05     0.04    -0.41     0.35     5.70     5.00     1.22    -1.18     0.04     0.05     0.00     0.00   -62.95     0.00
     5.00  -100.00     0.00     0.03     0.04    -0.30     0.35     4.31     5.00     1.13    -1.18     0.06     0.05     0.00     0.00    62.33     0.00
     5.00     0.00   100.00     0.04     0.03    -0.35     0.30     5.00     4.31     1.18    -1.13     0.05     0.06     0.00     0.00     0.00    62.33
     5.00     0.00  -100.00     0.04     0.05    -0.35     0.41     5.00     5.70     1.18    -1.22     0.05     0.04     0.00     0.00     0.00   -62.95
    10.00   100.00     0.00     0.08     0.07    -0.86     0.79    10.72    10.00     1.40    -1.36     0.09     0.10     0.00     0.00   -65.28     0.00
    10.00  -100.00     0.00     0.06     0.07    -0.73     0.79     9.28    10.00     1.31    -1.36     0.11     0.10     0.00     0.00    64.63     0.00
    10.00     0.00   100.00     0.07     0.06    -0.79     0.73    10.00     9.28     1.36    -1.31     0.10     0.11     0.00     0.00     0.00    64.63
    10.00     0.00  -100.00     0.07     0.08    -0.79     0.86    10.00    10.72     1.36    -1.40     0.10     0.09     0.00     0.00     0.00   -65.28
    15.00   100.00     0.00     0.12     0.11    -1.40     1.31    15.74    14.99     1.59    -1.55     0.14     0.15     0.00     0.00   -67.65     0.00
    15.00  -100.00     0.00     0.10     0.11    -1.23     1.31    14.25    14.99     1.50    -1.55     0.16     0.15     0.00     0.00    66.97     0.00
    15.00     0.00   100.00     0.11     0.10    -1.31     1.23    14.99    14.25     1.55    -1.50     0.15     0.16     0.00     0.00     0.00    66.97
    15.00     0.00  -100.00     0.11     0.12    -1.31     1.40    14.99    15.74     1.55    -1.59     0.15     0.14     0.00     0.00     0.00   -67.65
    20.00   100.00     0.00     0.16     0.15    -2.02     1.92    20.76    19.99     1.79    -1.74     0.19     0.20    -0.01     0.00   -70.06     0.00
    20.00  -100.00     0.00     0.14     0.15    -1.82     1.92    19.22    19.99     1.70    -1.74     0.21     0.20     0.00     0.00    69.34     0.00
    20.00     0.00   100.00     0.15     0.14    -1.92     1.82    19.99    19.22     1.74    -1.70     0.20     0.21     0.00     0.00     0.00    69.34
