
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.08     0.00    -0.90     0.00    11.09     0.00     0.90    -0.50     0.11     0.00    -0.20     0.20  -998.85     0.00
     0.00 -1000.00     0.00    -0.08     0.00     0.49     0.00   -11.12     0.00     0.13    -0.50    -0.11     0.00    -0.20     0.20  1000.92     0.00
     0.00     0.00  1000.00     0.00     0.08     0.00     0.90     0.00    11.09     0.50    -0.90     0.00     0.11    -0.20     0.20     0.00  -998.85
     0.00     0.00 -1000.00     0.00    -0.08     0.00    -0.49     0.00   -11.12     0.50    -0.13     0.00    -0.11    -0.20     0.20     0.00  1000.92
     5.00  1000.00     0.00     0.12     0.04    -1.44     0.35    16.08     5.00     1.09    -0.68     0.16     0.05    -0.20     0.20  -998.24     0.00
     5.00 -1000.00     0.00    -0.05     0.04     0.32     0.35    -6.12     5.00     0.29    -0.68    -0.06     0.05    -0.20     0.20  1000.53     0.00
     5.00     0.00  1000.00     0.04     0.12    -0.35     1.44     5.00    16.08     0.68    -1.09     0.05     0.16    -0.20     0.20     0.00  -998.24
     5.00     0.00 -1000.00     0.04    -0.05    -0.35    -0.32     5.00    -6.12     0.68    -0.29     0.05    -0.06    -0.20     0.20     0.00  1000.53
    10.00  1000.00     0.00     0.16     0.07    -2.06     0.79    21.07    10.00     1.29    -0.86     0.21     0.10    -0.20     0.20  -997.58     0.00
    10.00 -1000.00     0.00    -0.01     0.07     0.07     0.79    -1.11    10.00     0.46    -0.86    -0.01     0.10    -0.20     0.20  1000.10     0.00
    10.00     0.00  1000.00     0.07     0.16    -0.79     2.06    10.00    21.07     0.86    -1.29     0.10     0.21    -0.20     0.20     0.00  -997.58
    10.00     0.00 -1000.00     0.07    -0.01    -0.79    -0.07    10.00    -1.11     0.86    -0.46     0.10    -0.01    -0.20     0.20     0.00  1000.10
    15.00  1000.00     0.00     0.19     0.11    -2.76     1.31    26.05    14.99     1.49    -1.05     0.27     0.15    -0.20     0.20  -996.86     0.00
    15.00 -1000.00     0.00     0.03     0.11    -0.27     1.31     3.89    14.99     0.64    -1.05     0.04     0.15    -0.20     0.20   999.62     0.00
    15.00     0.00  1000.00     0.11     0.19    -1.31     2.76    14.99    26.05     1.05    -1.49     0.15     0.27    -0.20     0.20     0.00  -996.86
    15.00     0.00 -1000.00     0.11     0.03    -1.31     0.27    14.99     3.89     1.05    -0.64     0.15     0.04    -0.20     0.20     0.00   999.62
    20.00  1000.00     0.00     0.23     0.15    -3.55     1.92    31.03    19.99     1.70    -1.24     0.32     0.20    -0.20     0.20  -996.07     0.00
    20.00 -1000.00     0.00     0.07     0.15    -0.69     1.92     8.90    19.99     0.82    -1.24     0.09     0.20    -0.20     0.20   999.09     0.00
    20.00     0.00  1000.00     0.15     0.23    -1.92     3.55    19.99    31.03     1.24    -1.70     0.20     0.32    -0.20     0.20     0.00  -996.07
    20.00     0.00 -1000.00     0.15     0.07    -1.92     0.69    19.99     8.90     1.24    -0.82     0.20     0.09    -0.20     0.20     0.00   999.09
    25.00  1000.00     0.00     0.26     0.18    -4.42     2.60    36.01    24.98     1.92    -1.45     0.37     0.25    -0.20     0.20  -995.21     0.00
    25.00 -1000.00     0.00     0.10     0.18    -1.19     2.60    13.90    24.98     1.01    -1.45     0.14     0.25    -0.20     0.20   998.51     0.00
    25.00     0.00  1000.00     0.18     0.26    -2.60     4.42    24.98    36.01     1.45    -1.92     0.25     0.37    -0.20     0.20     0.00  -995.21
