
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Suspension Kinematics 2017                          

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    12.00    -0.50     0.00     0.00     0.00    46.79    46.79    -4.80     7.34     0.50    10.26    15.00     0.00
     5.00    12.03    -0.68     0.73    -0.04     0.00    45.23    40.23    -5.36     7.27     0.51    10.44    14.79    -0.05
    10.00    12.05    -0.86     1.36    -0.07     0.00    43.69    33.69    -5.94     7.20     0.51    10.62    14.58    -0.10
    15.00    12.08    -1.05     1.87    -0.11     0.00    42.17    27.17    -6.54     7.13     0.51    10.81    14.37    -0.15
    20.00    12.11    -1.24     2.27    -0.15     0.00    40.69    20.68    -7.16     7.06     0.51    11.01    14.17    -0.20
    25.00    12.14    -1.45     2.56    -0.18     0.00    39.23    14.21    -7.81     6.98     0.52    11.21    13.96    -0.25
    30.00    12.18    -1.66     2.75    -0.22     0.00    37.79     7.77    -8.49     6.90     0.52    11.42    13.75    -0.30
     0.00    12.00    -0.50     0.00     0.00     0.00    46.79    46.79    -4.80     7.34     0.50    10.26    15.00     0.00
    -5.00    11.97    -0.33    -0.84     0.04     0.00    48.38    53.38    -4.27     7.40     0.50    10.09    15.21     0.05
   -10.00    11.95    -0.17    -1.80     0.07     0.00    49.99    59.98    -3.75     7.46     0.50     9.93    15.42     0.10
   -15.00    11.92    -0.01    -2.87     0.11     0.00    51.62    66.61    -3.25     7.52     0.50     9.77    15.63     0.15
   -20.00    11.89     0.14    -4.06     0.15     0.00    53.27    73.26    -2.77     7.58     0.49     9.62    15.84     0.20
   -25.00    11.86     0.28    -5.36     0.19     0.00    54.95    79.94    -2.30     7.64     0.49     9.48    16.05     0.25
   -30.00    11.82     0.42    -6.77     0.22     0.00    56.64    86.63    -1.85     7.69     0.49     9.34    16.26     0.30
