
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Suspension Kinematics 2017                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    46.79    46.79    12.00    12.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00     5.00    10.60    45.95    43.45    12.00    12.03    -0.50    -0.68    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    22.75    44.99    39.98    12.00    12.05    -0.50    -0.86    -0.48     0.00    10.00     0.00     0.00
     0.00    15.00    36.84    43.87    36.37    12.00    12.08    -0.50    -1.05    -0.73     0.00    14.99     0.00     0.00
     0.00    20.00    53.40    42.55    32.55    12.00    12.11    -0.50    -1.24    -0.97     0.00    19.99     0.00     0.00
     0.00    25.00    73.20    40.98    28.48    12.00    12.14    -0.50    -1.45    -1.21     0.00    24.98     0.00     0.00
     0.00    30.00    97.33    39.07    24.06    12.00    12.18    -0.50    -1.66    -1.45     0.00    29.97     0.00     0.00
     0.00     0.00     0.00    46.79    46.79    12.00    12.00    -0.50    -0.50     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00    -9.34    47.53    50.03    12.00    11.97    -0.50    -0.33     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -17.65    48.19    53.19    12.00    11.95    -0.50    -0.17     0.48     0.00   -10.00     0.00     0.00
     0.00   -15.00   -25.08    48.78    56.28    12.00    11.92    -0.50    -0.01     0.73     0.00   -15.01     0.00     0.00
     0.00   -20.00   -31.78    49.31    59.31    12.00    11.89    -0.50     0.14     0.97     0.00   -20.01     0.00     0.00
     0.00   -25.00   -37.86    49.79    62.29    12.00    11.86    -0.50     0.28     1.21     0.00   -25.01     0.00     0.00
     0.00   -30.00   -43.40    50.23    65.22    12.00    11.82    -0.50     0.42     1.46     0.00   -30.02     0.00     0.00
     5.00     0.00   -10.60    45.95    43.45    12.03    12.00    -0.68    -0.50     0.24     5.00     0.00     0.00     0.00
     5.00     5.00     0.00    45.23    40.23    12.03    12.03    -0.68    -0.68     0.00     5.00     5.00     0.00     0.00
     5.00    10.00    12.29    44.39    36.89    12.03    12.05    -0.68    -0.86    -0.24     5.00    10.00     0.00     0.00
     5.00    15.00    26.75    43.40    33.40    12.03    12.08    -0.68    -1.05    -0.48     5.00    14.99     0.00     0.00
     5.00    20.00    44.03    42.23    29.72    12.03    12.11    -0.68    -1.24    -0.73     5.00    19.99     0.00     0.00
     5.00    25.00    65.11    40.79    25.78    12.03    12.14    -0.68    -1.45    -0.97     5.00    24.98     0.00     0.00
     5.00    30.00    91.47    38.99    21.48    12.03    12.18    -0.68    -1.66    -1.21     5.00    29.97     0.00     0.00
     5.00     0.00   -10.60    45.95    43.45    12.03    12.00    -0.68    -0.50     0.24     5.00     0.00     0.00     0.00
     5.00    -5.00   -19.85    46.58    46.58    12.03    11.97    -0.68    -0.33     0.48     5.00    -5.00     0.00     0.00
     5.00   -10.00   -28.00    47.13    49.63    12.03    11.95    -0.68    -0.17     0.73     5.00   -10.00     0.00     0.00
     5.00   -15.00   -35.25    47.63    52.63    12.03    11.92    -0.68    -0.01     0.97     5.00   -15.01     0.00     0.00
     5.00   -20.00   -41.74    48.07    55.57    12.03    11.89    -0.68     0.14     1.21     5.00   -20.01     0.00     0.00
     5.00   -25.00   -47.59    48.47    58.46    12.03    11.86    -0.68     0.28     1.45     5.00   -25.01     0.00     0.00
     5.00   -30.00   -52.89    48.83    61.32    12.03    11.82    -0.68     0.42     1.70     5.00   -30.02     0.00     0.00
    10.00     0.00   -22.75    44.99    39.98    12.05    12.00    -0.86    -0.50     0.48    10.00     0.00     0.00     0.00
    10.00     5.00   -12.29    44.39    36.89    12.05    12.03    -0.86    -0.68     0.24    10.00     5.00     0.00     0.00
    10.00    10.00     0.00    43.69    33.69    12.05    12.05    -0.86    -0.86     0.00    10.00    10.00     0.00     0.00
    10.00    15.00    14.70    42.85    30.35    12.05    12.08    -0.86    -1.05    -0.24    10.00    14.99     0.00     0.00
    10.00    20.00    32.62    41.83    26.82    12.05    12.11    -0.86    -1.24    -0.48    10.00    19.99     0.00     0.00
    10.00    25.00    55.05    40.55    23.04    12.05    12.14    -0.86    -1.45    -0.73    10.00    24.98     0.00     0.00
    10.00    30.00    84.02    38.90    18.88    12.05    12.18    -0.86    -1.66    -0.97    10.00    29.97     0.00     0.00
    10.00     0.00   -22.75    44.99    39.98    12.05    12.00    -0.86    -0.50     0.48    10.00     0.00     0.00     0.00
    10.00    -5.00   -31.77    45.50    43.00    12.05    11.97    -0.86    -0.33     0.73    10.00    -5.00     0.00     0.00
    10.00   -10.00   -39.65    45.95    45.95    12.05    11.95    -0.86    -0.17     0.97    10.00   -10.00     0.00     0.00
    10.00   -15.00   -46.59    46.34    48.84    12.05    11.92    -0.86    -0.01     1.21    10.00   -15.01     0.00     0.00
    10.00   -20.00   -52.76    46.70    51.69    12.05    11.89    -0.86     0.14     1.45    10.00   -20.01     0.00     0.00
    10.00   -25.00   -58.29    47.01    54.51    12.05    11.86    -0.86     0.28     1.70    10.00   -25.01     0.00     0.00
    10.00   -30.00   -63.28    47.30    57.29    12.05    11.82    -0.86     0.42     1.94    10.00   -30.02     0.00     0.00
    15.00     0.00   -36.84    43.87    36.37    12.08    12.00    -1.05    -0.50     0.73    14.99     0.00     0.00     0.00
    15.00     5.00   -26.75    43.40    33.40    12.08    12.03    -1.05    -0.68     0.48    14.99     5.00     0.00     0.00
    15.00    10.00   -14.70    42.85    30.35    12.08    12.05    -1.05    -0.86     0.24    14.99    10.00     0.00     0.00
    15.00    15.00     0.00    42.17    27.17    12.08    12.08    -1.05    -1.05     0.00    14.99    14.99     0.00     0.00
    15.00    20.00    18.38    41.33    23.82    12.08    12.11    -1.05    -1.24    -0.24    14.99    19.99     0.00     0.00
    15.00    25.00    42.12    40.24    20.23    12.08    12.14    -1.05    -1.45    -0.48    14.99    24.98     0.00     0.00
    15.00    30.00    74.12    38.77    16.25    12.08    12.18    -1.05    -1.66    -0.73    14.99    29.97     0.00     0.00
    15.00     0.00   -36.84    43.87    36.37    12.08    12.00    -1.05    -0.50     0.73    14.99     0.00     0.00     0.00
    15.00    -5.00   -45.43    44.26    39.26    12.08    11.97    -1.05    -0.33     0.97    14.99    -5.00     0.00     0.00
    15.00   -10.00   -52.85    44.60    42.10    12.08    11.95    -1.05    -0.17     1.21    14.99   -10.00     0.00     0.00
    15.00   -15.00   -59.33    44.90    44.90    12.08    11.92    -1.05    -0.01     1.45    14.99   -15.01     0.00     0.00
    15.00   -20.00   -65.05    45.16    47.66    12.08    11.89    -1.05     0.14     1.70    14.99   -20.01     0.00     0.00
    15.00   -25.00   -70.14    45.40    50.39    12.08    11.86    -1.05     0.28     1.94    14.99   -25.01     0.00     0.00
    15.00   -30.00   -74.70    45.61    53.10    12.08    11.82    -1.05     0.42     2.18    14.99   -30.02     0.00     0.00
    20.00     0.00   -53.40    42.55    32.55    12.11    12.00    -1.24    -0.50     0.97    19.99     0.00     0.00     0.00
    20.00     5.00   -44.03    42.23    29.72    12.11    12.03    -1.24    -0.68     0.73    19.99     5.00     0.00     0.00
    20.00    10.00   -32.62    41.83    26.82    12.11    12.05    -1.24    -0.86     0.48    19.99    10.00     0.00     0.00
    20.00    15.00   -18.38    41.33    23.82    12.11    12.08    -1.24    -1.05     0.24    19.99    14.99     0.00     0.00
    20.00    20.00     0.00    40.69    20.68    12.11    12.11    -1.24    -1.24     0.00    19.99    19.99     0.00     0.00
    20.00    25.00    24.76    39.82    17.31    12.11    12.14    -1.24    -1.45    -0.24    19.99    24.98     0.00     0.00
    20.00    30.00    60.14    38.58    13.57    12.11    12.18    -1.24    -1.66    -0.48    19.99    29.97     0.00     0.00
    20.00     0.00   -53.40    42.55    32.55    12.11    12.00    -1.24    -0.50     0.97    19.99     0.00     0.00     0.00
