
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.01     0.00    -0.04     0.00     0.67     0.00     0.54    -0.50    -0.01     0.00    -0.20     0.20   -60.64     0.00
     0.00  -100.00     0.00    -0.01     0.00     0.04     0.00    -0.67     0.00     0.46    -0.50     0.01     0.00    -0.20     0.20    60.06     0.00
     0.00     0.00   100.00     0.00    -0.01     0.00    -0.04     0.00    -0.67     0.50    -0.46     0.00     0.01    -0.20     0.20     0.00    60.06
     0.00     0.00  -100.00     0.00     0.01     0.00     0.04     0.00     0.67     0.50    -0.54     0.00    -0.01    -0.20     0.20     0.00   -60.64
     5.00   100.00     0.00     0.05     0.04    -0.41     0.35     5.70     5.00     0.72    -0.68     0.04     0.05    -0.20     0.20   -62.95     0.00
     5.00  -100.00     0.00     0.03     0.04    -0.30     0.35     4.31     5.00     0.63    -0.68     0.06     0.05    -0.20     0.20    62.33     0.00
     5.00     0.00   100.00     0.04     0.03    -0.35     0.30     5.00     4.31     0.68    -0.63     0.05     0.06    -0.20     0.20     0.00    62.33
     5.00     0.00  -100.00     0.04     0.05    -0.35     0.41     5.00     5.70     0.68    -0.72     0.05     0.04    -0.20     0.20     0.00   -62.95
    10.00   100.00     0.00     0.08     0.07    -0.86     0.79    10.72    10.00     0.90    -0.86     0.09     0.10    -0.20     0.20   -65.28     0.00
    10.00  -100.00     0.00     0.06     0.07    -0.73     0.79     9.28    10.00     0.81    -0.86     0.11     0.10    -0.20     0.20    64.63     0.00
    10.00     0.00   100.00     0.07     0.06    -0.79     0.73    10.00     9.28     0.86    -0.81     0.10     0.11    -0.20     0.20     0.00    64.63
    10.00     0.00  -100.00     0.07     0.08    -0.79     0.86    10.00    10.72     0.86    -0.90     0.10     0.09    -0.20     0.20     0.00   -65.28
    15.00   100.00     0.00     0.12     0.11    -1.40     1.31    15.74    14.99     1.09    -1.05     0.14     0.15    -0.20     0.20   -67.65     0.00
    15.00  -100.00     0.00     0.10     0.11    -1.23     1.31    14.25    14.99     1.00    -1.05     0.16     0.15    -0.20     0.20    66.97     0.00
    15.00     0.00   100.00     0.11     0.10    -1.31     1.23    14.99    14.25     1.05    -1.00     0.15     0.16    -0.20     0.20     0.00    66.97
    15.00     0.00  -100.00     0.11     0.12    -1.31     1.40    14.99    15.74     1.05    -1.09     0.15     0.14    -0.20     0.20     0.00   -67.65
    20.00   100.00     0.00     0.16     0.15    -2.02     1.92    20.76    19.99     1.29    -1.24     0.19     0.20    -0.20     0.20   -70.06     0.00
    20.00  -100.00     0.00     0.14     0.15    -1.82     1.92    19.22    19.99     1.20    -1.24     0.21     0.20    -0.20     0.20    69.34     0.00
    20.00     0.00   100.00     0.15     0.14    -1.92     1.82    19.99    19.22     1.24    -1.20     0.20     0.21    -0.20     0.20     0.00    69.34
    20.00     0.00  -100.00     0.15     0.16    -1.92     2.02    19.99    20.76     1.24    -1.29     0.20     0.19    -0.20     0.20     0.00   -70.06
    25.00   100.00     0.00     0.19     0.18    -2.72     2.60    25.78    24.98     1.50    -1.45     0.25     0.25    -0.20     0.20   -72.52     0.00
    25.00  -100.00     0.00     0.17     0.18    -2.49     2.60    24.18    24.98     1.40    -1.45     0.26     0.25    -0.20     0.20    71.75     0.00
    25.00     0.00   100.00     0.18     0.17    -2.60     2.49    24.98    24.18     1.45    -1.40     0.25     0.26    -0.20     0.20     0.00    71.75
    25.00     0.00  -100.00     0.18     0.19    -2.60     2.72    24.98    25.78     1.45    -1.50     0.25     0.25    -0.20     0.20     0.00   -72.52
    30.00   100.00     0.00     0.23     0.22    -3.51     3.37    30.80    29.97     1.71    -1.66     0.30     0.31    -0.21     0.20   -75.02     0.00
    30.00  -100.00     0.00     0.21     0.22    -3.24     3.37    29.15    29.97     1.61    -1.66     0.31     0.31    -0.20     0.20    74.20     0.00
    30.00     0.00   100.00     0.22     0.21    -3.37     3.24    29.97    29.15     1.66    -1.61     0.31     0.31    -0.20     0.20     0.00    74.20
    30.00     0.00  -100.00     0.22     0.23    -3.37     3.51    29.97    30.80     1.66    -1.71     0.31     0.30    -0.20     0.21     0.00   -75.02
    -5.00   100.00     0.00    -0.03    -0.04     0.24    -0.27    -4.35    -5.00     0.37    -0.33    -0.06    -0.05    -0.20     0.20   -58.36     0.00
    -5.00  -100.00     0.00    -0.05    -0.04     0.30    -0.27    -5.64    -5.00     0.29    -0.33    -0.04    -0.05    -0.20     0.20    57.81     0.00
    -5.00     0.00   100.00    -0.04    -0.05     0.27    -0.30    -5.00    -5.64     0.33    -0.29    -0.05    -0.04    -0.20     0.20     0.00    57.81
    -5.00     0.00  -100.00    -0.04    -0.03     0.27    -0.24    -5.00    -4.35     0.33    -0.37    -0.05    -0.06    -0.20     0.20     0.00   -58.36
   -10.00   100.00     0.00    -0.07    -0.07     0.44    -0.46    -9.38   -10.00     0.21    -0.17    -0.11    -0.10    -0.20     0.20   -56.11     0.00
   -10.00  -100.00     0.00    -0.08    -0.07     0.48    -0.46   -10.62   -10.00     0.13    -0.17    -0.09    -0.10    -0.20     0.20    55.59     0.00
   -10.00     0.00   100.00    -0.07    -0.08     0.46    -0.48   -10.00   -10.62     0.17    -0.13    -0.10    -0.09    -0.20     0.20     0.00    55.59
   -10.00     0.00  -100.00    -0.07    -0.07     0.46    -0.44   -10.00    -9.38     0.17    -0.21    -0.10    -0.11    -0.20     0.20     0.00   -56.11
   -15.00   100.00     0.00    -0.10    -0.11     0.56    -0.57   -14.41   -15.01     0.05    -0.01    -0.16    -0.15    -0.20     0.20   -53.87     0.00
   -15.00  -100.00     0.00    -0.12    -0.11     0.58    -0.57   -15.60   -15.01    -0.03    -0.01    -0.14    -0.15    -0.20     0.20    53.38     0.00
