
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.04     0.00    -0.02     0.00     0.19     0.00     0.49    -0.50     0.11     0.00    -0.21     0.20   -17.53     0.00
     0.00  -100.00     0.00     0.04     0.00     0.02     0.00    -0.20     0.00     0.51    -0.50    -0.11     0.00    -0.19     0.20    17.71     0.00
     0.00     0.00   100.00     0.00    -0.04     0.00     0.02     0.00     0.19     0.50    -0.49     0.00     0.11    -0.20     0.21     0.00   -17.53
     0.00     0.00  -100.00     0.00     0.04     0.00    -0.02     0.00    -0.20     0.50    -0.51     0.00    -0.11    -0.20     0.19     0.00    17.71
     5.00   100.00     0.00     0.00     0.04    -0.38     0.35     5.19     5.00     0.67    -0.68     0.16     0.05    -0.21     0.20   -17.50     0.00
     5.00  -100.00     0.00     0.07     0.04    -0.33     0.35     4.80     5.00     0.69    -0.68    -0.06     0.05    -0.20     0.20    17.68     0.00
     5.00     0.00   100.00     0.04     0.00    -0.35     0.38     5.00     5.19     0.68    -0.67     0.05     0.16    -0.20     0.21     0.00   -17.50
     5.00     0.00  -100.00     0.04     0.07    -0.35     0.33     5.00     4.80     0.68    -0.69     0.05    -0.06    -0.20     0.20     0.00    17.68
    10.00   100.00     0.00     0.04     0.07    -0.82     0.79    10.19    10.00     0.85    -0.86     0.21     0.10    -0.20     0.20   -17.46     0.00
    10.00  -100.00     0.00     0.11     0.07    -0.77     0.79     9.80    10.00     0.87    -0.86    -0.01     0.10    -0.20     0.20    17.65     0.00
    10.00     0.00   100.00     0.07     0.04    -0.79     0.82    10.00    10.19     0.86    -0.85     0.10     0.21    -0.20     0.20     0.00   -17.46
    10.00     0.00  -100.00     0.07     0.11    -0.79     0.77    10.00     9.80     0.86    -0.87     0.10    -0.01    -0.20     0.20     0.00    17.65
    15.00   100.00     0.00     0.07     0.11    -1.34     1.31    15.19    14.99     1.04    -1.05     0.26     0.15    -0.20     0.20   -17.43     0.00
    15.00  -100.00     0.00     0.15     0.11    -1.28     1.31    14.80    14.99     1.06    -1.05     0.04     0.15    -0.20     0.20    17.62     0.00
    15.00     0.00   100.00     0.11     0.07    -1.31     1.34    14.99    15.19     1.05    -1.04     0.15     0.26    -0.20     0.20     0.00   -17.43
    15.00     0.00  -100.00     0.11     0.15    -1.31     1.28    14.99    14.80     1.05    -1.06     0.15     0.04    -0.20     0.20     0.00    17.62
    20.00   100.00     0.00     0.11     0.15    -1.95     1.92    20.18    19.99     1.23    -1.24     0.31     0.20    -0.20     0.20   -17.40     0.00
    20.00  -100.00     0.00     0.19     0.15    -1.88     1.92    19.79    19.99     1.25    -1.24     0.09     0.20    -0.20     0.20    17.59     0.00
    20.00     0.00   100.00     0.15     0.11    -1.92     1.95    19.99    20.18     1.24    -1.23     0.20     0.31    -0.20     0.20     0.00   -17.40
    20.00     0.00  -100.00     0.15     0.19    -1.92     1.88    19.99    19.79     1.24    -1.25     0.20     0.09    -0.20     0.20     0.00    17.59
    25.00   100.00     0.00     0.14     0.18    -2.64     2.60    25.17    24.98     1.44    -1.45     0.36     0.25    -0.20     0.20   -17.36     0.00
    25.00  -100.00     0.00     0.22     0.18    -2.57     2.60    24.78    24.98     1.46    -1.45     0.15     0.25    -0.20     0.20    17.55     0.00
    25.00     0.00   100.00     0.18     0.14    -2.60     2.64    24.98    25.17     1.45    -1.44     0.25     0.36    -0.20     0.20     0.00   -17.36
    25.00     0.00  -100.00     0.18     0.22    -2.60     2.57    24.98    24.78     1.45    -1.46     0.25     0.15    -0.20     0.20     0.00    17.55
    30.00   100.00     0.00     0.18     0.22    -3.41     3.37    30.16    29.97     1.65    -1.66     0.41     0.31    -0.20     0.20   -17.33     0.00
    30.00  -100.00     0.00     0.26     0.22    -3.34     3.37    29.78    29.97     1.67    -1.66     0.20     0.31    -0.20     0.20    17.52     0.00
    30.00     0.00   100.00     0.22     0.18    -3.37     3.41    29.97    30.16     1.66    -1.65     0.31     0.41    -0.20     0.20     0.00   -17.33
    30.00     0.00  -100.00     0.22     0.26    -3.37     3.34    29.97    29.78     1.66    -1.67     0.31     0.20    -0.20     0.20     0.00    17.52
    -5.00   100.00     0.00    -0.07    -0.04     0.26    -0.27    -4.81    -5.00     0.32    -0.33     0.06    -0.05    -0.21     0.20   -17.56     0.00
