
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.5                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.05     0.00     0.01     0.00     0.00     0.00     0.50    -0.50    -0.01     0.00    -0.13     0.20     0.00     0.00
     0.00  -100.00     0.00     0.05     0.00    -0.01     0.00     0.00     0.00     0.50    -0.50     0.01     0.00    -0.27     0.20     0.01     0.00
     0.00     0.00   100.00     0.00     0.05     0.00     0.01     0.00     0.00     0.50    -0.50     0.00     0.01    -0.20     0.27     0.00     0.01
     0.00     0.00  -100.00     0.00    -0.05     0.00    -0.01     0.00     0.00     0.50    -0.50     0.00    -0.01    -0.20     0.13     0.00     0.00
     5.00   100.00     0.00    -0.01     0.04    -0.35     0.35     5.00     5.00     0.67    -0.68     0.05     0.05    -0.13     0.20    -0.06     0.00
     5.00  -100.00     0.00     0.08     0.04    -0.36     0.35     5.00     5.00     0.68    -0.68     0.05     0.05    -0.27     0.20     0.05     0.00
     5.00     0.00   100.00     0.04     0.08    -0.35     0.36     5.00     5.00     0.68    -0.68     0.05     0.05    -0.20     0.27     0.00     0.05
     5.00     0.00  -100.00     0.04    -0.01    -0.35     0.35     5.00     5.00     0.68    -0.67     0.05     0.05    -0.20     0.13     0.00    -0.06
    10.00   100.00     0.00     0.03     0.07    -0.79     0.79    10.00    10.00     0.86    -0.86     0.10     0.10    -0.13     0.20    -0.13     0.00
    10.00  -100.00     0.00     0.12     0.07    -0.80     0.79    10.00    10.00     0.86    -0.86     0.10     0.10    -0.27     0.20     0.09     0.00
    10.00     0.00   100.00     0.07     0.12    -0.79     0.80    10.00    10.00     0.86    -0.86     0.10     0.10    -0.20     0.27     0.00     0.09
    10.00     0.00  -100.00     0.07     0.03    -0.79     0.79    10.00    10.00     0.86    -0.86     0.10     0.10    -0.20     0.13     0.00    -0.13
    15.00   100.00     0.00     0.06     0.11    -1.31     1.31    15.00    14.99     1.05    -1.05     0.15     0.15    -0.13     0.20    -0.19     0.00
