
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Suspension Kinematics 2018                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.24     0.00     0.05     0.00    -0.40     0.00    -0.01     0.00    -0.02     0.00    -0.07     0.00    36.27     0.00
     0.00 -1000.00     0.00    -0.24     0.00    -0.05     0.00     0.40     0.00     0.01     0.00     0.02     0.00     0.08     0.00   -36.30     0.00
     0.00     0.00  1000.00     0.00     0.24     0.00    -0.05     0.00    -0.40     0.00     0.01     0.00    -0.02     0.00     0.07     0.00    36.27
     0.00     0.00 -1000.00     0.00    -0.24     0.00     0.05     0.00     0.40     0.00    -0.01     0.00     0.02     0.00    -0.08     0.00   -36.30
     5.00  1000.00     0.00     0.06    -0.18    -0.48     0.54     4.60     5.00     0.20    -0.21    -0.13    -0.11    -0.08     0.00    36.21     0.00
     5.00 -1000.00     0.00    -0.42    -0.18    -0.59     0.54     5.40     5.00     0.22    -0.21    -0.10    -0.11     0.08     0.00   -36.24     0.00
     5.00     0.00  1000.00    -0.18     0.06    -0.54     0.48     5.00     4.60     0.21    -0.20    -0.11    -0.13     0.00     0.08     0.00    36.21
     5.00     0.00 -1000.00    -0.18    -0.42    -0.54     0.59     5.00     5.40     0.21    -0.22    -0.11    -0.10     0.00    -0.08     0.00   -36.24
    10.00  1000.00     0.00    -0.12    -0.36    -1.08     1.14     9.59    10.00     0.41    -0.42    -0.24    -0.23    -0.08     0.00    36.14     0.00
    10.00 -1000.00     0.00    -0.61    -0.36    -1.20     1.14    10.40    10.00     0.43    -0.42    -0.21    -0.23     0.08     0.00   -36.17     0.00
    10.00     0.00  1000.00    -0.36    -0.12    -1.14     1.08    10.00     9.59     0.42    -0.41    -0.23    -0.24     0.00     0.08     0.00    36.14
    10.00     0.00 -1000.00    -0.36    -0.61    -1.14     1.20    10.00    10.40     0.42    -0.43    -0.23    -0.21     0.00    -0.08     0.00   -36.17
    15.00  1000.00     0.00    -0.30    -0.54    -1.74     1.81    14.59    14.99     0.63    -0.64    -0.36    -0.34    -0.08     0.00    36.07     0.00
    15.00 -1000.00     0.00    -0.79    -0.54    -1.88     1.81    15.39    14.99     0.65    -0.64    -0.33    -0.34     0.08     0.00   -36.11     0.00
    15.00     0.00  1000.00    -0.54    -0.30    -1.81     1.74    14.99    14.59     0.64    -0.63    -0.34    -0.36     0.00     0.08     0.00    36.07
    15.00     0.00 -1000.00    -0.54    -0.79    -1.81     1.88    14.99    15.39     0.64    -0.65    -0.34    -0.33     0.00    -0.08     0.00   -36.11
    20.00  1000.00     0.00    -0.48    -0.72    -2.47     2.55    19.58    19.98     0.85    -0.86    -0.47    -0.46    -0.08     0.00    36.00     0.00
    20.00 -1000.00     0.00    -0.97    -0.72    -2.62     2.55    20.38    19.98     0.87    -0.86    -0.44    -0.46     0.08     0.00   -36.04     0.00
    20.00     0.00  1000.00    -0.72    -0.48    -2.55     2.47    19.98    19.58     0.86    -0.85    -0.46    -0.47     0.00     0.08     0.00    36.00
    20.00     0.00 -1000.00    -0.72    -0.97    -2.55     2.62    19.98    20.38     0.86    -0.87    -0.46    -0.44     0.00    -0.08     0.00   -36.04
    25.00  1000.00     0.00    -0.66    -0.90    -3.27     3.35    24.57    24.97     1.08    -1.08    -0.58    -0.57    -0.08     0.00    35.93     0.00
    25.00 -1000.00     0.00    -1.15    -0.90    -3.43     3.35    25.37    24.97     1.09    -1.08    -0.55    -0.57     0.08     0.00   -35.97     0.00
