
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2018                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.40     0.00    -1.28     0.00    11.08     0.00     0.47     0.00    -0.25     0.00     0.00     0.00  -998.14     0.00
     0.00 -1000.00     0.00     0.40     0.00     0.96     0.00   -11.14     0.00    -0.45     0.00     0.26     0.00     0.00     0.00  1001.71     0.00
     0.00     0.00  1000.00     0.00    -0.40     0.00     1.28     0.00    11.08     0.00    -0.47     0.00    -0.25     0.00     0.00     0.00  -998.14
     0.00     0.00 -1000.00     0.00     0.40     0.00    -0.96     0.00   -11.14     0.00     0.45     0.00     0.26     0.00     0.00     0.00  1001.71
     5.00  1000.00     0.00    -0.58    -0.18    -1.96     0.54    16.07     5.00     0.69    -0.21    -0.36    -0.11     0.00     0.00  -997.25     0.00
     5.00 -1000.00     0.00     0.22    -0.18     0.57     0.54    -6.12     5.00    -0.25    -0.21     0.14    -0.11     0.00     0.00  1000.96     0.00
     5.00     0.00  1000.00    -0.18    -0.58    -0.54     1.96     5.00    16.07     0.21    -0.69    -0.11    -0.36     0.00     0.00     0.00  -997.25
     5.00     0.00 -1000.00    -0.18     0.22    -0.54    -0.57     5.00    -6.12     0.21     0.25    -0.11     0.14     0.00     0.00     0.00  1000.96
    10.00  1000.00     0.00    -0.76    -0.36    -2.71     1.14    21.05    10.00     0.91    -0.42    -0.48    -0.23     0.00     0.00  -996.33     0.00
    10.00 -1000.00     0.00     0.04    -0.36     0.11     1.14    -1.11    10.00    -0.05    -0.42     0.03    -0.23     0.00     0.00  1000.18     0.00
    10.00     0.00  1000.00    -0.36    -0.76    -1.14     2.71    10.00    21.05     0.42    -0.91    -0.23    -0.48     0.00     0.00     0.00  -996.33
    10.00     0.00 -1000.00    -0.36     0.04    -1.14    -0.11    10.00    -1.11     0.42     0.05    -0.23     0.03     0.00     0.00     0.00  1000.18
    15.00  1000.00     0.00    -0.94    -0.54    -3.53     1.81    26.02    14.99     1.13    -0.64    -0.59    -0.34     0.00     0.00  -995.36     0.00
    15.00 -1000.00     0.00    -0.14    -0.54    -0.41     1.81     3.90    14.99     0.16    -0.64    -0.09    -0.34     0.00     0.00   999.36     0.00
    15.00     0.00  1000.00    -0.54    -0.94    -1.81     3.53    14.99    26.02     0.64    -1.13    -0.34    -0.59     0.00     0.00     0.00  -995.36
    15.00     0.00 -1000.00    -0.54    -0.14    -1.81     0.41    14.99     3.90     0.64    -0.16    -0.34    -0.09     0.00     0.00     0.00   999.36
    20.00  1000.00     0.00    -1.12    -0.72    -4.41     2.55    31.00    19.98     1.36    -0.86    -0.70    -0.46     0.00     0.00  -994.35     0.00
    20.00 -1000.00     0.00    -0.32    -0.72    -1.00     2.55     8.90    19.98     0.38    -0.86    -0.20    -0.46     0.00     0.00   998.52     0.00
    20.00     0.00  1000.00    -0.72    -1.12    -2.55     4.41    19.98    31.00     0.86    -1.36    -0.46    -0.70     0.00     0.00     0.00  -994.35
    20.00     0.00 -1000.00    -0.72    -0.32    -2.55     1.00    19.98     8.90     0.86    -0.38    -0.46    -0.20     0.00     0.00     0.00   998.52
    25.00  1000.00     0.00    -1.30    -0.90    -5.35     3.35    35.97    24.97     1.59    -1.08    -0.82    -0.57     0.00     0.00  -993.30     0.00
    25.00 -1000.00     0.00    -0.50    -0.90    -1.66     3.35    13.91    24.97     0.59    -1.08    -0.32    -0.57     0.00     0.00   997.64     0.00
