
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics Design Position                             Suspension Kinematics 2018                          

  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00     0.00     0.00     6.37     0.00     0.00     0.00     0.00     0.00     0.00    65.70 ******** ********
     5.00     5.16     4.97     0.39     6.36    -0.34     4.82     0.34     0.19     0.15    56.78    60.83    35.35    33.01
    10.00    10.57     9.79     0.84     6.35    -1.35     9.26     1.31     0.78     0.53    59.31    55.77    18.00    15.61
    15.00    16.33    14.52     1.34     6.34    -3.03    13.43     2.90     1.81     1.09    62.45    50.47    12.22     9.78
    20.00    22.56    19.18     1.92     6.34    -5.38    17.46     5.10     3.38     1.72    66.31    44.80     9.33     6.87
    25.00    29.49    23.80     2.59     6.33    -8.38    21.50     7.99     5.68     2.31    71.14    38.58     7.59     5.15
    30.00    37.51    28.42     3.39     6.32   -12.00    25.78    11.74     9.09     2.65    77.46    31.47     6.44     4.04
     0.00     0.00     0.00     0.00     6.37     0.00     0.00     0.00     0.00     0.00     0.00    65.70 ******** ********
    -5.00    -4.97    -5.16    -0.35     6.37    -0.34    -4.82    -0.34    -0.19    -0.15    56.78    70.45    35.35    33.01
   -10.00    -9.79   -10.57    -0.65     6.38    -1.35    -9.26    -1.31    -0.78    -0.53    59.31    75.12    18.00    15.61
   -15.00   -14.52   -16.33    -0.92     6.39    -3.03   -13.43    -2.90    -1.81    -1.09    62.45    79.74    12.22     9.78
   -20.00   -19.18   -22.56    -1.15     6.40    -5.38   -17.46    -5.10    -3.38    -1.72    66.31    84.35     9.33     6.87
   -25.00   -23.80   -29.49    -1.35     6.41    -8.38   -21.50    -7.99    -5.68    -2.31    71.14    88.98     7.59     5.15
   -30.00   -28.42   -37.51    -1.51     6.42   -12.00   -25.78   -11.74    -9.09    -2.65    77.46    93.66     6.44     4.04
