
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Suspension Kinematics 2018                          

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.03     0.00     0.05     0.00    -0.44     0.00    -0.02     0.00     0.12     0.00     0.00     0.00    39.85     0.00
     0.00  -100.00     0.00     0.03     0.00    -0.05     0.00     0.44     0.00     0.02     0.00    -0.12     0.00     0.00     0.00   -39.79     0.00
     0.00     0.00   100.00     0.00    -0.03     0.00    -0.05     0.00    -0.44     0.00     0.02     0.00     0.12     0.00     0.00     0.00    39.85
     0.00     0.00  -100.00     0.00     0.03     0.00     0.05     0.00     0.44     0.00    -0.02     0.00    -0.12     0.00     0.00     0.00   -39.79
     5.00   100.00     0.00    -0.21    -0.18    -0.49     0.54     4.56     5.00     0.19    -0.21     0.00    -0.11     0.00     0.00    39.80     0.00
     5.00  -100.00     0.00    -0.15    -0.18    -0.59     0.54     5.44     5.00     0.23    -0.21    -0.23    -0.11     0.00     0.00   -39.73     0.00
     5.00     0.00   100.00    -0.18    -0.21    -0.54     0.49     5.00     4.56     0.21    -0.19    -0.11     0.00     0.00     0.00     0.00    39.80
     5.00     0.00  -100.00    -0.18    -0.15    -0.54     0.59     5.00     5.44     0.21    -0.23    -0.11    -0.23     0.00     0.00     0.00   -39.73
    10.00   100.00     0.00    -0.39    -0.36    -1.08     1.14     9.55    10.00     0.40    -0.42    -0.11    -0.23     0.00     0.00    39.74     0.00
    10.00  -100.00     0.00    -0.34    -0.36    -1.20     1.14    10.43    10.00     0.44    -0.42    -0.35    -0.23     0.00     0.00   -39.67     0.00
    10.00     0.00   100.00    -0.36    -0.39    -1.14     1.08    10.00     9.55     0.42    -0.40    -0.23    -0.11     0.00     0.00     0.00    39.74
    10.00     0.00  -100.00    -0.36    -0.34    -1.14     1.20    10.00    10.43     0.42    -0.44    -0.23    -0.35     0.00     0.00     0.00   -39.67
    15.00   100.00     0.00    -0.57    -0.54    -1.75     1.81    14.55    14.99     0.62    -0.64    -0.22    -0.34     0.00     0.00    39.68     0.00
    15.00  -100.00     0.00    -0.52    -0.54    -1.87     1.81    15.43    14.99     0.66    -0.64    -0.46    -0.34     0.00     0.00   -39.61     0.00
    15.00     0.00   100.00    -0.54    -0.57    -1.81     1.75    14.99    14.55     0.64    -0.62    -0.34    -0.22     0.00     0.00     0.00    39.67
    15.00     0.00  -100.00    -0.54    -0.52    -1.81     1.87    14.99    15.43     0.64    -0.66    -0.34    -0.46     0.00     0.00     0.00   -39.61
    20.00   100.00     0.00    -0.75    -0.72    -2.48     2.55    19.54    19.98     0.84    -0.86    -0.34    -0.46     0.00     0.00    39.61     0.00
    20.00  -100.00     0.00    -0.70    -0.72    -2.62     2.55    20.42    19.98     0.88    -0.86    -0.57    -0.46     0.00     0.00   -39.54     0.00
    20.00     0.00   100.00    -0.72    -0.75    -2.55     2.48    19.98    19.54     0.86    -0.84    -0.46    -0.34     0.00     0.00     0.00    39.61
    20.00     0.00  -100.00    -0.72    -0.70    -2.55     2.62    19.98    20.42     0.86    -0.88    -0.46    -0.57     0.00     0.00     0.00   -39.54
    25.00   100.00     0.00    -0.93    -0.90    -3.27     3.35    24.53    24.97     1.06    -1.08    -0.45    -0.57     0.00     0.00    39.54     0.00
    25.00  -100.00     0.00    -0.88    -0.90    -3.42     3.35    25.40    24.97     1.11    -1.08    -0.69    -0.57     0.00     0.00   -39.47     0.00
    25.00     0.00   100.00    -0.90    -0.93    -3.35     3.27    24.97    24.53     1.08    -1.06    -0.57    -0.45     0.00     0.00     0.00    39.54
    25.00     0.00  -100.00    -0.90    -0.88    -3.35     3.42    24.97    25.40     1.08    -1.11    -0.57    -0.69     0.00     0.00     0.00   -39.47
    30.00   100.00     0.00    -1.11    -1.08    -4.14     4.22    29.52    29.95     1.29    -1.31    -0.56    -0.68     0.00     0.00    39.47     0.00
    30.00  -100.00     0.00    -1.06    -1.08    -4.30     4.22    30.39    29.95     1.34    -1.31    -0.80    -0.68     0.00     0.00   -39.40     0.00
    30.00     0.00   100.00    -1.08    -1.11    -4.22     4.14    29.95    29.52     1.31    -1.29    -0.68    -0.56     0.00     0.00     0.00    39.47
    30.00     0.00  -100.00    -1.08    -1.06    -4.22     4.30    29.95    30.39     1.31    -1.34    -0.68    -0.80     0.00     0.00     0.00   -39.40
    -5.00   100.00     0.00     0.15     0.18     0.51    -0.47    -5.45    -5.00    -0.23     0.21     0.23     0.11     0.00     0.00    39.91     0.00
    -5.00  -100.00     0.00     0.21     0.18     0.43    -0.47    -4.56    -5.00    -0.18     0.21     0.00     0.11     0.00     0.00   -39.85     0.00
    -5.00     0.00   100.00     0.18     0.15     0.47    -0.51    -5.00    -5.45    -0.21     0.23     0.11     0.23     0.00     0.00     0.00    39.91
    -5.00     0.00  -100.00     0.18     0.21     0.47    -0.43    -5.00    -4.56    -0.21     0.18     0.11     0.00     0.00     0.00     0.00   -39.85
   -10.00   100.00     0.00     0.34     0.36     0.91    -0.88   -10.45   -10.00    -0.43     0.41     0.35     0.23     0.00     0.00    39.96     0.00
   -10.00  -100.00     0.00     0.39     0.36     0.84    -0.88    -9.56   -10.00    -0.39     0.41     0.11     0.23     0.00     0.00   -39.90     0.00
   -10.00     0.00   100.00     0.36     0.34     0.88    -0.91   -10.00   -10.45    -0.41     0.43     0.23     0.35     0.00     0.00     0.00    39.96
   -10.00     0.00  -100.00     0.36     0.39     0.88    -0.84   -10.00    -9.56    -0.41     0.39     0.23     0.11     0.00     0.00     0.00   -39.90
   -15.00   100.00     0.00     0.52     0.55     1.25    -1.22   -15.46   -15.01    -0.63     0.61     0.46     0.34     0.00     0.00    40.01     0.00
   -15.00  -100.00     0.00     0.57     0.55     1.19    -1.22   -14.56   -15.01    -0.58     0.61     0.22     0.34     0.00     0.00   -39.95     0.00
   -15.00     0.00   100.00     0.55     0.52     1.22    -1.25   -15.01   -15.46    -0.61     0.63     0.34     0.46     0.00     0.00     0.00    40.01
   -15.00     0.00  -100.00     0.55     0.57     1.22    -1.19   -15.01   -14.56    -0.61     0.58     0.34     0.22     0.00     0.00     0.00   -39.95
   -20.00   100.00     0.00     0.70     0.73     1.52    -1.50   -20.47   -20.02    -0.82     0.80     0.58     0.46     0.00     0.00    40.05     0.00
   -20.00  -100.00     0.00     0.76     0.73     1.47    -1.50   -19.57   -20.02    -0.78     0.80     0.34     0.46     0.00     0.00   -40.00     0.00
   -20.00     0.00   100.00     0.73     0.70     1.50    -1.52   -20.02   -20.47    -0.80     0.82     0.46     0.58     0.00     0.00     0.00    40.05
