
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Suspension Kinematics 2018                          

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.13     0.00    -0.01     0.00     0.00     0.00    -0.04     0.00     0.00     0.00     0.25     0.00    -0.12     0.00
     0.00  -100.00     0.00     0.13     0.00     0.01     0.00     0.00     0.00     0.04     0.00     0.00     0.00    -0.25     0.00    -0.03     0.00
     0.00     0.00   100.00     0.00     0.13     0.00    -0.01     0.00     0.00     0.00    -0.04     0.00     0.00     0.00     0.25     0.00    -0.03
     0.00     0.00  -100.00     0.00    -0.13     0.00     0.01     0.00     0.00     0.00     0.04     0.00     0.00     0.00    -0.25     0.00    -0.12
     5.00   100.00     0.00    -0.31    -0.18    -0.55     0.54     5.00     5.00     0.17    -0.21    -0.11    -0.11     0.25     0.00     0.06     0.00
     5.00  -100.00     0.00    -0.05    -0.18    -0.53     0.54     5.00     5.00     0.25    -0.21    -0.11    -0.11    -0.25     0.00    -0.23     0.00
     5.00     0.00   100.00    -0.18    -0.05    -0.54     0.53     5.00     5.00     0.21    -0.25    -0.11    -0.11     0.00     0.25     0.00    -0.23
     5.00     0.00  -100.00    -0.18    -0.31    -0.54     0.55     5.00     5.00     0.21    -0.17    -0.11    -0.11     0.00    -0.25     0.00     0.06
    10.00   100.00     0.00    -0.49    -0.36    -1.15     1.14     9.99    10.00     0.38    -0.42    -0.23    -0.23     0.25     0.00     0.24     0.00
    10.00  -100.00     0.00    -0.23    -0.36    -1.13     1.14    10.00    10.00     0.46    -0.42    -0.23    -0.23    -0.25     0.00    -0.43     0.00
    10.00     0.00   100.00    -0.36    -0.23    -1.14     1.13    10.00    10.00     0.42    -0.46    -0.23    -0.23     0.00     0.25     0.00    -0.43
    10.00     0.00  -100.00    -0.36    -0.49    -1.14     1.15    10.00     9.99     0.42    -0.38    -0.23    -0.23     0.00    -0.25     0.00     0.24
    15.00   100.00     0.00    -0.68    -0.54    -1.82     1.81    14.99    14.99     0.60    -0.64    -0.34    -0.34     0.25     0.00     0.42     0.00
    15.00  -100.00     0.00    -0.41    -0.54    -1.80     1.81    14.99    14.99     0.68    -0.64    -0.34    -0.34    -0.25     0.00    -0.64     0.00
    15.00     0.00   100.00    -0.54    -0.41    -1.81     1.80    14.99    14.99     0.64    -0.68    -0.34    -0.34     0.00     0.25     0.00    -0.64
    15.00     0.00  -100.00    -0.54    -0.68    -1.81     1.82    14.99    14.99     0.64    -0.60    -0.34    -0.34     0.00    -0.25     0.00     0.42
    20.00   100.00     0.00    -0.86    -0.72    -2.56     2.55    19.97    19.98     0.82    -0.86    -0.45    -0.46     0.25     0.00     0.61     0.00
    20.00  -100.00     0.00    -0.59    -0.72    -2.54     2.55    19.99    19.98     0.90    -0.86    -0.46    -0.46    -0.25     0.00    -0.84     0.00
    20.00     0.00   100.00    -0.72    -0.59    -2.55     2.54    19.98    19.99     0.86    -0.90    -0.46    -0.46     0.00     0.25     0.00    -0.84
    20.00     0.00  -100.00    -0.72    -0.86    -2.55     2.56    19.98    19.97     0.86    -0.82    -0.46    -0.45     0.00    -0.25     0.00     0.61
    25.00   100.00     0.00    -1.04    -0.90    -3.36     3.35    24.96    24.97     1.05    -1.08    -0.57    -0.57     0.25     0.00     0.79     0.00
    25.00  -100.00     0.00    -0.77    -0.90    -3.34     3.35    24.98    24.97     1.12    -1.08    -0.57    -0.57    -0.25     0.00    -1.04     0.00
    25.00     0.00   100.00    -0.90    -0.77    -3.35     3.34    24.97    24.98     1.08    -1.12    -0.57    -0.57     0.00     0.25     0.00    -1.04
    25.00     0.00  -100.00    -0.90    -1.04    -3.35     3.36    24.97    24.96     1.08    -1.05    -0.57    -0.57     0.00    -0.25     0.00     0.79
