
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2018                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.05     0.00     0.13     0.00    -1.09     0.00    -0.05     0.00     0.03     0.00    -0.01     0.00    98.14     0.00
     0.00 -1000.00     0.00    -0.05     0.00    -0.14     0.00     1.16     0.00     0.05     0.00    -0.03     0.00     0.01     0.00  -104.03     0.00
     0.00     0.00  1000.00     0.00    -0.05     0.00     0.14     0.00     1.16     0.00    -0.05     0.00    -0.03     0.00    -0.01     0.00  -104.03
     0.00     0.00 -1000.00     0.00     0.05     0.00    -0.13     0.00    -1.09     0.00     0.05     0.00     0.03     0.00     0.01     0.00    98.14
     5.00  1000.00     0.00    -0.13    -0.18    -0.38     0.54     3.77     5.00     0.16    -0.21    -0.08    -0.11    -0.01     0.00   110.86     0.00
     5.00 -1000.00     0.00    -0.24    -0.18    -0.71     0.54     6.30     5.00     0.27    -0.21    -0.14    -0.11     0.01     0.00  -117.52     0.00
     5.00     0.00  1000.00    -0.18    -0.24    -0.54     0.71     5.00     6.30     0.21    -0.27    -0.11    -0.14     0.00    -0.01     0.00  -117.52
     5.00     0.00 -1000.00    -0.18    -0.13    -0.54     0.38     5.00     3.77     0.21    -0.16    -0.11    -0.08     0.00     0.01     0.00   110.86
    10.00  1000.00     0.00    -0.30    -0.36    -0.95     1.14     8.62    10.00     0.36    -0.42    -0.20    -0.23    -0.01     0.00   123.59     0.00
    10.00 -1000.00     0.00    -0.43    -0.36    -1.35     1.14    11.45    10.00     0.49    -0.42    -0.26    -0.23     0.01     0.00  -131.03     0.00
    10.00     0.00  1000.00    -0.36    -0.43    -1.14     1.35    10.00    11.45     0.42    -0.49    -0.23    -0.26     0.00    -0.01     0.00  -131.03
    10.00     0.00 -1000.00    -0.36    -0.30    -1.14     0.95    10.00     8.62     0.42    -0.36    -0.23    -0.20     0.00     0.01     0.00   123.59
    15.00  1000.00     0.00    -0.48    -0.54    -1.58     1.81    13.48    14.99     0.57    -0.64    -0.31    -0.34    -0.01     0.00   136.35     0.00
    15.00 -1000.00     0.00    -0.61    -0.54    -2.06     1.81    16.59    14.99     0.71    -0.64    -0.38    -0.34     0.01     0.00  -144.58     0.00
    15.00     0.00  1000.00    -0.54    -0.61    -1.81     2.06    14.99    16.59     0.64    -0.71    -0.34    -0.38     0.00    -0.01     0.00  -144.58
    15.00     0.00 -1000.00    -0.54    -0.48    -1.81     1.58    14.99    13.48     0.64    -0.57    -0.34    -0.31     0.00     0.01     0.00   136.35
    20.00  1000.00     0.00    -0.65    -0.72    -2.27     2.55    18.33    19.98     0.78    -0.86    -0.42    -0.46    -0.01     0.00   149.14     0.00
    20.00 -1000.00     0.00    -0.80    -0.72    -2.84     2.55    21.73    19.98     0.94    -0.86    -0.50    -0.46     0.01     0.00  -158.16     0.00
    20.00     0.00  1000.00    -0.72    -0.80    -2.55     2.84    19.98    21.73     0.86    -0.94    -0.46    -0.50     0.00    -0.01     0.00  -158.16
    20.00     0.00 -1000.00    -0.72    -0.65    -2.55     2.27    19.98    18.33     0.86    -0.78    -0.46    -0.42     0.00     0.01     0.00   149.14
    25.00  1000.00     0.00    -0.83    -0.90    -3.03     3.35    23.17    24.97     1.00    -1.08    -0.53    -0.57    -0.01     0.00   161.96     0.00
    25.00 -1000.00     0.00    -0.98    -0.90    -3.69     3.35    26.87    24.97     1.17    -1.08    -0.61    -0.57     0.01     0.00  -171.80     0.00
