
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Suspension Kinematics 2018                          

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00     0.00     0.00     0.00     0.00    41.78    41.78    -8.14    26.93     6.37     4.00     9.15     4.23
     5.00     0.00    -0.21     0.64     0.18     0.00    40.81    35.81    -8.69    26.39     6.37     4.21     9.62     4.34
    10.00     0.00    -0.42     1.18     0.36     0.00    39.86    29.85    -9.27    25.83     6.37     4.42    10.08     4.46
    15.00     0.01    -0.64     1.62     0.54     0.00    38.92    23.91    -9.86    25.25     6.37     4.64    10.55     4.57
    20.00     0.03    -0.86     1.96     0.72     0.00    37.99    17.98   -10.48    24.65     6.37     4.86    11.02     4.69
    25.00     0.06    -1.08     2.20     0.90     0.00    37.08    12.06   -11.13    24.02     6.37     5.09    11.48     4.80
    30.00     0.09    -1.31     2.34     1.08     0.00    36.19     6.16   -11.80    23.36     6.37     5.32    11.94     4.92
     0.00     0.00     0.00     0.00     0.00     0.00    41.78    41.78    -8.14    26.93     6.37     4.00     9.15     4.23
    -5.00     0.01     0.21    -0.74    -0.18     0.00    42.77    47.77    -7.61    27.45     6.36     3.80     8.68     4.11
   -10.00     0.03     0.41    -1.58    -0.36     0.00    43.77    53.77    -7.10    27.94     6.36     3.59     8.21     4.00
   -15.00     0.06     0.61    -2.52    -0.55     0.00    44.78    59.78    -6.60    28.42     6.36     3.39     7.74     3.88
   -20.00     0.09     0.80    -3.57    -0.73     0.00    45.81    65.80    -6.13    28.88     6.36     3.20     7.28     3.77
   -25.00     0.13     0.99    -4.71    -0.91     0.00    46.86    71.84    -5.67    29.33     6.36     3.01     6.81     3.65
   -30.00     0.18     1.18    -5.96    -1.09     0.00    47.92    77.89    -5.22    29.76     6.36     2.82     6.33     3.54
