
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Suspension Kinematics 2018                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    41.78    41.78     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     5.00     7.51    41.26    38.76     0.00     0.00     0.00    -0.21    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    16.14    40.66    35.66     0.00     0.00     0.00    -0.42    -0.48     0.00    10.00     0.00     0.00
     0.00    15.00    26.19    39.96    32.46     0.00     0.01     0.00    -0.64    -0.72     0.00    14.99     0.00     0.00
     0.00    20.00    38.08    39.13    29.12     0.00     0.03     0.00    -0.86    -0.95     0.00    19.98     0.00     0.00
     0.00    25.00    52.39    38.13    25.62     0.00     0.06     0.00    -1.08    -1.19     0.00    24.97     0.00     0.00
     0.00    30.00    70.02    36.91    21.89     0.00     0.09     0.00    -1.31    -1.43     0.00    29.95     0.00     0.00
     0.00     0.00     0.00    41.78    41.78     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00    -6.60    42.24    44.74     0.00     0.01     0.00     0.21     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -12.46    42.65    47.65     0.00     0.03     0.00     0.41     0.48     0.00   -10.00     0.00     0.00
     0.00   -15.00   -17.71    43.02    50.51     0.00     0.06     0.00     0.61     0.72     0.00   -15.01     0.00     0.00
     0.00   -20.00   -22.44    43.35    53.34     0.00     0.09     0.00     0.80     0.96     0.00   -20.02     0.00     0.00
     0.00   -25.00   -26.74    43.65    56.14     0.00     0.13     0.00     0.99     1.19     0.00   -25.03     0.00     0.00
     0.00   -30.00   -30.67    43.92    58.91     0.00     0.18     0.00     1.18     1.43     0.00   -30.04     0.00     0.00
     5.00     0.00    -7.51    41.26    38.76     0.00     0.00    -0.21     0.00     0.24     5.00     0.00     0.00     0.00
     5.00     5.00     0.00    40.81    35.81     0.00     0.00    -0.21    -0.21     0.00     5.00     5.00     0.00     0.00
     5.00    10.00     8.74    40.29    32.79     0.00     0.00    -0.21    -0.42    -0.24     5.00    10.00     0.00     0.00
     5.00    15.00    19.06    39.68    29.67     0.00     0.01    -0.21    -0.64    -0.48     5.00    14.99     0.00     0.00
     5.00    20.00    31.49    38.93    26.43     0.00     0.03    -0.21    -0.86    -0.72     5.00    19.98     0.00     0.00
     5.00    25.00    46.78    38.02    23.01     0.00     0.06    -0.21    -1.08    -0.95     5.00    24.97     0.00     0.00
     5.00    30.00    66.14    36.87    19.35     0.00     0.09    -0.21    -1.31    -1.19     5.00    29.95     0.00     0.00
     5.00     0.00    -7.51    41.26    38.76     0.00     0.00    -0.21     0.00     0.24     5.00     0.00     0.00     0.00
     5.00    -5.00   -14.04    41.65    41.65     0.00     0.01    -0.21     0.21     0.48     5.00    -5.00     0.00     0.00
     5.00   -10.00   -19.79    41.99    44.49     0.00     0.03    -0.21     0.41     0.72     5.00   -10.00     0.00     0.00
