
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Suspension Kinematics 2018                          

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.01     0.00    -0.08     0.00     0.81     0.00     0.05     0.00    -0.02     0.00    -0.04     0.00   -72.53     0.00
     0.00  -100.00     0.00     0.01     0.00     0.08     0.00    -0.80     0.00    -0.05     0.00     0.02     0.00     0.04     0.00    72.12     0.00
     0.00     0.00   100.00     0.00     0.01     0.00    -0.08     0.00    -0.80     0.00     0.05     0.00     0.02     0.00    -0.04     0.00    72.12
     0.00     0.00  -100.00     0.00    -0.01     0.00     0.08     0.00     0.81     0.00    -0.05     0.00    -0.02     0.00     0.04     0.00   -72.53
     5.00   100.00     0.00    -0.20    -0.18    -0.63     0.54     5.82     5.00     0.26    -0.21    -0.13    -0.11    -0.04     0.00   -73.83     0.00
     5.00  -100.00     0.00    -0.17    -0.18    -0.44     0.54     4.18     5.00     0.16    -0.21    -0.09    -0.11     0.04     0.00    73.41     0.00
     5.00     0.00   100.00    -0.18    -0.17    -0.54     0.44     5.00     4.18     0.21    -0.16    -0.11    -0.09     0.00    -0.04     0.00    73.41
     5.00     0.00  -100.00    -0.18    -0.20    -0.54     0.63     5.00     5.82     0.21    -0.26    -0.11    -0.13     0.00     0.04     0.00   -73.83
    10.00   100.00     0.00    -0.38    -0.36    -1.25     1.14    10.83    10.00     0.48    -0.42    -0.25    -0.23    -0.04     0.00   -75.16     0.00
    10.00  -100.00     0.00    -0.35    -0.36    -1.03     1.14     9.17    10.00     0.37    -0.42    -0.21    -0.23     0.04     0.00    74.72     0.00
    10.00     0.00   100.00    -0.36    -0.35    -1.14     1.03    10.00     9.17     0.42    -0.37    -0.23    -0.21     0.00    -0.04     0.00    74.72
    10.00     0.00  -100.00    -0.36    -0.38    -1.14     1.25    10.00    10.83     0.42    -0.48    -0.23    -0.25     0.00     0.04     0.00   -75.16
    15.00   100.00     0.00    -0.56    -0.54    -1.93     1.81    15.84    14.99     0.69    -0.64    -0.36    -0.34    -0.04     0.00   -76.53     0.00
    15.00  -100.00     0.00    -0.53    -0.54    -1.69     1.81    14.15    14.99     0.58    -0.64    -0.32    -0.34     0.04     0.00    76.07     0.00
    15.00     0.00   100.00    -0.54    -0.53    -1.81     1.69    14.99    14.15     0.64    -0.58    -0.34    -0.32     0.00    -0.04     0.00    76.07
