
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.41     0.00    -1.68     0.00    11.07     0.00     0.61     0.00     0.19     0.00     0.00     0.00  -997.29     0.00
     0.00 -1000.00     0.00    -0.37     0.00     1.32     0.00   -11.15     0.00    -0.59     0.00    -0.19     0.00     0.00     0.00  1002.45     0.00
     0.00     0.00  1000.00     0.00     0.41     0.00     1.68     0.00    11.07     0.00    -0.61     0.00     0.19     0.00     0.00     0.00  -997.29
     0.00     0.00 -1000.00     0.00    -0.37     0.00    -1.32     0.00   -11.15     0.00     0.59     0.00    -0.19     0.00     0.00     0.00  1002.45
     5.00  1000.00     0.00     0.61     0.18    -2.55     0.71    16.05     5.00     0.90    -0.27     0.27     0.09     0.00     0.00  -995.97     0.00
     5.00 -1000.00     0.00    -0.21     0.18     0.77     0.71    -6.13     5.00    -0.33    -0.27    -0.11     0.09     0.00     0.00  1001.38     0.00
     5.00     0.00  1000.00     0.18     0.61    -0.71     2.55     5.00    16.05     0.27    -0.90     0.09     0.27     0.00     0.00     0.00  -995.97
     5.00     0.00 -1000.00     0.18    -0.21    -0.71    -0.77     5.00    -6.13     0.27     0.33     0.09    -0.11     0.00     0.00     0.00  1001.38
    10.00  1000.00     0.00     0.82     0.37    -3.50     1.50    21.02     9.99     1.19    -0.55     0.36     0.17     0.00     0.00  -994.58     0.00
    10.00 -1000.00     0.00    -0.04     0.37     0.15     1.50    -1.11     9.99    -0.06    -0.55    -0.02     0.17     0.00     0.00  1000.26     0.00
    10.00     0.00  1000.00     0.37     0.82    -1.50     3.50     9.99    21.02     0.55    -1.19     0.17     0.36     0.00     0.00     0.00  -994.58
    10.00     0.00 -1000.00     0.37    -0.04    -1.50    -0.15     9.99    -1.11     0.55     0.06     0.17    -0.02     0.00     0.00     0.00  1000.26
    15.00  1000.00     0.00     1.04     0.57    -4.53     2.36    25.98    14.98     1.49    -0.84     0.44     0.25     0.00     0.00  -993.12     0.00
    15.00 -1000.00     0.00     0.14     0.57    -0.55     2.36     3.90    14.98     0.21    -0.84     0.07     0.25     0.00     0.00   999.08     0.00
    15.00     0.00  1000.00     0.57     1.04    -2.36     4.53    14.98    25.98     0.84    -1.49     0.25     0.44     0.00     0.00     0.00  -993.12
    15.00     0.00 -1000.00     0.57     0.14    -2.36     0.55    14.98     3.90     0.84    -0.21     0.25     0.07     0.00     0.00     0.00   999.08
    20.00  1000.00     0.00     1.27     0.78    -5.63     3.30    30.94    19.97     1.79    -1.13     0.52     0.34     0.00     0.00  -991.59     0.00
    20.00 -1000.00     0.00     0.33     0.78    -1.32     3.30     8.91    19.97     0.49    -1.13     0.15     0.34     0.00     0.00   997.84     0.00
    20.00     0.00  1000.00     0.78     1.27    -3.30     5.63    19.97    30.94     1.13    -1.79     0.34     0.52     0.00     0.00     0.00  -991.59
    20.00     0.00 -1000.00     0.78     0.33    -3.30     1.32    19.97     8.91     1.13    -0.49     0.34     0.15     0.00     0.00     0.00   997.84
    25.00  1000.00     0.00     1.50     0.99    -6.81     4.31    35.90    24.95     2.10    -1.42     0.60     0.42     0.00     0.00  -989.97     0.00
    25.00 -1000.00     0.00     0.52     0.99    -2.17     4.31    13.91    24.95     0.78    -1.42     0.24     0.42     0.00     0.00   996.54     0.00
    25.00     0.00  1000.00     0.99     1.50    -4.31     6.81    24.95    35.90     1.42    -2.10     0.42     0.60     0.00     0.00     0.00  -989.97
