
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Suspension Kinematics 2017                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    51.78    51.78     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
     0.00     5.00     7.74    51.10    48.60     0.00     0.00     0.00    -0.27    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    16.36    50.34    45.34     0.00     0.00     0.00    -0.55    -0.49     0.00     9.99     0.00     0.00
     0.00    15.00    26.05    49.49    41.99     0.00    -0.01     0.00    -0.84    -0.73     0.00    14.98     0.00     0.00
     0.00    20.00    37.05    48.53    38.52     0.00    -0.02     0.00    -1.13    -0.97     0.00    19.97     0.00     0.00
     0.00    25.00    49.67    47.42    34.90     0.00    -0.03     0.00    -1.42    -1.21     0.00    24.95     0.00     0.00
     0.00    30.00    64.35    46.13    31.11     0.00    -0.03     0.00    -1.73    -1.46     0.00    29.93     0.00     0.00
     0.00     0.00     0.00    51.78    51.78     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00    -7.00    52.39    54.89     0.00    -0.01     0.00     0.27     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -13.37    52.95    57.95     0.00    -0.03     0.00     0.53     0.49     0.00   -10.01     0.00     0.00
     0.00   -15.00   -19.21    53.47    60.96     0.00    -0.05     0.00     0.79     0.73     0.00   -15.01     0.00     0.00
     0.00   -20.00   -24.59    53.94    63.93     0.00    -0.10     0.00     1.05     0.97     0.00   -20.03     0.00     0.00
     0.00   -25.00   -29.56    54.37    66.86     0.00    -0.15     0.00     1.30     1.22     0.00   -25.04     0.00     0.00
     0.00   -30.00   -34.18    54.78    69.76     0.00    -0.23     0.00     1.54     1.46     0.00   -30.06     0.00     0.00
     5.00     0.00    -7.74    51.10    48.60     0.00     0.00    -0.27     0.00     0.24     5.00     0.00     0.00     0.00
     5.00     5.00     0.00    50.50    45.50     0.00     0.00    -0.27    -0.27     0.00     5.00     5.00     0.00     0.00
     5.00    10.00     8.69    49.83    42.33     0.00     0.00    -0.27    -0.55    -0.24     5.00     9.99     0.00     0.00
     5.00    15.00    18.55    49.07    39.07     0.00    -0.01    -0.27    -0.84    -0.49     5.00    14.98     0.00     0.00
     5.00    20.00    29.87    48.20    35.69     0.00    -0.02    -0.27    -1.13    -0.73     5.00    19.97     0.00     0.00
     5.00    25.00    43.02    47.19    32.17     0.00    -0.03    -0.27    -1.42    -0.97     5.00    24.95     0.00     0.00
     5.00    30.00    58.56    45.99    28.47     0.00    -0.03    -0.27    -1.73    -1.21     5.00    29.93     0.00     0.00
     5.00     0.00    -7.74    51.10    48.60     0.00     0.00    -0.27     0.00     0.24     5.00     0.00     0.00     0.00
     5.00    -5.00   -14.69    51.64    51.64     0.00    -0.01    -0.27     0.27     0.49     5.00    -5.00     0.00     0.00
     5.00   -10.00   -20.98    52.12    54.62     0.00    -0.03    -0.27     0.53     0.73     5.00   -10.01     0.00     0.00
     5.00   -15.00   -26.72    52.56    57.56     0.00    -0.05    -0.27     0.79     0.97     5.00   -15.01     0.00     0.00
     5.00   -20.00   -31.97    52.97    60.46     0.00    -0.10    -0.27     1.05     1.21     5.00   -20.03     0.00     0.00
     5.00   -25.00   -36.82    53.34    63.33     0.00    -0.15    -0.27     1.30     1.46     5.00   -25.04     0.00     0.00
     5.00   -30.00   -41.30    53.69    66.17     0.00    -0.23    -0.27     1.54     1.70     5.00   -30.06     0.00     0.00
    10.00     0.00   -16.36    50.34    45.34     0.00     0.00    -0.55     0.00     0.49     9.99     0.00     0.00     0.00
    10.00     5.00    -8.69    49.83    42.33     0.00     0.00    -0.55    -0.27     0.24     9.99     5.00     0.00     0.00
    10.00    10.00     0.00    49.26    39.25     0.00     0.00    -0.55    -0.55     0.00     9.99     9.99     0.00     0.00
    10.00    15.00     9.97    48.59    36.09     0.00    -0.01    -0.55    -0.84    -0.24     9.99    14.98     0.00     0.00
    10.00    20.00    21.55    47.82    32.81     0.00    -0.02    -0.55    -1.13    -0.49     9.99    19.97     0.00     0.00
    10.00    25.00    35.22    46.92    29.40     0.00    -0.03    -0.55    -1.42    -0.73     9.99    24.95     0.00     0.00
    10.00    30.00    51.69    45.82    25.80     0.00    -0.03    -0.55    -1.73    -0.97     9.99    29.93     0.00     0.00
    10.00     0.00   -16.36    50.34    45.34     0.00     0.00    -0.55     0.00     0.49     9.99     0.00     0.00     0.00
    10.00    -5.00   -23.20    50.80    48.29     0.00    -0.01    -0.55     0.27     0.73     9.99    -5.00     0.00     0.00
