
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.03     0.00    -0.14     0.00     1.06     0.00     0.07     0.00     0.00     0.00     0.00     0.00   -95.10     0.00
     0.00  -100.00     0.00    -0.03     0.00     0.14     0.00    -1.05     0.00    -0.07     0.00     0.00     0.00     0.00     0.00    94.39     0.00
     0.00     0.00   100.00     0.00    -0.03     0.00    -0.14     0.00    -1.05     0.00     0.07     0.00     0.00     0.00     0.00     0.00    94.39
     0.00     0.00  -100.00     0.00     0.03     0.00     0.14     0.00     1.06     0.00    -0.07     0.00     0.00     0.00     0.00     0.00   -95.10
     5.00   100.00     0.00     0.22     0.18    -0.88     0.71     6.07     5.00     0.35    -0.27     0.09     0.09     0.00     0.00   -96.89     0.00
     5.00  -100.00     0.00     0.15     0.18    -0.55     0.71     3.93     5.00     0.20    -0.27     0.08     0.09     0.00     0.00    96.15     0.00
     5.00     0.00   100.00     0.18     0.15    -0.71     0.55     5.00     3.93     0.27    -0.20     0.09     0.08     0.00     0.00     0.00    96.15
     5.00     0.00  -100.00     0.18     0.22    -0.71     0.88     5.00     6.07     0.27    -0.35     0.09     0.09     0.00     0.00     0.00   -96.89
    10.00   100.00     0.00     0.41     0.37    -1.68     1.50    11.09     9.99     0.63    -0.55     0.18     0.17     0.00     0.00   -98.72     0.00
    10.00  -100.00     0.00     0.33     0.37    -1.32     1.50     8.91     9.99     0.48    -0.55     0.17     0.17     0.00     0.00    97.94     0.00
    10.00     0.00   100.00     0.37     0.33    -1.50     1.32     9.99     8.91     0.55    -0.48     0.17     0.17     0.00     0.00     0.00    97.94
    10.00     0.00  -100.00     0.37     0.41    -1.50     1.68     9.99    11.09     0.55    -0.63     0.17     0.18     0.00     0.00     0.00   -98.72
    15.00   100.00     0.00     0.61     0.57    -2.56     2.36    16.10    14.98     0.92    -0.84     0.26     0.25     0.00     0.00  -100.59     0.00
    15.00  -100.00     0.00     0.53     0.57    -2.16     2.36    13.88    14.98     0.76    -0.84     0.25     0.25     0.00     0.00    99.78     0.00
    15.00     0.00   100.00     0.57     0.53    -2.36     2.16    14.98    13.88     0.84    -0.76     0.25     0.25     0.00     0.00     0.00    99.78
    15.00     0.00  -100.00     0.57     0.61    -2.36     2.56    14.98    16.10     0.84    -0.92     0.25     0.26     0.00     0.00     0.00  -100.59
    20.00   100.00     0.00     0.82     0.78    -3.52     3.30    21.11    19.97     1.21    -1.13     0.34     0.34     0.00     0.00  -102.52     0.00
    20.00  -100.00     0.00     0.73     0.78    -3.08     3.30    18.84    19.97     1.05    -1.13     0.33     0.34     0.00     0.00   101.66     0.00
    20.00     0.00   100.00     0.78     0.73    -3.30     3.08    19.97    18.84     1.13    -1.05     0.34     0.33     0.00     0.00     0.00   101.66
    20.00     0.00  -100.00     0.78     0.82    -3.30     3.52    19.97    21.11     1.13    -1.21     0.34     0.34     0.00     0.00     0.00  -102.52
    25.00   100.00     0.00     1.04     0.99    -4.56     4.31    26.11    24.95     1.51    -1.42     0.43     0.42     0.00     0.00  -104.49     0.00
    25.00  -100.00     0.00     0.95     0.99    -4.07     4.31    23.81    24.95     1.34    -1.42     0.42     0.42     0.00     0.00   103.60     0.00
    25.00     0.00   100.00     0.99     0.95    -4.31     4.07    24.95    23.81     1.42    -1.34     0.42     0.42     0.00     0.00     0.00   103.60
    25.00     0.00  -100.00     0.99     1.04    -4.31     4.56    24.95    26.11     1.42    -1.51     0.42     0.43     0.00     0.00     0.00  -104.49
    30.00   100.00     0.00     1.27     1.22    -5.67     5.40    31.11    29.93     1.81    -1.73     0.51     0.50     0.00     0.00  -106.52     0.00
    30.00  -100.00     0.00     1.17     1.22    -5.14     5.40    28.76    29.93     1.64    -1.73     0.50     0.50     0.00     0.00   105.58     0.00
    30.00     0.00   100.00     1.22     1.17    -5.40     5.14    29.93    28.76     1.73    -1.64     0.50     0.50     0.00     0.00     0.00   105.58
    30.00     0.00  -100.00     1.22     1.27    -5.40     5.67    29.93    31.11     1.73    -1.81     0.50     0.51     0.00     0.00     0.00  -106.52
    -5.00   100.00     0.00    -0.14    -0.17     0.51    -0.64    -3.96    -5.00    -0.20     0.27    -0.08    -0.09     0.00     0.00   -93.36     0.00
    -5.00  -100.00     0.00    -0.20    -0.17     0.76    -0.64    -6.03    -5.00    -0.34     0.27    -0.09    -0.09     0.00     0.00    92.68     0.00
    -5.00     0.00   100.00    -0.17    -0.20     0.64    -0.76    -5.00    -6.03    -0.27     0.34    -0.09    -0.09     0.00     0.00     0.00    92.68
    -5.00     0.00  -100.00    -0.17    -0.14     0.64    -0.51    -5.00    -3.96    -0.27     0.20    -0.09    -0.08     0.00     0.00     0.00   -93.36
   -10.00   100.00     0.00    -0.31    -0.33     1.09    -1.20    -8.99   -10.01    -0.46     0.53    -0.17    -0.17     0.00     0.00   -91.66     0.00
   -10.00  -100.00     0.00    -0.36    -0.33     1.31    -1.20   -11.02   -10.01    -0.60     0.53    -0.18    -0.17     0.00     0.00    91.01     0.00
   -10.00     0.00   100.00    -0.33    -0.36     1.20    -1.31   -10.01   -11.02    -0.53     0.60    -0.17    -0.18     0.00     0.00     0.00    91.01
   -10.00     0.00  -100.00    -0.33    -0.31     1.20    -1.09   -10.01    -8.99    -0.53     0.46    -0.17    -0.17     0.00     0.00     0.00   -91.66
   -15.00   100.00     0.00    -0.46    -0.49     1.60    -1.69   -14.01   -15.01    -0.72     0.79    -0.26    -0.26     0.00     0.00   -90.00     0.00
   -15.00  -100.00     0.00    -0.51    -0.49     1.78    -1.69   -16.01   -15.01    -0.86     0.79    -0.26    -0.26     0.00     0.00    89.38     0.00
   -15.00     0.00   100.00    -0.49    -0.51     1.69    -1.78   -15.01   -16.01    -0.79     0.86    -0.26    -0.26     0.00     0.00     0.00    89.38
   -15.00     0.00  -100.00    -0.49    -0.46     1.69    -1.60   -15.01   -14.01    -0.79     0.72    -0.26    -0.26     0.00     0.00     0.00   -90.00
   -20.00   100.00     0.00    -0.61    -0.63     2.03    -2.10   -19.04   -20.03    -0.98     1.05    -0.34    -0.35     0.00     0.00   -88.38     0.00
   -20.00  -100.00     0.00    -0.66    -0.63     2.18    -2.10   -21.00   -20.03    -1.11     1.05    -0.35    -0.35     0.00     0.00    87.78     0.00
   -20.00     0.00   100.00    -0.63    -0.66     2.10    -2.18   -20.03   -21.00    -1.05     1.11    -0.35    -0.35     0.00     0.00     0.00    87.78
   -20.00     0.00  -100.00    -0.63    -0.61     2.10    -2.03   -20.03   -19.04    -1.05     0.98    -0.35    -0.34     0.00     0.00     0.00   -88.38
   -25.00   100.00     0.00    -0.75    -0.77     2.38    -2.44   -24.07   -25.04    -1.23     1.30    -0.43    -0.44     0.00     0.00   -86.79     0.00
   -25.00  -100.00     0.00    -0.79    -0.77     2.50    -2.44   -26.00   -25.04    -1.36     1.30    -0.44    -0.44     0.01     0.00    86.22     0.00
   -25.00     0.00   100.00    -0.77    -0.79     2.44    -2.50   -25.04   -26.00    -1.30     1.36    -0.44    -0.44     0.00    -0.01     0.00    86.22
   -25.00     0.00  -100.00    -0.77    -0.75     2.44    -2.38   -25.04   -24.07    -1.30     1.23    -0.44    -0.43     0.00     0.00     0.00   -86.79
   -30.00   100.00     0.00    -0.88    -0.90     2.66    -2.71   -29.11   -30.06    -1.48     1.54    -0.52    -0.52     0.00     0.00   -85.24     0.00
   -30.00  -100.00     0.00    -0.92    -0.90     2.75    -2.71   -31.00   -30.06    -1.60     1.54    -0.53    -0.52     0.01     0.00    84.69     0.00
   -30.00     0.00   100.00    -0.90    -0.92     2.71    -2.75   -30.06   -31.00    -1.54     1.60    -0.52    -0.53     0.00    -0.01     0.00    84.69
   -30.00     0.00  -100.00    -0.90    -0.88     2.71    -2.66   -30.06   -29.11    -1.54     1.48    -0.52    -0.52     0.00     0.00     0.00   -85.24
