
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.01     0.00    -0.05     0.00     0.33     0.00     0.00     0.00     0.11     0.00     0.00     0.00   -29.84     0.00
     0.00  -100.00     0.00     0.01     0.00     0.05     0.00    -0.33     0.00     0.00     0.00    -0.11     0.00     0.00     0.00    30.00     0.00
     0.00     0.00   100.00     0.00    -0.01     0.00     0.05     0.00     0.33     0.00     0.00     0.00     0.11     0.00     0.00     0.00   -29.84
     0.00     0.00  -100.00     0.00     0.01     0.00    -0.05     0.00    -0.33     0.00     0.00     0.00    -0.11     0.00     0.00     0.00    30.00
     5.00   100.00     0.00     0.17     0.18    -0.76     0.71     5.33     5.00     0.28    -0.27     0.19     0.09     0.00     0.00   -29.63     0.00
     5.00  -100.00     0.00     0.19     0.18    -0.66     0.71     4.67     5.00     0.27    -0.27    -0.02     0.09     0.00     0.00    29.80     0.00
     5.00     0.00   100.00     0.18     0.17    -0.71     0.76     5.00     5.33     0.27    -0.28     0.09     0.19     0.00     0.00     0.00   -29.63
     5.00     0.00  -100.00     0.18     0.19    -0.71     0.66     5.00     4.67     0.27    -0.27     0.09    -0.02     0.00     0.00     0.00    29.80
    10.00   100.00     0.00     0.36     0.37    -1.55     1.50    10.32     9.99     0.56    -0.55     0.28     0.17     0.00     0.00   -29.43     0.00
    10.00  -100.00     0.00     0.38     0.37    -1.44     1.50     9.66     9.99     0.55    -0.55     0.06     0.17     0.00     0.00    29.59     0.00
    10.00     0.00   100.00     0.37     0.36    -1.50     1.55     9.99    10.32     0.55    -0.56     0.17     0.28     0.00     0.00     0.00   -29.43
    10.00     0.00  -100.00     0.37     0.38    -1.50     1.44     9.99     9.66     0.55    -0.55     0.17     0.06     0.00     0.00     0.00    29.59
    15.00   100.00     0.00     0.56     0.57    -2.42     2.36    15.31    14.98     0.84    -0.84     0.36     0.25     0.00     0.00   -29.22     0.00
    15.00  -100.00     0.00     0.58     0.57    -2.30     2.36    14.66    14.98     0.83    -0.84     0.15     0.25     0.00     0.00    29.39     0.00
    15.00     0.00   100.00     0.57     0.56    -2.36     2.42    14.98    15.31     0.84    -0.84     0.25     0.36     0.00     0.00     0.00   -29.22
    15.00     0.00  -100.00     0.57     0.58    -2.36     2.30    14.98    14.66     0.84    -0.83     0.25     0.15     0.00     0.00     0.00    29.39
    20.00   100.00     0.00     0.76     0.78    -3.36     3.30    20.29    19.97     1.13    -1.13     0.44     0.34     0.00     0.00   -29.02     0.00
    20.00  -100.00     0.00     0.79     0.78    -3.23     3.30    19.65    19.97     1.12    -1.13     0.23     0.34     0.00     0.00    29.19     0.00
    20.00     0.00   100.00     0.78     0.76    -3.30     3.36    19.97    20.29     1.13    -1.13     0.34     0.44     0.00     0.00     0.00   -29.02
    20.00     0.00  -100.00     0.78     0.79    -3.30     3.23    19.97    19.65     1.13    -1.12     0.34     0.23     0.00     0.00     0.00    29.19
    25.00   100.00     0.00     0.98     0.99    -4.38     4.31    25.27    24.95     1.43    -1.42     0.53     0.42     0.01     0.00   -28.83     0.00
    25.00  -100.00     0.00     1.00     0.99    -4.24     4.31    24.63    24.95     1.42    -1.42     0.32     0.42     0.00     0.00    28.99     0.00
    25.00     0.00   100.00     0.99     0.98    -4.31     4.38    24.95    25.27     1.42    -1.43     0.42     0.53     0.00    -0.01     0.00   -28.83
    25.00     0.00  -100.00     0.99     1.00    -4.31     4.24    24.95    24.63     1.42    -1.42     0.42     0.32     0.00     0.00     0.00    28.99
    30.00   100.00     0.00     1.21     1.22    -5.47     5.40    30.25    29.93     1.73    -1.73     0.61     0.50     0.01     0.00   -28.63     0.00
    30.00  -100.00     0.00     1.23     1.22    -5.32     5.40    29.61    29.93     1.72    -1.73     0.40     0.50     0.00     0.00    28.80     0.00
    30.00     0.00   100.00     1.22     1.21    -5.40     5.47    29.93    30.25     1.73    -1.73     0.50     0.61     0.00    -0.01     0.00   -28.63
    30.00     0.00  -100.00     1.22     1.23    -5.40     5.32    29.93    29.61     1.73    -1.72     0.50     0.40     0.00     0.00     0.00    28.80
    -5.00   100.00     0.00    -0.18    -0.17     0.60    -0.64    -4.67    -5.00    -0.26     0.27     0.02    -0.09     0.00     0.00   -30.06     0.00
    -5.00  -100.00     0.00    -0.16    -0.17     0.68    -0.64    -5.34    -5.00    -0.27     0.27    -0.19    -0.09     0.00     0.00    30.22     0.00
    -5.00     0.00   100.00    -0.17    -0.18     0.64    -0.60    -5.00    -4.67    -0.27     0.26    -0.09     0.02     0.00     0.00     0.00   -30.06
    -5.00     0.00  -100.00    -0.17    -0.16     0.64    -0.68    -5.00    -5.34    -0.27     0.27    -0.09    -0.19     0.00     0.00     0.00    30.22
   -10.00   100.00     0.00    -0.35    -0.33     1.16    -1.20    -9.67   -10.01    -0.53     0.53    -0.06    -0.17     0.00     0.00   -30.27     0.00
   -10.00  -100.00     0.00    -0.32    -0.33     1.24    -1.20   -10.35   -10.01    -0.54     0.53    -0.28    -0.17     0.00     0.00    30.43     0.00
   -10.00     0.00   100.00    -0.33    -0.35     1.20    -1.16   -10.01    -9.67    -0.53     0.53    -0.17    -0.06     0.00     0.00     0.00   -30.27
   -10.00     0.00  -100.00    -0.33    -0.32     1.20    -1.24   -10.01   -10.35    -0.53     0.54    -0.17    -0.28     0.00     0.00     0.00    30.43
   -15.00   100.00     0.00    -0.50    -0.49     1.66    -1.69   -14.68   -15.01    -0.79     0.79    -0.15    -0.26     0.00     0.00   -30.49     0.00
   -15.00  -100.00     0.00    -0.48    -0.49     1.72    -1.69   -15.36   -15.01    -0.80     0.79    -0.37    -0.26     0.00     0.00    30.65     0.00
   -15.00     0.00   100.00    -0.49    -0.50     1.69    -1.66   -15.01   -14.68    -0.79     0.79    -0.26    -0.15     0.00     0.00     0.00   -30.49
   -15.00     0.00  -100.00    -0.49    -0.48     1.69    -1.72   -15.01   -15.36    -0.79     0.80    -0.26    -0.37     0.00     0.00     0.00    30.65
   -20.00   100.00     0.00    -0.65    -0.63     2.08    -2.10   -19.68   -20.03    -1.04     1.05    -0.24    -0.35     0.00     0.00   -30.71     0.00
