
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.08     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00    -0.03     0.00
     0.00  -100.00     0.00     0.08     0.00    -0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.10     0.00    -0.07     0.00
     0.00     0.00   100.00     0.00     0.08     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.00    -0.07
     0.00     0.00  -100.00     0.00    -0.08     0.00    -0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.10     0.00    -0.03
     5.00   100.00     0.00     0.10     0.18    -0.68     0.71     5.00     5.00     0.27    -0.27     0.09     0.09     0.10     0.00    -0.22     0.00
     5.00  -100.00     0.00     0.26     0.18    -0.74     0.71     5.00     5.00     0.28    -0.27     0.08     0.09    -0.10     0.00     0.10     0.00
     5.00     0.00   100.00     0.18     0.26    -0.71     0.74     5.00     5.00     0.27    -0.28     0.09     0.08     0.00     0.10     0.00     0.10
     5.00     0.00  -100.00     0.18     0.10    -0.71     0.68     5.00     5.00     0.27    -0.27     0.09     0.09     0.00    -0.10     0.00    -0.22
    10.00   100.00     0.00     0.29     0.37    -1.47     1.50    10.00     9.99     0.55    -0.55     0.17     0.17     0.10     0.00    -0.39     0.00
    10.00  -100.00     0.00     0.45     0.37    -1.53     1.50     9.99     9.99     0.56    -0.55     0.17     0.17    -0.10     0.00     0.26     0.00
    10.00     0.00   100.00     0.37     0.45    -1.50     1.53     9.99     9.99     0.55    -0.56     0.17     0.17     0.00     0.10     0.00     0.26
    10.00     0.00  -100.00     0.37     0.29    -1.50     1.47     9.99    10.00     0.55    -0.55     0.17     0.17     0.00    -0.10     0.00    -0.39
    15.00   100.00     0.00     0.49     0.57    -2.33     2.36    14.99    14.98     0.84    -0.84     0.26     0.25     0.10     0.00    -0.55     0.00
    15.00  -100.00     0.00     0.65     0.57    -2.39     2.36    14.98    14.98     0.84    -0.84     0.25     0.25    -0.10     0.00     0.40     0.00
    15.00     0.00   100.00     0.57     0.65    -2.36     2.39    14.98    14.98     0.84    -0.84     0.25     0.25     0.00     0.10     0.00     0.40
    15.00     0.00  -100.00     0.57     0.49    -2.36     2.33    14.98    14.99     0.84    -0.84     0.25     0.26     0.00    -0.10     0.00    -0.55
    20.00   100.00     0.00     0.69     0.78    -3.27     3.30    19.98    19.97     1.13    -1.13     0.34     0.34     0.10     0.00    -0.70     0.00
    20.00  -100.00     0.00     0.86     0.78    -3.33     3.30    19.96    19.97     1.13    -1.13     0.33     0.34    -0.10     0.00     0.53     0.00
    20.00     0.00   100.00     0.78     0.86    -3.30     3.33    19.97    19.96     1.13    -1.13     0.34     0.33     0.00     0.10     0.00     0.53
    20.00     0.00  -100.00     0.78     0.69    -3.30     3.27    19.97    19.98     1.13    -1.13     0.34     0.34     0.00    -0.10     0.00    -0.70
    25.00   100.00     0.00     0.91     0.99    -4.28     4.31    24.96    24.95     1.42    -1.42     0.43     0.42     0.10     0.00    -0.83     0.00
    25.00  -100.00     0.00     1.08     0.99    -4.34     4.31    24.95    24.95     1.43    -1.42     0.41     0.42    -0.10     0.00     0.65     0.00
    25.00     0.00   100.00     0.99     1.08    -4.31     4.34    24.95    24.95     1.42    -1.43     0.42     0.41     0.00     0.10     0.00     0.65
    25.00     0.00  -100.00     0.99     0.91    -4.31     4.28    24.95    24.96     1.42    -1.42     0.42     0.43     0.00    -0.10     0.00    -0.83
