
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.22     0.00    -0.05     0.00     0.39     0.00     1.02    -1.00    -0.01     0.00    -0.05     0.00   -35.43     0.00
     0.00 -1000.00     0.00    -0.22     0.00     0.04     0.00    -0.39     0.00     0.98    -1.00     0.01     0.00     0.05     0.00    35.08     0.00
     0.00     0.00  1000.00     0.00     0.22     0.00     0.05     0.00     0.39     1.00    -1.02     0.00    -0.01     0.00     0.05     0.00   -35.43
     0.00     0.00 -1000.00     0.00    -0.22     0.00    -0.04     0.00    -0.39     1.00    -0.98     0.00     0.01     0.00    -0.05     0.00    35.08
     5.00  1000.00     0.00     0.40     0.18    -0.77     0.71     5.41     5.00     1.29    -1.27     0.08     0.09    -0.05     0.00   -37.19     0.00
     5.00 -1000.00     0.00    -0.04     0.18    -0.66     0.71     4.59     5.00     1.25    -1.27     0.09     0.09     0.04     0.00    36.82     0.00
     5.00     0.00  1000.00     0.18     0.40    -0.71     0.77     5.00     5.41     1.27    -1.29     0.09     0.08     0.00     0.05     0.00   -37.19
     5.00     0.00 -1000.00     0.18    -0.04    -0.71     0.66     5.00     4.59     1.27    -1.25     0.09     0.09     0.00    -0.04     0.00    36.82
    10.00  1000.00     0.00     0.60     0.37    -1.56     1.50    10.43     9.99     1.58    -1.55     0.16     0.17    -0.05     0.00   -38.95     0.00
    10.00 -1000.00     0.00     0.14     0.37    -1.44     1.50     9.56     9.99     1.53    -1.55     0.18     0.17     0.04     0.00    38.56     0.00
    10.00     0.00  1000.00     0.37     0.60    -1.50     1.56     9.99    10.43     1.55    -1.58     0.17     0.16     0.00     0.05     0.00   -38.95
    10.00     0.00 -1000.00     0.37     0.14    -1.50     1.44     9.99     9.56     1.55    -1.53     0.17     0.18     0.00    -0.04     0.00    38.56
    15.00  1000.00     0.00     0.80     0.57    -2.43     2.36    15.44    14.98     1.86    -1.84     0.25     0.25    -0.05     0.00   -40.71     0.00
    15.00 -1000.00     0.00     0.34     0.57    -2.29     2.36    14.54    14.98     1.81    -1.84     0.26     0.25     0.04     0.00    40.31     0.00
    15.00     0.00  1000.00     0.57     0.80    -2.36     2.43    14.98    15.44     1.84    -1.86     0.25     0.25     0.00     0.05     0.00   -40.71
    15.00     0.00 -1000.00     0.57     0.34    -2.36     2.29    14.98    14.54     1.84    -1.81     0.25     0.26     0.00    -0.04     0.00    40.31
    20.00  1000.00     0.00     1.01     0.78    -3.38     3.30    20.44    19.97     2.15    -2.13     0.33     0.34    -0.05     0.01   -42.49     0.00
    20.00 -1000.00     0.00     0.55     0.78    -3.21     3.30    19.50    19.97     2.10    -2.13     0.35     0.34     0.04     0.01    42.07     0.00
    20.00     0.00  1000.00     0.78     1.01    -3.30     3.38    19.97    20.44     2.13    -2.15     0.34     0.33    -0.01     0.05     0.00   -42.49
    20.00     0.00 -1000.00     0.78     0.55    -3.30     3.21    19.97    19.50     2.13    -2.10     0.34     0.35    -0.01    -0.04     0.00    42.07
    25.00  1000.00     0.00     1.22     0.99    -4.41     4.31    25.44    24.95     2.45    -2.42     0.42     0.42    -0.05     0.01   -44.27     0.00
    25.00 -1000.00     0.00     0.76     0.99    -4.21     4.31    24.47    24.95     2.40    -2.42     0.43     0.42     0.04     0.01    43.84     0.00
    25.00     0.00  1000.00     0.99     1.22    -4.31     4.41    24.95    25.44     2.42    -2.45     0.42     0.42    -0.01     0.05     0.00   -44.27
