
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Suspension Kinematics 2017                          

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.04     0.00     0.22     0.00    -1.45     0.00     0.92    -1.00    -0.03     0.00     0.02     0.00   130.58     0.00
     0.00 -1000.00     0.00     0.05     0.00    -0.24     0.00     1.55     0.00     1.08    -1.00     0.03     0.00    -0.02     0.00  -139.51     0.00
     0.00     0.00  1000.00     0.00     0.05     0.00     0.24     0.00     1.55     1.00    -1.08     0.00     0.03     0.00     0.02     0.00  -139.51
     0.00     0.00 -1000.00     0.00    -0.04     0.00    -0.22     0.00    -1.45     1.00    -0.92     0.00    -0.03     0.00    -0.02     0.00   130.58
     5.00  1000.00     0.00     0.13     0.18    -0.44     0.71     3.39     5.00     1.18    -1.27     0.06     0.09     0.02     0.00   144.95     0.00
     5.00 -1000.00     0.00     0.24     0.18    -1.00     0.71     6.72     5.00     1.37    -1.27     0.12     0.09    -0.02     0.00  -154.89     0.00
     5.00     0.00  1000.00     0.18     0.24    -0.71     1.00     5.00     6.72     1.27    -1.37     0.09     0.12     0.00     0.02     0.00  -154.89
     5.00     0.00 -1000.00     0.18     0.13    -0.71     0.44     5.00     3.39     1.27    -1.18     0.09     0.06     0.00    -0.02     0.00   144.95
    10.00  1000.00     0.00     0.31     0.37    -1.18     1.50     8.22     9.99     1.45    -1.55     0.14     0.17     0.02     0.00   159.36     0.00
    10.00 -1000.00     0.00     0.44     0.37    -1.85     1.50    11.88     9.99     1.66    -1.55     0.20     0.17    -0.02     0.00  -170.31     0.00
    10.00     0.00  1000.00     0.37     0.44    -1.50     1.85     9.99    11.88     1.55    -1.66     0.17     0.20     0.00     0.02     0.00  -170.31
    10.00     0.00 -1000.00     0.37     0.31    -1.50     1.18     9.99     8.22     1.55    -1.45     0.17     0.14     0.00    -0.02     0.00   159.36
    15.00  1000.00     0.00     0.50     0.57    -1.99     2.36    13.06    14.98     1.73    -1.84     0.22     0.25     0.01     0.00   173.80     0.00
    15.00 -1000.00     0.00     0.65     0.57    -2.77     2.36    17.04    14.98     1.96    -1.84     0.29     0.25    -0.02     0.00  -185.78     0.00
    15.00     0.00  1000.00     0.57     0.65    -2.36     2.77    14.98    17.04     1.84    -1.96     0.25     0.29     0.00     0.02     0.00  -185.78
    15.00     0.00 -1000.00     0.57     0.50    -2.36     1.99    14.98    13.06     1.84    -1.73     0.25     0.22     0.00    -0.01     0.00   173.80
    20.00  1000.00     0.00     0.70     0.78    -2.87     3.30    17.88    19.97     2.01    -2.13     0.30     0.34     0.01     0.01   188.27     0.00
    20.00 -1000.00     0.00     0.86     0.78    -3.77     3.30    22.20    19.97     2.26    -2.13     0.38     0.34    -0.02     0.01  -201.29     0.00
    20.00     0.00  1000.00     0.78     0.86    -3.30     3.77    19.97    22.20     2.13    -2.26     0.34     0.38    -0.01     0.02     0.00  -201.29
    20.00     0.00 -1000.00     0.78     0.70    -3.30     2.87    19.97    17.88     2.13    -2.01     0.34     0.30    -0.01    -0.01     0.00   188.27
    25.00  1000.00     0.00     0.90     0.99    -3.81     4.31    22.71    24.95     2.29    -2.42     0.38     0.42     0.01     0.01   202.79     0.00
    25.00 -1000.00     0.00     1.09     0.99    -4.86     4.31    27.35    24.95     2.57    -2.42     0.46     0.42    -0.03     0.01  -216.87     0.00
    25.00     0.00  1000.00     0.99     1.09    -4.31     4.86    24.95    27.35     2.42    -2.57     0.42     0.46    -0.01     0.03     0.00  -216.87
