
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Suspension Kinematics 2017                          

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -1.00     0.00     0.00     0.00    51.78    51.78    -1.#J    -1.#J     4.54    10.34     0.00     0.00
     5.00     0.09    -1.27     0.83    -0.18     0.00    50.50    45.50   -15.46     6.86     4.55    10.62    -0.35    -0.09
    10.00     0.17    -1.55     1.54    -0.37     0.00    49.26    39.25   -16.43     6.70     4.55    10.89    -0.70    -0.17
    15.00     0.26    -1.84     2.15    -0.57     0.00    48.04    33.03   -17.43     6.52     4.56    11.18    -1.04    -0.26
    20.00     0.34    -2.13     2.66    -0.78     0.00    46.85    26.83   -18.48     6.35     4.56    11.47    -1.39    -0.34
    25.00     0.42    -2.42     3.06    -0.99     0.00    45.69    20.65   -19.57     6.16     4.57    11.77    -1.73    -0.42
    30.00     0.50    -2.73     3.36    -1.22     0.00    44.55    14.51   -20.70     5.97     4.57    12.07    -2.07    -0.51
     0.00     0.00    -1.00     0.00     0.00     0.00    51.78    51.78    -1.#J    -1.#J     4.54    10.34     0.00     0.00
    -5.00    -0.10    -0.73    -0.93     0.17     0.00    53.08    58.08   -13.62     7.17     4.54    10.07     0.35     0.09
   -10.00    -0.21    -0.47    -1.97     0.33     0.00    54.42    64.41   -12.75     7.32     4.54     9.81     0.71     0.17
   -15.00    -0.33    -0.21    -3.12     0.49     0.00    55.78    70.77   -11.91     7.46     4.53     9.55     1.07     0.26
   -20.00    -0.46     0.05    -4.37     0.63     0.00    57.16    77.15   -11.10     7.59     4.53     9.30     1.43     0.35
   -25.00    -0.61     0.30    -5.74     0.77     0.00    58.58    83.55   -10.32     7.73     4.53     9.05     1.79     0.43
   -30.00    -0.78     0.54    -7.22     0.90     0.00    60.03    89.99    -9.56     7.85     4.52     8.80     2.15     0.52
