
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Suspension Kinematics 2017                          

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    51.78    51.78     0.00     0.00    -1.00    -1.00     0.00     0.00     0.00     0.00     0.00
     0.00     5.00     7.74    51.10    48.60     0.00     0.09    -1.00    -1.27    -0.24     0.00     5.00     0.00     0.00
     0.00    10.00    16.36    50.34    45.34     0.00     0.17    -1.00    -1.55    -0.49     0.00     9.99     0.00     0.00
     0.00    15.00    26.05    49.49    41.99     0.00     0.26    -1.00    -1.84    -0.73     0.00    14.98     0.00     0.00
     0.00    20.00    37.05    48.53    38.52     0.00     0.34    -1.00    -2.13    -0.97     0.00    19.97     0.00     0.00
     0.00    25.00    49.67    47.42    34.90     0.00     0.42    -1.00    -2.42    -1.21     0.00    24.95     0.00     0.00
     0.00    30.00    64.35    46.13    31.11     0.00     0.50    -1.00    -2.73    -1.46     0.00    29.93     0.00     0.00
     0.00     0.00     0.00    51.78    51.78     0.00     0.00    -1.00    -1.00     0.00     0.00     0.00     0.00     0.00
     0.00    -5.00    -7.00    52.39    54.89     0.00    -0.10    -1.00    -0.73     0.24     0.00    -5.00     0.00     0.00
     0.00   -10.00   -13.37    52.95    57.95     0.00    -0.21    -1.00    -0.47     0.49     0.00   -10.01     0.00     0.00
     0.00   -15.00   -19.21    53.47    60.96     0.00    -0.33    -1.00    -0.21     0.73     0.00   -15.01     0.00     0.00
     0.00   -20.00   -24.59    53.94    63.93     0.00    -0.46    -1.00     0.05     0.97     0.00   -20.03     0.00     0.00
     0.00   -25.00   -29.56    54.37    66.86     0.00    -0.61    -1.00     0.30     1.22     0.00   -25.04     0.00     0.00
     0.00   -30.00   -34.18    54.78    69.76     0.00    -0.78    -1.00     0.54     1.46     0.00   -30.06     0.00     0.00
     5.00     0.00    -7.74    51.10    48.60     0.09     0.00    -1.27    -1.00     0.24     5.00     0.00     0.00     0.00
     5.00     5.00     0.00    50.50    45.50     0.09     0.09    -1.27    -1.27     0.00     5.00     5.00     0.00     0.00
     5.00    10.00     8.69    49.83    42.33     0.09     0.17    -1.27    -1.55    -0.24     5.00     9.99     0.00     0.00
