
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Suspension Kinematics 2017                          

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.03     0.00    -0.14     0.00     1.06     0.00     1.07    -1.00     0.00     0.00     0.00     0.00   -95.10     0.00
     0.00  -100.00     0.00    -0.03     0.00     0.14     0.00    -1.05     0.00     0.93    -1.00     0.00     0.00     0.00     0.00    94.39     0.00
     0.00     0.00   100.00     0.00    -0.03     0.00    -0.14     0.00    -1.05     1.00    -0.93     0.00     0.00     0.00     0.00     0.00    94.39
     0.00     0.00  -100.00     0.00     0.03     0.00     0.14     0.00     1.06     1.00    -1.07     0.00     0.00     0.00     0.00     0.00   -95.10
     5.00   100.00     0.00     0.22     0.18    -0.88     0.71     6.07     5.00     1.35    -1.27     0.09     0.09     0.00     0.00   -96.89     0.00
     5.00  -100.00     0.00     0.15     0.18    -0.55     0.71     3.93     5.00     1.20    -1.27     0.08     0.09     0.00     0.00    96.15     0.00
     5.00     0.00   100.00     0.18     0.15    -0.71     0.55     5.00     3.93     1.27    -1.20     0.09     0.08     0.00     0.00     0.00    96.15
     5.00     0.00  -100.00     0.18     0.22    -0.71     0.88     5.00     6.07     1.27    -1.35     0.09     0.09     0.00     0.00     0.00   -96.89
    10.00   100.00     0.00     0.41     0.37    -1.68     1.50    11.09     9.99     1.63    -1.55     0.18     0.17    -0.01     0.00   -98.72     0.00
    10.00  -100.00     0.00     0.33     0.37    -1.32     1.50     8.91     9.99     1.48    -1.55     0.17     0.17     0.00     0.00    97.94     0.00
    10.00     0.00   100.00     0.37     0.33    -1.50     1.32     9.99     8.91     1.55    -1.48     0.17     0.17     0.00     0.00     0.00    97.94
